"HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"HALLMARK_GLYCOLYSIS",10,2,2,3,6,1,9,3,3,2,5,1,7,14,8,8,13,7,200,2,6,65,5,3,5,1,3,2,6,2,27,5,1,8,1,8,5,0,4,3,5,6,6,0,5,6,5,3,0,8
"HALLMARK_HEDGEHOG_SIGNALING",0,2,1,2,4,1,0,0,0,1,2,0,0,3,1,0,0,2,2,36,0,3,2,1,0,0,1,1,1,4,1,0,0,2,0,0,1,1,0,0,0,0,0,0,2,1,2,0,3,2
"HALLMARK_HEME_METABOLISM",5,1,4,0,1,0,5,4,0,4,5,2,1,1,4,2,6,3,6,0,200,7,3,0,3,0,1,2,3,3,10,1,1,3,0,5,4,1,1,2,2,4,1,0,2,1,2,9,0,9
"HALLMARK_HYPOXIA",11,4,3,3,4,2,15,2,7,5,11,0,2,18,13,12,7,3,65,3,7,200,16,4,11,1,8,3,11,1,31,2,1,13,2,2,14,2,2,7,4,2,4,3,29,8,15,8,1,8
"HALLMARK_IL2_STAT5_SIGNALING",7,17,4,5,2,1,13,1,3,5,6,3,2,10,12,8,4,4,5,2,3,16,200,16,20,7,19,0,17,2,9,2,5,6,0,1,9,0,2,1,1,2,2,5,21,1,5,9,3,7
"HALLMARK_IL6_JAK_STAT3_SIGNALING",2,22,0,2,0,1,12,0,2,4,7,0,0,8,3,4,1,1,3,1,0,4,16,87,23,8,22,1,7,0,1,0,0,2,0,0,7,0,0,6,0,0,1,2,18,0,1,5,0,6
"HALLMARK_INFLAMMATORY_RESPONSE",1,37,2,3,3,5,16,3,2,9,21,2,2,13,5,1,0,3,5,0,3,11,20,23,200,17,37,6,16,2,5,1,1,4,1,0,12,0,0,3,2,1,0,2,51,1,15,10,1,5
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0,12,1,0,0,0,7,0,1,1,8,1,0,1,1,1,2,0,1,0,0,1,7,8,17,97,73,3,2,0,3,0,0,0,0,0,6,0,0,1,0,0,0,0,9,0,0,3,0,0
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2,37,2,0,4,1,18,1,1,5,23,3,2,5,1,3,2,3,3,1,1,8,19,22,37,73,200,3,10,1,8,2,0,2,0,1,11,0,3,5,1,2,1,0,27,3,2,9,0,7
"HALLMARK_KRAS_SIGNALING_DN",0,6,3,0,4,1,3,3,0,3,3,1,1,1,3,5,1,2,2,1,2,3,0,1,6,3,3,200,0,1,1,0,0,7,1,0,4,2,3,1,1,0,6,1,8,0,1,4,0,1
"HALLMARK_KRAS_SIGNALING_UP",4,13,5,3,7,3,9,3,2,10,10,0,0,9,2,8,3,0,6,1,3,11,17,7,16,2,10,0,200,2,5,0,0,5,0,0,9,1,1,4,0,1,6,4,23,1,2,3,2,10
"HALLMARK_MITOTIC_SPINDLE",1,3,1,0,14,1,7,0,0,1,1,1,19,3,3,4,0,39,2,4,3,1,2,0,2,0,1,1,2,200,4,1,1,4,1,2,0,0,1,4,3,0,7,2,2,2,5,2,0,2
"HALLMARK_MTORC1_SIGNALING",14,4,11,1,4,1,10,6,19,3,5,3,14,2,10,11,10,9,27,1,10,31,9,1,5,3,8,1,5,4,200,19,9,5,0,7,11,1,7,21,5,6,3,2,10,17,7,11,0,12
"HALLMARK_MYC_TARGETS_V1",3,5,2,0,0,0,2,0,0,0,0,8,35,1,1,2,4,29,5,0,1,2,2,0,1,0,2,0,0,1,19,200,18,1,1,11,3,0,4,3,1,1,2,0,1,10,1,6,3,4
"HALLMARK_MYC_TARGETS_V2",1,1,3,0,0,0,0,0,1,0,0,0,12,0,3,3,0,6,1,0,1,1,5,0,1,0,0,0,0,1,9,18,58,0,0,1,0,0,0,1,0,0,0,0,2,5,1,0,1,1
"HALLMARK_MYOGENESIS",9,2,2,2,12,1,9,2,3,5,5,1,1,20,10,6,4,2,8,2,3,13,6,2,4,0,2,7,5,4,5,1,0,200,2,1,13,0,3,3,1,4,2,2,5,2,4,3,3,4
"HALLMARK_NOTCH_SIGNALING",0,0,1,1,0,0,2,0,1,0,0,1,0,2,2,1,0,4,1,0,0,2,0,0,1,0,0,1,0,1,0,1,0,2,32,0,1,0,0,0,0,0,0,0,3,0,2,0,8,1
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",41,0,0,0,0,0,6,4,1,1,3,4,0,0,0,3,31,0,8,0,5,2,1,0,0,0,1,0,0,2,7,11,1,1,0,200,4,0,6,0,1,4,1,0,0,1,0,6,0,9
"HALLMARK_P53_PATHWAY",4,10,4,5,4,1,21,3,2,2,4,10,7,7,8,9,3,1,5,1,4,14,9,7,12,6,11,4,9,0,11,3,0,13,1,4,200,1,3,6,0,0,1,3,26,3,1,13,4,11
"HALLMARK_PANCREAS_BETA_CELLS",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,40,1,0,0,0,0,0,0,3,1,0,0,0
"HALLMARK_PEROXISOME",10,1,4,0,3,0,6,39,3,0,0,2,3,1,5,5,25,2,4,0,1,2,2,0,0,0,3,3,1,1,7,4,0,3,0,6,3,1,104,1,2,4,1,0,1,0,2,5,0,9
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0,11,2,0,6,1,6,1,1,1,4,0,4,0,3,2,0,4,3,0,2,7,1,6,3,1,5,1,4,4,21,3,1,3,0,0,6,0,1,105,6,0,3,3,3,3,3,2,0,1
"HALLMARK_PROTEIN_SECRETION",3,2,4,0,1,1,5,2,0,1,2,2,2,1,2,1,0,0,5,0,2,4,1,0,2,0,1,1,0,3,5,1,0,1,0,1,0,0,2,6,96,1,0,0,1,2,1,3,0,0
"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY",4,0,1,0,0,0,5,3,0,0,1,2,1,0,0,0,1,0,6,0,4,2,2,0,1,0,2,0,1,0,6,1,0,4,0,4,0,0,4,0,1,49,0,1,2,0,1,4,0,4
"HALLMARK_SPERMATOGENESIS",2,0,1,0,2,1,2,0,0,0,1,1,6,0,0,2,1,11,6,0,1,4,2,1,0,0,1,6,6,7,3,2,0,2,0,1,1,0,1,3,0,0,135,0,0,0,0,3,0,1
"HALLMARK_TGF_BETA_SIGNALING",0,3,1,0,2,0,5,1,1,4,1,0,0,5,3,4,0,2,0,0,0,3,5,2,2,0,0,1,4,2,2,0,0,2,0,0,3,0,0,3,0,1,0,54,10,0,6,4,2,2
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",6,19,9,4,4,2,29,1,6,7,16,1,2,22,13,12,1,5,5,2,2,29,21,18,51,9,27,8,23,2,10,1,2,5,3,0,26,0,1,3,1,2,0,10,200,5,12,20,2,7
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",3,2,2,1,1,0,2,0,1,0,2,0,6,1,5,4,0,6,6,1,1,8,1,0,1,0,3,0,1,2,17,10,5,2,0,1,3,3,0,3,2,0,0,0,5,113,0,5,0,1
"HALLMARK_UV_RESPONSE_DN",3,2,5,4,9,0,7,3,2,4,3,0,2,20,7,4,2,9,5,2,2,15,5,1,15,0,2,1,2,5,7,1,1,4,2,0,1,1,2,3,1,1,0,6,12,0,144,0,1,2
"HALLMARK_UV_RESPONSE_UP",6,5,1,1,2,1,20,0,2,3,10,3,3,7,9,11,9,3,3,0,9,8,9,5,10,3,9,4,3,2,11,6,0,3,0,6,13,0,5,2,3,4,3,4,20,5,0,158,0,11
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0,1,0,3,1,0,4,0,3,0,1,1,2,2,2,1,0,2,0,3,0,1,3,0,1,0,0,0,2,0,0,3,1,3,8,0,4,0,0,0,0,0,0,2,2,0,1,0,42,1
"HALLMARK_XENOBIOTIC_METABOLISM",16,6,3,1,1,0,7,12,2,11,10,2,0,5,5,11,25,1,8,2,9,8,7,6,5,0,7,1,10,2,12,4,1,4,1,9,11,0,9,1,0,4,1,2,7,1,2,11,1,200
