"Pathway"	"zscore"
"Measles"	"1.22"
"Apoptosis"	"1.189"
"Hypertrophic cardiomyopathy (HCM)"	"1.157"
"N-Glycan biosynthesis"	"1.1"
"Fluid shear stress and atherosclerosis"	"1.074"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"1.071"
"Glycosaminoglycan degradation"	"1.017"
"Base excision repair"	"1.008"
"C-type lectin receptor signaling pathway"	"1.001"
"Chagas disease (American trypanosomiasis)"	"0.985"
"Ribosome biogenesis in eukaryotes"	"0.977"
"Thermogenesis"	"0.94"
"AMPK signaling pathway"	"0.922"
"MAPK signaling pathway"	"0.867"
"Hepatitis C"	"0.835"
"Glycosphingolipid biosynthesis - ganglio series"	"0.833"
"Riboflavin metabolism"	"0.824"
"Cortisol synthesis and secretion"	"0.811"
"Vitamin B6 metabolism"	"0.807"
"NF-kappa B signaling pathway"	"0.75"
"Toll-like receptor signaling pathway"	"0.735"
"Endocrine and other factor-regulated calcium reabsorption"	"0.728"
"Amyotrophic lateral sclerosis (ALS)"	"0.718"
"Proximal tubule bicarbonate reclamation"	"0.676"
"PPAR signaling pathway"	"0.626"
"Thyroid hormone synthesis"	"0.594"
"Homologous recombination"	"0.59"
"Glioma"	"0.581"
"B cell receptor signaling pathway"	"0.56"
"D-Glutamine and D-glutamate metabolism"	"0.507"
"Epstein-Barr virus infection"	"0.493"
"Epithelial cell signaling in Helicobacter pylori infection"	"0.482"
"Focal adhesion"	"0.478"
"Linoleic acid metabolism"	"0.467"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"0.463"
"ABC transporters"	"0.455"
"Other glycan degradation"	"0.45"
"Fat digestion and absorption"	"0.4"
"Ferroptosis"	"0.36"
"T cell receptor signaling pathway"	"0.31"
"NOD-like receptor signaling pathway"	"0.226"
"ErbB signaling pathway"	"0.175"
"Influenza A"	"0.124"
"Oxytocin signaling pathway"	"0.121"
"Lipoic acid metabolism"	"0.071"
"Type II diabetes mellitus"	"0.064"
"Vitamin digestion and absorption"	"0.064"
"ECM-receptor interaction"	"0.047"
"Caffeine metabolism"	"0.035"
"Mismatch repair"	"0.033"
"Alzheimer's disease"	"0.005"
"Fatty acid elongation"	"-0.005"
"Lysosome"	"-0.014"
"Dilated cardiomyopathy (DCM)"	"-0.017"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"-0.041"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"-0.052"
"Relaxin signaling pathway"	"-0.081"
"Sphingolipid signaling pathway"	"-0.084"
"D-Arginine and D-ornithine metabolism"	"-0.095"
"Glycerophospholipid metabolism"	"-0.113"
"Choline metabolism in cancer"	"-0.126"
"Sulfur metabolism"	"-0.143"
"Cholesterol metabolism"	"-0.21"
"Tight junction"	"-0.24"
"VEGF signaling pathway"	"-0.303"
"Salmonella infection"	"-0.333"
"Prion diseases"	"-0.357"
"Cocaine addiction"	"-0.377"
"Mucin type O-glycan biosynthesis"	"-0.378"
"Amphetamine addiction"	"-0.406"
"Steroid biosynthesis"	"-0.425"
"Bile secretion"	"-0.426"
"Pancreatic secretion"	"-0.438"
"Fatty acid biosynthesis"	"-0.451"
"Cardiac muscle contraction"	"-0.456"
"Pertussis"	"-0.482"
"Thiamine metabolism"	"-0.491"
"Nicotinate and nicotinamide metabolism"	"-0.501"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"-0.511"
"Fanconi anemia pathway"	"-0.535"
"Valine, leucine and isoleucine biosynthesis"	"-0.567"
"Aldosterone-regulated sodium reabsorption"	"-0.578"
"Glucagon signaling pathway"	"-0.612"
"Biotin metabolism"	"-0.66"
"Cytosolic DNA-sensing pathway"	"-0.672"
"Butanoate metabolism"	"-0.705"
"Ovarian steroidogenesis"	"-0.736"
"Longevity regulating pathway - multiple species"	"-0.784"
"Long-term depression"	"-0.788"
"DNA replication"	"-0.799"
"Leukocyte transendothelial migration"	"-0.844"
"Glycerolipid metabolism"	"-0.85"
"Primary immunodeficiency"	"-0.859"
"Phosphonate and phosphinate metabolism"	"-0.871"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-0.896"
"Huntington's disease"	"-0.923"
"Drug metabolism - other enzymes"	"-0.936"
"Maturity onset diabetes of the young"	"-0.96"
"Nucleotide excision repair"	"-0.962"
"GnRH signaling pathway"	"-0.972"
"Protein digestion and absorption"	"-1.019"
"Renin-angiotensin system"	"-1.019"
"Fatty acid degradation"	"-1.054"
"Tuberculosis"	"-1.098"
"Cysteine and methionine metabolism"	"-1.167"
"Valine, leucine and isoleucine degradation"	"-1.192"
"Aminoacyl-tRNA biosynthesis"	"-1.223"
"Insulin secretion"	"-1.239"
"Aldosterone synthesis and secretion"	"-1.313"
"Rap1 signaling pathway"	"-1.32"
"Fructose and mannose metabolism"	"-1.343"
"Protein processing in endoplasmic reticulum"	"-1.386"
"Toxoplasmosis"	"-1.388"
"Basal transcription factors"	"-1.394"
"Tyrosine metabolism"	"-1.398"
"Arginine and proline metabolism"	"-1.401"
"African trypanosomiasis"	"-1.421"
"Autophagy - animal"	"-1.428"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-1.442"
"Propanoate metabolism"	"-1.471"
"Adrenergic signaling in cardiomyocytes"	"-1.473"
"Malaria"	"-1.488"
"Dopaminergic synapse"	"-1.499"
"Inositol phosphate metabolism"	"-1.503"
"Biosynthesis of unsaturated fatty acids"	"-1.506"
"Nicotine addiction"	"-1.531"
"Chemokine signaling pathway"	"-1.542"
"cAMP signaling pathway"	"-1.549"
"Pentose and glucuronate interconversions"	"-1.596"
"Synthesis and degradation of ketone bodies"	"-1.603"
"Axon guidance"	"-1.61"
"Proteasome"	"-1.66"
"Arginine biosynthesis"	"-1.684"
"Primary bile acid biosynthesis"	"-1.687"
"Glutathione metabolism"	"-1.69"
"Phenylalanine metabolism"	"-1.718"
"Carbohydrate digestion and absorption"	"-1.776"
"One carbon pool by folate"	"-1.819"
"Central carbon metabolism in cancer"	"-1.84"
"Bacterial invasion of epithelial cells"	"-1.846"
"Cell adhesion molecules (CAMs)"	"-1.914"
"Tryptophan metabolism"	"-1.977"
"Glyoxylate and dicarboxylate metabolism"	"-1.981"
"Endocytosis"	"-1.994"
"beta-Alanine metabolism"	"-2.044"
"Insulin signaling pathway"	"-2.044"
"Protein export"	"-2.051"
"Long-term potentiation"	"-2.061"
"Galactose metabolism"	"-2.072"
"Morphine addiction"	"-2.082"
"Peroxisome"	"-2.086"
"Regulation of lipolysis in adipocytes"	"-2.104"
"cGMP-PKG signaling pathway"	"-2.215"
"Alanine, aspartate and glutamate metabolism"	"-2.217"
"Fc epsilon RI signaling pathway"	"-2.293"
"Circadian entrainment"	"-2.348"
"Pentose phosphate pathway"	"-2.382"
"Estrogen signaling pathway"	"-2.399"
"Platelet activation"	"-2.436"
"Ascorbate and aldarate metabolism"	"-2.45"
"Viral myocarditis"	"-2.452"
"Phosphatidylinositol signaling system"	"-2.459"
"Inflammatory mediator regulation of TRP channels"	"-2.474"
"Hematopoietic cell lineage"	"-2.48"
"Terpenoid backbone biosynthesis"	"-2.494"
"Retrograde endocannabinoid signaling"	"-2.524"
"Histidine metabolism"	"-2.543"
"Cholinergic synapse"	"-2.606"
"Type I diabetes mellitus"	"-2.608"
"Chemical carcinogenesis"	"-2.622"
"Porphyrin and chlorophyll metabolism"	"-2.649"
"Vascular smooth muscle contraction"	"-2.653"
"Ribosome"	"-2.655"
"Intestinal immune network for IgA production"	"-2.706"
"Autophagy - other"	"-2.744"
"Fc gamma R-mediated phagocytosis"	"-2.755"
"Cytokine-cytokine receptor interaction"	"-2.776"
"Citrate cycle (TCA cycle)"	"-2.792"
"Starch and sucrose metabolism"	"-2.845"
"Graft-versus-host disease"	"-2.925"
"Pathogenic Escherichia coli infection"	"-2.93"
"Asthma"	"-2.932"
"Antigen processing and presentation"	"-3.009"
"Allograft rejection"	"-3.017"
"Drug metabolism - cytochrome P450"	"-3.02"
"Metabolism of xenobiotics by cytochrome P450"	"-3.049"
"Parkinson's disease"	"-3.049"
"Amoebiasis"	"-3.055"
"Serotonergic synapse"	"-3.068"
"GABAergic synapse"	"-3.103"
"Retinol metabolism"	"-3.121"
"Pyruvate metabolism"	"-3.202"
"Complement and coagulation cascades"	"-3.289"
"Legionellosis"	"-3.293"
"Salivary secretion"	"-3.307"
"Glutamatergic synapse"	"-3.398"
"Taste transduction"	"-3.503"
"Staphylococcus aureus infection"	"-3.552"
"Gastric acid secretion"	"-3.561"
"Rheumatoid arthritis"	"-3.645"
"Phototransduction"	"-3.677"
"Steroid hormone biosynthesis"	"-3.749"
"Necroptosis"	"-3.759"
"Ras signaling pathway"	"-3.827"
"Synaptic vesicle cycle"	"-3.83"
"Autoimmune thyroid disease"	"-3.847"
"Glycine, serine and threonine metabolism"	"-3.869"
"Natural killer cell mediated cytotoxicity"	"-3.945"
"Regulation of actin cytoskeleton"	"-3.95"
"Vasopressin-regulated water reabsorption"	"-3.985"
"Alcoholism"	"-4.07"
"Collecting duct acid secretion"	"-4.114"
"Purine metabolism"	"-4.135"
"Renin secretion"	"-4.202"
"SNARE interactions in vesicular transport"	"-4.263"
"Phospholipase D signaling pathway"	"-4.318"
"Oxidative phosphorylation"	"-4.347"
"Olfactory transduction"	"-4.454"
"Amino sugar and nucleotide sugar metabolism"	"-4.615"
"Gap junction"	"-4.763"
"Glycolysis / Gluconeogenesis"	"-4.874"
"Pyrimidine metabolism"	"-4.903"
"RNA degradation"	"-5.293"
"RNA polymerase"	"-5.297"
"mRNA surveillance pathway"	"-5.399"
"Vibrio cholerae infection"	"-5.636"
"Systemic lupus erythematosus"	"-5.856"
"Phagosome"	"-6.381"
"Calcium signaling pathway"	"-6.741"
"RNA transport"	"-6.976"
"Spliceosome"	"-6.983"
"Neuroactive ligand-receptor interaction"	"-8.816"
