SN,NAME,Gene
601626,AML,KIT
601626,AML,TERT
601626,AML,NPM1
601626,AML,NSD1
601626,AML,JAK2
601626,AML,NUP214
601626,AML,AF10
601626,AML,PICALM
601626,AML,ETV6
601626,AML,KRAS
601626,AML,FLT3
601626,AML,CBFB
601626,AML,SH3GL1
601626,AML,CEBPA
601626,AML,RUNX1
607174,Meningioma,PTEN
607174,Meningioma,SUFU
607174,Meningioma,SMARCE1
607174,Meningioma,MN1
607174,Meningioma,NF2
607174,Meningioma,PDGFB
171300,Pheoch,KIF1B
171300,Pheoch,SDHB
171300,Pheoch,TMEM127
171300,Pheoch,VHL
171300,Pheoch,GDNF
171300,Pheoch,RET
171300,Pheoch,SDHD
171300,Pheoch,MAX
605027,NHL,RAD54L
605027,NHL,BCL10
605027,NHL,CASP10
605027,NHL,RAD54B
605027,NHL,PRF1
104300,Alzheimer,HFE
104300,Alzheimer,NOS3
104300,Alzheimer,PLAU
104300,Alzheimer,A2M
104300,Alzheimer,MPO
104300,Alzheimer,APP
608516,MDD,FKBP5
608516,MDD,TPH2
608516,MDD,MDD1
608516,MDD,HTR2A
608516,MDD,MDD2
181500,Schizophrenia,SCZD12
181500,Schizophrenia,MTHFR
181500,Schizophrenia,CHI3L1
181500,Schizophrenia,DISC2
181500,Schizophrenia,SYN2
181500,Schizophrenia,DRD3
181500,Schizophrenia,SCZD1
181500,Schizophrenia,SCZD3
181500,Schizophrenia,SCZD5
181500,Schizophrenia,SCZD6
181500,Schizophrenia,SCZD11
181500,Schizophrenia,SCZD2
181500,Schizophrenia,HTR2A
181500,Schizophrenia,SCZD7
181500,Schizophrenia,DAOA
181500,Schizophrenia,AKT1
181500,Schizophrenia,SCZD8
181500,Schizophrenia,COMT
181500,Schizophrenia,RTN4R
181500,Schizophrenia,APOL4
181500,Schizophrenia,APOL2
601665,Obesity,NR0B2
601665,Obesity,SDC3
601665,Obesity,POMC
601665,Obesity,GHRL
601665,Obesity,PPARG
601665,Obesity,CARTPT
601665,Obesity,ADRB2
601665,Obesity,ENPP1
601665,Obesity,ADRB3
601665,Obesity,UCP3
601665,Obesity,AGRP
168600,Parkinson,GBA
168600,Parkinson,ADH1C
168600,Parkinson,TBP
168600,Parkinson,ATXN2
168600,Parkinson,ATXN8OS
168600,Parkinson,MAPT
168600,Parkinson,GLUD2
125853,Diabetes2,GPD2
125853,Diabetes2,NEUROD1
125853,Diabetes2,IRS1
125853,Diabetes2,PPARG
125853,Diabetes2,SLC2A2
125853,Diabetes2,IGF2BP2
125853,Diabetes2,WFS1
125853,Diabetes2,NIDDM4
125853,Diabetes2,HMGA1
125853,Diabetes2,ENPP1
125853,Diabetes2,GCK
125853,Diabetes2,PPP1R3A
125853,Diabetes2,PAX4
125853,Diabetes2,SLC30A8
125853,Diabetes2,TCF7L2
125853,Diabetes2,KCNJ11
125853,Diabetes2,ABCC8
125853,Diabetes2,MAPK8IP1
125853,Diabetes2,MTNR1B
125853,Diabetes2,HNF1A
125853,Diabetes2,PDX1
125853,Diabetes2,IRS2
125853,Diabetes2,LIPC
125853,Diabetes2,HNF1B
125853,Diabetes2,GCGR
125853,Diabetes2,RETN
125853,Diabetes2,AKT2
125853,Diabetes2,NIDDM3
125853,Diabetes2,HNF4A
125853,Diabetes2,PTPN1
