ID	Pathway	Fold_Enrichment	occurrence	lowest_p	highest_p	Up_regulated	Down_regulated
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	163.75944	10	7.4e-15	7.4e-15	ATP6V1C1, ATP6V1D, ATP6V1E1, ATP6V1F, ATP6V1G1, ATP6V0E1, TCIRG1, ATP6V1H, ATP6AP1, ATP6V0C, ATP6V0B	
hsa04260	Cardiac muscle contraction	48.80022	10	4.0e-14	2.5e-09	UQCRFS1, CYC1, UQCRC1, UQCRC2, UQCRH, UQCRB, UQCRQ, UQCR10, UQCR11, COX4I1, COX5A, COX5B, COX6A1, COX6B1, COX6C, COX7A2, COX7A2L, COX7B, COX7C, COX8A, ATP1B1	
hsa05323	Rheumatoid arthritis	129.80931	10	7.8e-14	7.8e-14	ATP6V1C1, ATP6V1D, ATP6V1E1, ATP6V1F, ATP6V1G1, ATP6V0E1, TCIRG1, ATP6V1H, ATP6AP1, ATP6V0C, ATP6V0B	
hsa04721	Synaptic vesicle cycle	169.34215	10	2.0e-12	2.0e-12	ATP6V1C1, ATP6V1D, ATP6V1E1, ATP6V1F, ATP6V1G1, ATP6V0E1, TCIRG1, ATP6V1H, ATP6V0C, ATP6V0B	
hsa00620	Pyruvate metabolism	55.34622	10	3.3e-12	3.1e-10	PDHA1, PDHB, DLAT, DLD, LDHA, LDHB, MDH1, MDH2, FH, ACAT1	
hsa04145	Phagosome	78.26738	10	5.8e-12	5.8e-12	ATP6V1C1, ATP6V1D, ATP6V1E1, ATP6V1F, ATP6V1G1, ATP6V0E1, TCIRG1, ATP6V1H, ATP6V0C, ATP6V0B, ATP6AP1	
hsa00640	Propanoate metabolism	61.95132	10	3.0e-10	3.1e-06	BCKDHA, DLD, ACADM, HADHA, ECHS1, SUCLG1, SUCLA2, ALDH6A1, LDHA, LDHB, ACAT1	
hsa05165	Human papillomavirus infection	35.48121	10	3.8e-09	3.8e-09	ATP6V1C1, ATP6V1D, ATP6V1E1, ATP6V1F, ATP6V1G1, ATP6V1H, TCIRG1, ATP6V0E1, ATP6V0C, ATP6V0B, ATP6AP1, BAX	
hsa00071	Fatty acid degradation	41.81714	10	9.0e-09	4.4e-04	ACAT1, ACAA1, ACAA2, HADHB, HADHA, ECHS1, ACADM, ACADSB, ACADVL, CPT1A, ECI1	
hsa00280	Valine, leucine and isoleucine degradation	39.82585	10	1.0e-08	5.9e-06	BCKDHA, DLD, ACADM, ACADSB, HADHA, ECHS1, HSD17B10, ACAA1, ACAA2, HADHB, ALDH6A1, ACAT1	
hsa00010	Glycolysis / Gluconeogenesis	24.39333	10	3.1e-08	1.0e-05	GPI, PDHA1, PDHB, DLAT, DLD, LDHA, LDHB	
hsa00630	Glyoxylate and dicarboxylate metabolism	50.18057	10	1.1e-06	3.2e-03	MDH1, MDH2, CS, ACO2, ACAT1, DLD	
hsa04150	mTOR signaling pathway	49.27946	10	1.5e-05	1.5e-05	ATP6V1C1, ATP6V1D, ATP6V1E1, ATP6V1F, ATP6V1G1, ATP6V1H	
hsa04217	Necroptosis	24.29884	10	2.2e-05	1.0e-04	SLC25A4, SLC25A5, SLC25A6, VDAC1, VDAC2, VDAC3, GLUD1, BAX, AIFM1	
hsa04218	Cellular senescence	22.22065	10	9.6e-05	9.6e-05	SLC25A4, SLC25A5, SLC25A6, VDAC1, VDAC2, VDAC3	
hsa04022	cGMP-PKG signaling pathway	25.39503	10	1.1e-04	1.1e-04	ATP1B1, VDAC1, VDAC2, VDAC3, SLC25A4, SLC25A5, SLC25A6	
hsa04020	Calcium signaling pathway	23.29337	10	2.1e-04	2.1e-04	VDAC1, VDAC2, VDAC3, SLC25A4, SLC25A5, SLC25A6	
hsa04922	Glucagon signaling pathway	11.87987	10	2.9e-04	4.2e-02	CPT1A, PDHA1, PDHB, LDHA, LDHB	
hsa00270	Cysteine and methionine metabolism	26.13571	10	5.8e-04	7.8e-03	GOT2, LDHA, LDHB, MDH1, MDH2	
hsa04142	Lysosome	26.06125	10	7.1e-04	7.1e-04	TCIRG1, ATP6V1H, ATP6AP1, ATP6V0C, ATP6V0B	
hsa04979	Cholesterol metabolism	48.78667	10	7.5e-04	1.8e-02	VDAC1, VDAC2, VDAC3	
hsa03010	Ribosome	42.57745	1	1.1e-03	1.1e-03	MRPS11, MRPS12, MRPS15, MRPL11, MRPL15, MRPL34, MRPL35	
hsa05230	Central carbon metabolism in cancer	17.42381	10	1.2e-03	1.7e-02	PDHA1, PDHB, IDH1, LDHA	
hsa04964	Proximal tubule bicarbonate reclamation	35.55304	2	1.4e-03	4.5e-02	ATP1B1, GLUD1, MDH1	
hsa05166	Human T-cell leukemia virus 1 infection	14.37250	10	1.5e-03	1.5e-03	VDAC1, SLC25A4, SLC25A5, SLC25A6, VDAC2, VDAC3, BAX	
hsa00062	Fatty acid elongation	44.01805	9	2.9e-03	3.8e-03	ACAA2, HADHB, HADHA, ECHS1	
hsa05152	Tuberculosis	17.59135	10	4.4e-03	4.4e-03	BAX, CYCS, HSPA9, TCIRG1, ATP6V1H, ATP6AP1, ATP6V0C, ATP6V0B	
hsa00650	Butanoate metabolism	71.27922	1	6.4e-03	6.4e-03	ACAT1, HADHA, ECHS1, BDH2	
hsa00380	Tryptophan metabolism	25.34372	9	9.2e-03	1.9e-02	OGDH, HADHA, ECHS1, ACAT1, MAOB	
hsa04216	Ferroptosis	47.51948	2	1.9e-02	1.9e-02	GPX4, VDAC2, VDAC3	
hsa00310	Lysine degradation	18.76410	1	4.3e-02	4.3e-02	OGDH, DLST, HADHA, ECHS1, ACAT1	
