"ID","Name","GN"
"C1266043","Sarcomatoid Renal Cell Carcinoma","120"
"C1266044","Collecting Duct Carcinoma of the Kidney","120"
"C1306837","Papillary Renal Cell Carcinoma","120"
"C3494247","Organothiophosphonate Poisoning","4"
"C3494248","Organothiophosphate Poisoning","4"
"C0029408","Degenerative polyarthritis","88"
"C0086743","Osteoarthrosis Deformans","88"
"C0035222","Respiratory Distress Syndrome, Adult","39"
"C3281192","INFANTILE CEREBELLAR-RETINAL DEGENERATION","1"
"C4225384","OPTIC ATROPHY 9","1"
"C0002152","Alloxan Diabetes","106"
"C0011853","Diabetes Mellitus, Experimental","106"
"C0023520","Leukodystrophy","140"
"C0038433","Streptozotocin Diabetes","106"
"C1849678","Peroxisomal ACYL-COA oxidase deficiency","1"
"C0041696","Unipolar Depression","171"
"C1269683","Major Depressive Disorder","102"
"C0268410","Acid Phosphatase Deficiency","1"
"C0020503","Hyperparathyroidism, Secondary","5"
"C0029434","Osteogenesis Imperfecta","171"
"C0432222","Spondyloenchondrodysplasia","1"
"C1842763","SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION","1"
"C0087031","Juvenile-Onset Still Disease","123"
"C3495559","Juvenile arthritis","119"
"C3714758","Juvenile psoriatic arthritis","119"
"C0149721","Left Ventricular Hypertrophy","24"
"C0175709","Centronuclear myopathy","13"
"C0206157","Myopathies, Nemaline","7"
"C0270969","Zebra body myopathy","1"
"C0410180","Eichsfeld type congenital muscular dystrophy","1"
"C0410203","X-linked centronuclear myopathy","13"
"C0410207","Tubular Aggregate Myopathy","13"
"C0546125","Nemaline Myopathy, Childhood Onset","7"
"C0546264","Congenital Fiber Type Disproportion","16"
"C0699743","Congenital muscular dystrophy (disorder)","41"
"C0752282","Congenital Structural Myopathy","13"
"C0949658","Cardiomyopathy, Hypertrophic, Familial","23"
"C1834339","Myopathy, Actin, Congenital, with Excess of Thin Myofilaments","1"
"C1834558","Myopathy, Centronuclear, Autosomal Dominant","13"
"C2750536","Nemaline Myopathy 3, With Intranuclear Rods","1"
"C2750537","Myopathy, Actin, Congenital, With Cores","1"
"C3645536","Autosomal Recessive Centronuclear Myopathy","14"
"C3661489","Autosomal Dominant Myotubular Myopathy","13"
"C3711389","Actin-Accumulation Myopathy","1"
"C4225181","MYOPATHY, SCAPULOHUMEROPERONEAL","1"
"C0005398","Cholestasis, Extrahepatic","25"
"C0013720","Ehlers-Danlos Syndrome","71"
"C0014175","Endometriosis","148"
"C0017668","Focal glomerulosclerosis","28"
"C0019189","Hepatitis, Chronic","22"
"C0024796","Marfan Syndrome","30"
"C0026654","Moyamoya Disease","2"
"C0027051","Myocardial Infarction","84"
"C0036421","Systemic Scleroderma","12"
"C0086432","Hyalinosis, Segmental Glomerular","28"
"C0149519","Chronic Persistent Hepatitis","22"
"C0162872","Aortic Aneurysm, Thoracic","54"
"C0269102","Endometrioma","148"
"C0340630","Aortic Aneurysm, Thoracoabdominal","6"
"C0345050","Congenital aneurysm of ascending aorta","54"
"C0520463","Chronic active hepatitis","22"
"C0524611","Cryptogenic Chronic Hepatitis","22"
"C1619692","Nephrogenic Fibrosing Dermopathy","3"
"C1876165","Copper-Overload Cirrhosis","13"
"C1968949","Cakut","61"
"C2673186","Aortic Aneurysm, Familial Thoracic 6","1"
"C2931384","Moyamoya disease 1","2"
"C3151201","MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME","1"
"C3279690","MOYAMOYA DISEASE 5","1"
"C0009363","Congenital ocular coloboma (disorder)","59"
"C0010278","Craniosynostosis","70"
"C0013393","Dysostoses","1"
"C0018784","Sensorineural Hearing Loss (disorder)","10"
"C0151744","Myocardial Ischemia","169"
"C0205696","Anaplastic carcinoma","161"
"C0205697","Carcinoma, Spindle-Cell","161"
"C0263579","Pigmented hairy epidermal nevus","1"
"C0265541","Cranioschisis","10"
"C1257925","Mammary Carcinoma, Animal","135"
"C1691779","Sensory hearing loss","10"
"C1846331","Juvenile-onset dystonia","1"
"C1855722","Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation","2"
"C1858042","Becker Nevus Syndrome","1"
"C0024623","Malignant neoplasm of stomach","160"
"C0340427","Familial dilated cardiomyopathy","42"
"C0344724","Ostium secundum atrial septal defect","9"
"C1449563","Cardiomyopathy, Familial Idiopathic","38"
"C1527310","Ametropia","3"
"C1708349","Hereditary Diffuse Gastric Cancer","3"
"C1960469","Left ventricular noncompaction","14"
"C2677506","Cardiomyopathy, Familial Hypertrophic, 11","1"
"C2748552","Atrial Septal Defect 5","1"
"C3150681","CARDIOMYOPATHY, DILATED, 1R","1"
"C3150682","LEFT VENTRICULAR NONCOMPACTION 4","1"
"C4021133","Left ventricular noncompaction cardiomyopathy","16"
"C0001787","Osteoporosis, Age-Related","59"
"C0029456","Osteoporosis","59"
"C0029459","Osteoporosis, Senile","59"
"C0266551","Congenital coloboma of iris","5"
"C0751406","Post-Traumatic Osteoporosis","59"
"C0948089","Acute Coronary Syndrome","33"
"C1858172","Deafness, Autosomal Dominant 20","1"
"C3281235","BARAITSER-WINTER SYNDROME 2","1"
"C0042781","Visceral Myopathy","2"
"C0266833","Visceral Myopathy, Familial","1"
"C1608393","Megacystis microcolon intestinal hypoperistalsis syndrome","4"
"C1835084","Megaduodenum and-or Megacystis","1"
"C1864996","Visceral Neuropathy, Familial, Autosomal Dominant","1"
"C0333497","Segmental glomerulosclerosis","1"
"C3554663","BLEEDING DISORDER, PLATELET-TYPE, 15","1"
"C4304021","Autosomal dominant macrothrombocytopenia","6"
"C2677338","Cardiomyopathy, Dilated, 1AA","1"
"C4225403","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 23, WITH OR WITHOUT VENTRICULAR NONCOMPACTION","1"
"C0004114","Astrocytoma","29"
"C0016037","Fibrodysplasia Ossificans Progressiva","1"
"C0017638","Glioma","85"
"C0027122","Myositis Ossificans","1"
"C0205768","Subependymal Giant Cell Astrocytoma","25"
"C0242488","Acute Lung Injury","20"
"C0259783","mixed gliomas","67"
"C0280783","Juvenile Pilocytic Astrocytoma","25"
"C0280785","Diffuse Astrocytoma","25"
"C0334579","Anaplastic astrocytoma","27"
"C0334580","Protoplasmic astrocytoma","26"
"C0334581","Gemistocytic astrocytoma","26"
"C0334582","Fibrillary Astrocytoma","26"
"C0334583","Pilocytic Astrocytoma","27"
"C0338070","Childhood Cerebral Astrocytoma","25"
"C0547065","Mixed oligoastrocytoma","25"
"C0555198","Malignant Glioma","67"
"C0750935","Cerebral Astrocytoma","25"
"C0750936","Intracranial Astrocytoma","25"
"C1704230","Grade I Astrocytoma","25"
"C0278701","Gastric Adenocarcinoma","45"
"C0037221","Situs Inversus","9"
"C0175707","Asplenia Syndrome","4"
"C0265357","Polysplenia Syndrome","4"
"C0266642","Situs ambiguus","9"
"C1167664","Situs ambiguous","7"
"C3151057","HETEROTAXY, VISCERAL, 4, AUTOSOMAL","1"
"C3178805","Heterotaxy Syndrome","4"
"C3178806","Right Atrial Isomerism","4"
"C3178807","Left Atrial Isomerism","4"
"C0039445","Hereditary hemorrhagic telangiectasia","10"
"C0340543","Familial primary pulmonary hypertension","11"
"C1701939","Familial pulmonary arterial hypertension","8"
"C1832529","HEREDITARY HEMORRHAGIC TELANGIECTASIA-RELATED PULMONARY ARTERIAL HYPERTENSION","1"
"C1838163","OSLER-RENDU-WEBER SYNDROME 2","1"
"C2973725","Pulmonary arterial hypertension","16"
"C3203102","Idiopathic pulmonary arterial hypertension","19"
"C1835922","Aminoacylase 1 deficiency","1"
"C0020452","Hyperemia","13"
"C0268124","Adenosine deaminase deficiency","1"
"C0392607","Severe combined immunodeficiency due to adenosine deaminase deficiency","1"
"C1863236","SCID Due to ADA Deficiency, Early-Onset","1"
"C1863239","Partial adenosine deaminase deficiency","1"
"C2700553","Omenn Syndrome","14"
"C0406811","Reticulate acropigmentation of Kitamura","4"
"C1321872","Stage IV Skin Melanoma","4"
"C3714534","dowling-degos disease","5"
"C3810041","ALZHEIMER DISEASE 18","1"
"C0037773","Spastic Paraplegia, Hereditary","72"
"C0393591","AICARDI-GOUTIERES SYNDROME","7"
"C0406775","Symmetrical dyschromatosis of extremities","1"
"C0795996","STRIATONIGRAL DEGENERATION, INFANTILE (disorder)","2"
"C0796126","AICARDI-GOUTIERES SYNDROME 1","6"
"C3489724","Aicardi-Goutieres Syndrome 2","6"
"C3489725","Pseudo-TORCH syndrome","7"
"C3539013","AICARDI-GOUTIERES SYNDROME 6","1"
"C0032460","Polycystic Ovary Syndrome","127"
"C1136382","Sclerocystic Ovaries","127"
"C0013146","Drug abuse","101"
"C0029231","Organic Mental Disorders, Substance-Induced","101"
"C0038580","Substance Dependence","101"
"C0740858","Substance abuse problem","104"
"C0038587","Substance Withdrawal Syndrome","53"
"C0149925","Small cell carcinoma of lung","53"
"C1857809","DEAFNESS, AUTOSOMAL RECESSIVE 44","1"
"C0004096","Asthma","77"
"C0011875","Diabetic Angiopathies","16"
"C0025945","Microangiopathy, Diabetic","16"
"C0028756","Obesity, Morbid","7"
"C0011860","Diabetes Mellitus, Non-Insulin-Dependent","141"
"C0393584","Benign Hereditary Chorea","3"
"C1623038","Cirrhosis","44"
"C1847627","Dyskinesia, Familial, with Facial Myokymia","1"
"C1859098","Chorea, Benign Familial","2"
"C4225385","LETHAL CONGENITAL CONTRACTURE SYNDROME 8","1"
"C0009324","Ulcerative Colitis","58"
"C0023467","Leukemia, Myelocytic, Acute","139"
"C0026998","Acute Myeloid Leukemia, M1","106"
"C1879321","Acute Myeloid Leukemia (AML-M2)","107"
"C0026205","Miosis disorder","1"
"C0268849","Overactive Detrusor","4"
"C0279626","Squamous cell carcinoma of esophagus","86"
"C0878773","Overactive Bladder","4"
"C0085580","Essential Hypertension","12"
"C4302111","Familial Ménière disease","122"
"C0149504","Encephalopathy, Toxic","25"
"C0154659","Toxic Encephalitis","25"
"C2751938","Cerebral Palsy, Spastic Quadriplegic, 1","3"
"C4310767","CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 3","1"
"C0015695","Fatty Liver","70"
"C2711227","Steatohepatitis","70"
"C0001956","Alcohol Use Disorder","46"
"C0001969","Alcoholic Intoxication","32"
"C0007107","Malignant neoplasm of larynx","2"
"C0007785","Cerebral Infarction","11"
"C0023055","Laryngeal neoplasm","2"
"C0153381","Malignant neoplasm of mouth","53"
"C0153405","Malignant neoplasm of pharynx","2"
"C0349464","Wernicke-Korsakoff Syndrome","3"
"C0751010","Cerebral Infarction, Left Hemisphere","11"
"C0751011","Cerebral Infarction, Right Hemisphere","11"
"C0751012","Anterior Choroidal Artery Infarction","11"
"C0751014","Subcortical Infarction","11"
"C3160718","PARKINSON DISEASE, LATE-ONSET","10"
"C0008370","Cholestasis","143"
"C0020796","Profound Mental Retardation","132"
"C0025363","Mental Retardation, Psychosocial","132"
"C0917816","Mental deficiency","132"
"C1112213","Cholestasis in newborn","85"
"C3280381","HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY","1"
"C0017658","Glomerulonephritis","28"
"C0036690","Septicemia","24"
"C0038358","Gastric ulcer","18"
"C0243026","Sepsis","24"
"C1704377","Bright Disease","28"
"C1719672","Severe Sepsis","24"
"C0007370","Catalepsy","15"
"C0007787","Transient Ischemic Attack","10"
"C0033054","Prenatal Exposure Delayed Effects","11"
"C0038525","Subarachnoid Hemorrhage","5"
"C0238281","Middle Cerebral Artery Syndrome","33"
"C0472381","Posterior Circulation Transient Ischemic Attack","10"
"C0740376","Middle Cerebral Artery Thrombosis","33"
"C0740392","Infarction, Middle Cerebral Artery","33"
"C0751019","Carotid Circulation Transient Ischemic Attack","10"
"C0751020","Transient Ischemic Attack, Vertebrobasilar Circulation","10"
"C0751021","Crescendo Transient Ischemic Attacks","10"
"C0751022","Brain Stem Ischemia, Transient","10"
"C0751845","Middle Cerebral Artery Embolus","33"
"C0751846","Left Middle Cerebral Artery Infarction","33"
"C0751847","Embolic Infarction, Middle Cerebral Artery","33"
"C0751848","Thrombotic Infarction, Middle Cerebral Artery","33"
"C0751849","Right Middle Cerebral Artery Infarction","33"
"C0917805","Transient Cerebral Ischemia","10"
"C1527335","Transient Ischemic Attack, Anterior Circulation","10"
"C0003873","Rheumatoid Arthritis","170"
"C0011573","Endogenous depression","44"
"C0021603","Sleep Initiation and Maintenance Disorders","4"
"C0025193","Melancholia","39"
"C0030319","Panic Disorder","5"
"C0033139","Primary Insomnia","4"
"C0033937","Psychoses, Drug","21"
"C0033941","Psychoses, Substance-Induced","17"
"C0035126","Reperfusion Injury","87"
"C0086133","Depressive Syndrome","40"
"C0086769","Panic Attacks","5"
"C0282126","Depression, Neurotic","39"
"C0349255","Nonorganic Insomnia","4"
"C0376280","Anxiety States, Neurotic","38"
"C0751249","Chronic Insomnia","4"
"C0751250","Psychophysiological Insomnia","4"
"C0751252","Sleep Initiation Dysfunction","4"
"C1279420","Anxiety neurosis (finding)","38"
"C0002170","Alopecia","12"
"C0002871","Anemia","31"
"C0011603","Dermatitis","13"
"C0014518","Toxic Epidermal Necrolysis","29"
"C0019158","Hepatitis","15"
"C0026764","Multiple Myeloma","39"
"C0038325","Stevens-Johnson Syndrome","30"
"C0042842","Vitamin A Deficiency","5"
"C0086873","Pseudopelade","12"
"C0162311","Androgenetic Alopecia","12"
"C0242423","Ramsay Hunt Paralysis Syndrome","25"
"C0263477","Female pattern alopecia (disorder)","12"
"C0752097","Autosomal Dominant Juvenile Parkinson Disease","25"
"C0752098","Autosomal Dominant Parkinsonism","25"
"C0752100","Autosomal Recessive Parkinsonism","25"
"C0752101","Parkinsonism, Experimental","25"
"C0752104","Familial Juvenile Parkinsonism","25"
"C0752105","Parkinsonism, Juvenile","25"
"C1274933","Drug-Induced Stevens Johnson Syndrome","29"
"C1868675","PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE","25"
"C2931673","Ceroid lipofuscinosis, neuronal 1, infantile","10"
"C3658301","Mycoplasma-Induced Stevens-Johnson Syndrome","29"
"C3658302","Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum","29"
"C0006870","Cannabis Dependence","16"
"C0009171","Cocaine Abuse","101"
"C0600427","Cocaine Dependence","117"
"C3496069","cocaine use","11"
"C0014544","Epilepsy","58"
"C0086237","Epilepsy, Cryptogenic","58"
"C0751111","Awakening Epilepsy","58"
"C1832841","EPILEPSY, FAMILIAL ADULT MYOCLONIC, 1","3"
"C1842852","EPILEPSY, MYOCLONIC, BENIGN ADULT FAMILIAL, TYPE 2","1"
"C0001849","AIDS Dementia Complex","2"
"C0020473","Hyperlipidemia","17"
"C0206019","HIV Encephalopathy","2"
"C4505456","HIV Coinfection","102"
"C0162820","Dermatitis, Allergic Contact","65"
"C1319315","Adenocarcinoma of large intestine","94"
"C0024713","Manic Disorder","43"
"C0338831","Manic","54"
"C0268126","Adenylosuccinate lyase deficiency (disorder)","1"
"C0019207","Hepatoma, Morris","59"
"C0019208","Hepatoma, Novikoff","59"
"C0086404","Experimental Hepatoma","59"
"C1863081","alpha-Fetoprotein Deficiency","1"
"C2931840","Aspartylglucosamidase (AGA) deficiency","1"
"C0004681","Bagassosis","14"
"C0032273","Pneumoconiosis","14"
"C0238288","Muscular Dystrophy, Facioscapulohumeral","12"
"C1842149","Spondyloepiphyseal Dysplasia, Kimberley Type","1"
"C2748544","Spondyloepimetaphyseal Dysplasia, Aggrecan Type","1"
"C3665488","Familial Osteochondritis Dissecans","1"
"C0020456","Hyperglycemia","20"
"C0038870","Neuralgia, Supraorbital","15"
"C0042656","Neuralgia, Vidian","15"
"C0234247","Neuralgia, Atypical","15"
"C0234249","Neuralgia, Stump","15"
"C0423711","Neuralgia, Perineal","15"
"C0423712","Neuralgia, Iliohypogastric Nerve","15"
"C0752347","Lewy Body Disease","18"
"C0017922","Glycogen Storage Disease Type III","2"
"C1968739","Glycogen Storage Disease IIIA","1"
"C1968740","Glycogen Storage Disease IIIB","1"
"C1968741","Glycogen Storage Disease IIIC","1"
"C1968742","Glycogen Storage Disease IIID","1"
"C2936915","Amylo-1,6-glucosidase deficiency","1"
"C0010606","Adenoid Cystic Carcinoma","95"
"C0011052","Prelingual Deafness","17"
"C0017636","Glioblastoma","66"
"C0039685","Tetralogy of Fallot","16"
"C0085280","Alagille Syndrome","2"
"C0220636","Malignant neoplasm of salivary gland","41"
"C0334588","Giant Cell Glioblastoma","71"
"C0751068","Deafness, Acquired","17"
"C0887833","Carcinoma, Pancreatic Ductal","21"
"C1621958","Glioblastoma Multiforme","101"
"C1857761","Alagille Syndrome 2","2"
"C1956125","Alagille Syndrome 1","2"
"C2930797","Hepatic ductular hypoplasia","2"
"C4082305","Deaf Mutism","17"
"C0002949","Aneurysm, Dissecting","5"
"C0003486","Aortic Aneurysm","5"
"C0007192","Cardiomyopathy, Alcoholic","1"
"C0011881","Diabetic Nephropathy","38"
"C0011884","Diabetic Retinopathy","11"
"C0017661","IGA Glomerulonephritis","33"
"C0017667","Nodular glomerulosclerosis","38"
"C0020540","Malignant Hypertension","3"
"C0020544","Renal hypertension","3"
"C0027720","Nephrosis","15"
"C0029944","Drug Overdose","2"
"C0035078","Kidney Failure","15"
"C0035344","Retinopathy of Prematurity","4"
"C0162871","Aortic Aneurysm, Abdominal","10"
"C0266313","Allanson Pantzar McLeod syndrome","4"
"C0340643","Dissection of aorta","5"
"C0577631","Carotid Atherosclerosis","11"
"C0750986","Internal Carotid Artery Diseases","11"
"C0750987","Arterial Diseases, Common Carotid","11"
"C1565489","Renal Insufficiency","15"
"C2678367","Renal Tubular Dysgenesis With Choanal Atresia And Athelia","4"
"C0000822","Abortion, Tubal","105"
"C0013274","Patent ductus arteriosus","6"
"C0032000","Pituitary Adenoma","9"
"C0346300","Pituitary carcinoma","6"
"C2936170","Patent Ductus Arteriosus Familial","6"
"C0010093","Corpus Luteum Cyst","31"
"C0029927","Ovarian Cysts","31"
"C0206692","Carcinoma, Lobular","6"
"C0853897","Diabetic Cardiomyopathies","10"
"C1136249","Mental Retardation, X-Linked","21"
"C2931498","Mental Retardation, X-Linked 1","33"
"C0268164","Primary hyperoxaluria, type I","1"
"C0018054","Gonadal Dysgenesis, 46,XY","9"
"C0020619","Hypogonadism","14"
"C0028960","Oligospermia","10"
"C0220766","Congenital hypoplasia of adrenal gland","1"
"C0271623","Hypogonadotropic hypogonadism","14"
"C0342384","Idiopathic hypogonadotropic hypogonadism","44"
"C0342482","X-linked Adrenal Hypoplasia","20"
"C0432475","XX males","5"
"C0795887","Complex Glycerol Kinase Deficiency","1"
"C0948896","Primary hypogonadism","14"
"C1848296","DOSAGE-SENSITIVE SEX REVERSAL","1"
"C1868690","Hypoadrenocorticism, familial","1"
"C2936419","46, XX Testicular Disorders of Sex Development","5"
"C2936694","Swyer Syndrome","9"
"C3489396","Hypogonadism, Isolated Hypogonadotropic","14"
"C4505291","Xp21 Contiguous Gene Deletion Syndrome","1"
"C0020305","Hydrops Fetalis","64"
"C0152013","Adenocarcinoma of lung (disorder)","71"
"C0268621","Hepatic methionine adenosyltransferase deficiency","3"
"C0750905","Amino Acid Metabolism, Inherited Disorders","13"
"C1847720","Glycine N-Methyltransferase Deficiency","3"
"C3151058","S-adenosylhomocysteine hydrolase deficiency","3"
"C4048705","Hypermethioninemia","3"
"C0003865","Arthritis, Adjuvant-Induced","39"
"C0005683","Urinary Bladder Calculi (disorder)","1"
"C0011616","Contact Dermatitis","71"
"C0021364","Male infertility","41"
