"gene","ID","Name"
"IGF1","C0002395","Alzheimer's Disease"
"IGF1R","C0002395","Alzheimer's Disease"
"IGF2","C0002395","Alzheimer's Disease"
"IGF2R","C0002395","Alzheimer's Disease"
"IL1B","C0002395","Alzheimer's Disease"
"INS","C0002395","Alzheimer's Disease"
"INSR","C0002395","Alzheimer's Disease"
"LEP","C0002395","Alzheimer's Disease"
"MAOB","C0002395","Alzheimer's Disease"
"MAPT","C0002395","Alzheimer's Disease"
"MPO","C0002395","Alzheimer's Disease"
"MTHFR","C0002395","Alzheimer's Disease"
"NOS3","C0002395","Alzheimer's Disease"
"NPY","C0002395","Alzheimer's Disease"
"PLAU","C0002395","Alzheimer's Disease"
"PLCG2","C0002395","Alzheimer's Disease"
"PPARG","C0002395","Alzheimer's Disease"
"PRNP","C0002395","Alzheimer's Disease"
"RELN","C0002395","Alzheimer's Disease"
"PSEN1","C0002395","Alzheimer's Disease"
"PSEN2","C0002395","Alzheimer's Disease"
"PYY","C0002395","Alzheimer's Disease"
"SLC2A4","C0002395","Alzheimer's Disease"
"SOD2","C0002395","Alzheimer's Disease"
"SORL1","C0002395","Alzheimer's Disease"
"TF","C0002395","Alzheimer's Disease"
"TFAM","C0002395","Alzheimer's Disease"
"TNF","C0002395","Alzheimer's Disease"
"TPI1","C0002395","Alzheimer's Disease"
"VEGFA","C0002395","Alzheimer's Disease"
"VSNL1","C0002395","Alzheimer's Disease"
"SLC30A4","C0002395","Alzheimer's Disease"
"PICALM","C0002395","Alzheimer's Disease"
"ABCA7","C0002395","Alzheimer's Disease"
"CYP46A1","C0002395","Alzheimer's Disease"
"PAXIP1","C0002395","Alzheimer's Disease"
"ARC","C0002395","Alzheimer's Disease"
"NCSTN","C0002395","Alzheimer's Disease"
"CD2AP","C0002395","Alzheimer's Disease"
"BACE1","C0002395","Alzheimer's Disease"
"GAPDHS","C0002395","Alzheimer's Disease"
"PCDH11X","C0002395","Alzheimer's Disease"
"ABI3","C0002395","Alzheimer's Disease"
"MS4A4A","C0002395","Alzheimer's Disease"
"TREM2","C0002395","Alzheimer's Disease"
"SLC30A6","C0002395","Alzheimer's Disease"
"MIR146A","C0002395","Alzheimer's Disease"
"PARP1","C0002871","Anemia"
"AGT","C0002871","Anemia"
"ATP7A","C0002871","Anemia"
"CDK6","C0002871","Anemia"
"CSF2","C0002871","Anemia"
"CSF3","C0002871","Anemia"
"EPO","C0002871","Anemia"
"GSR","C0002871","Anemia"
"HOXD13","C0002871","Anemia"
"HP","C0002871","Anemia"
"IFNA2","C0002871","Anemia"
"IGF2","C0002871","Anemia"
"IL2","C0002871","Anemia"
"IL3","C0002871","Anemia"
"KRAS","C0002871","Anemia"
"MTHFR","C0002871","Anemia"
"NUP98","C0002871","Anemia"
"PRL","C0002871","Anemia"
"PTH","C0002871","Anemia"
"REN","C0002871","Anemia"
"SOD2","C0002871","Anemia"
"TNF","C0002871","Anemia"
"TYMS","C0002871","Anemia"
"TNFRSF10A","C0002871","Anemia"
"ATG5","C0002871","Anemia"
"ATG7","C0002871","Anemia"
"SLC40A1","C0002871","Anemia"
"SLC25A37","C0002871","Anemia"
"HAMP","C0002871","Anemia"
"SLC46A1","C0002871","Anemia"
"ASPG","C0002871","Anemia"
"ADCY2","C0004096","Asthma  disease"
"ADCYAP1R1","C0004096","Asthma  disease"
"PARP1","C0004096","Asthma  disease"
"ADRB2","C0004096","Asthma  disease"
"ALDH2","C0004096","Asthma  disease"
"ALOX5","C0004096","Asthma  disease"
"AREG","C0004096","Asthma  disease"
"ARG1","C0004096","Asthma  disease"
"ARG2","C0004096","Asthma  disease"
"BCL2","C0004096","Asthma  disease"
"BGLAP","C0004096","Asthma  disease"
"CAT","C0004096","Asthma  disease"
"CD14","C0004096","Asthma  disease"
"NQO1","C0004096","Asthma  disease"
"DNAH5","C0004096","Asthma  disease"
"DNMT1","C0004096","Asthma  disease"
"EDN1","C0004096","Asthma  disease"
"GSTM1","C0004096","Asthma  disease"
"GSTP1","C0004096","Asthma  disease"
"HLA-DPB1","C0004096","Asthma  disease"
"HLA-DQA1","C0004096","Asthma  disease"
"HLA-DQB1","C0004096","Asthma  disease"
"HLA-DRB1","C0004096","Asthma  disease"
"HLA-G","C0004096","Asthma  disease"
"HMOX1","C0004096","Asthma  disease"
"HNMT","C0004096","Asthma  disease"
"HSD11B2","C0004096","Asthma  disease"
"TNC","C0004096","Asthma  disease"
"ICAM1","C0004096","Asthma  disease"
"IL1B","C0004096","Asthma  disease"
"IL1RN","C0004096","Asthma  disease"
"IL4","C0004096","Asthma  disease"
"IL5","C0004096","Asthma  disease"
"IL13","C0004096","Asthma  disease"
"KRT19","C0004096","Asthma  disease"
"MMP9","C0004096","Asthma  disease"
"MMP10","C0004096","Asthma  disease"
"MUC7","C0004096","Asthma  disease"
"MYB","C0004096","Asthma  disease"
"NOS2","C0004096","Asthma  disease"
"NPY","C0004096","Asthma  disease"
"PDE4B","C0004096","Asthma  disease"
"PDE4D","C0004096","Asthma  disease"
"PLAU","C0004096","Asthma  disease"
"PPP2CA","C0004096","Asthma  disease"
"PTEN","C0004096","Asthma  disease"
"RNASE3","C0004096","Asthma  disease"
"CCL2","C0004096","Asthma  disease"
"CCL5","C0004096","Asthma  disease"
"CCL11","C0004096","Asthma  disease"
"SOD1","C0004096","Asthma  disease"
"SPRR2B","C0004096","Asthma  disease"
"TGFB1","C0004096","Asthma  disease"
"TIMP3","C0004096","Asthma  disease"
"TNF","C0004096","Asthma  disease"
"VEGFA","C0004096","Asthma  disease"
"PLA2G7","C0004096","Asthma  disease"
"TRPA1","C0004096","Asthma  disease"
"IL1RL1","C0004096","Asthma  disease"
"CXCL14","C0004096","Asthma  disease"
"RAD50","C0004096","Asthma  disease"
"TNIP1","C0004096","Asthma  disease"
"KIF3A","C0004096","Asthma  disease"
"PTGDR2","C0004096","Asthma  disease"
"IKZF3","C0004096","Asthma  disease"
"CTNNA3","C0004096","Asthma  disease"
"TBX21","C0004096","Asthma  disease"
"PHF11","C0004096","Asthma  disease"
"GSDMB","C0004096","Asthma  disease"
"TSLP","C0004096","Asthma  disease"
"IL33","C0004096","Asthma  disease"
"ORMDL3","C0004096","Asthma  disease"
"SCGB3A2","C0004096","Asthma  disease"
"WDR36","C0004096","Asthma  disease"
"PYHIN1","C0004096","Asthma  disease"
"CDHR3","C0004096","Asthma  disease"
"IFNL3","C0004096","Asthma  disease"
"NPSR1","C0004096","Asthma  disease"
"ADARB1","C0005586","Bipolar Disorder"
"ADCY2","C0005586","Bipolar Disorder"
"ADCYAP1","C0005586","Bipolar Disorder"
"GRK3","C0005586","Bipolar Disorder"
"AKT1","C0005586","Bipolar Disorder"
"ALDH2","C0005586","Bipolar Disorder"
"ANK3","C0005586","Bipolar Disorder"
"APOE","C0005586","Bipolar Disorder"
"ARNTL","C0005586","Bipolar Disorder"
"ATP1A3","C0005586","Bipolar Disorder"
"AVPR1B","C0005586","Bipolar Disorder"
"BCL2","C0005586","Bipolar Disorder"
"BCR","C0005586","Bipolar Disorder"
"BDNF","C0005586","Bipolar Disorder"
"CACNA1C","C0005586","Bipolar Disorder"
"CACNB2","C0005586","Bipolar Disorder"
"AKR1C4","C0005586","Bipolar Disorder"
"CHRNA7","C0005586","Bipolar Disorder"
"COMT","C0005586","Bipolar Disorder"
"CREB1","C0005586","Bipolar Disorder"
"CRHR1","C0005586","Bipolar Disorder"
"CSNK1E","C0005586","Bipolar Disorder"
"NCAN","C0005586","Bipolar Disorder"
"DAO","C0005586","Bipolar Disorder"
"DBH","C0005586","Bipolar Disorder"
"ACE","C0005586","Bipolar Disorder"
"DDC","C0005586","Bipolar Disorder"
"DLG3","C0005586","Bipolar Disorder"
"DLG4","C0005586","Bipolar Disorder"
"DNMT1","C0005586","Bipolar Disorder"
"DRD1","C0005586","Bipolar Disorder"
"DRD2","C0005586","Bipolar Disorder"
"DRD3","C0005586","Bipolar Disorder"
"DRD4","C0005586","Bipolar Disorder"
"DRD5","C0005586","Bipolar Disorder"
"DUSP6","C0005586","Bipolar Disorder"
"ERBB4","C0005586","Bipolar Disorder"
"ESR1","C0005586","Bipolar Disorder"
"F9","C0005586","Bipolar Disorder"
"FKBP5","C0005586","Bipolar Disorder"
"GABRA3","C0005586","Bipolar Disorder"
"GABRA5","C0005586","Bipolar Disorder"
"GAD1","C0005586","Bipolar Disorder"
"GNAL","C0005586","Bipolar Disorder"
"GRIA1","C0005586","Bipolar Disorder"
"GRIK2","C0005586","Bipolar Disorder"
"GRIK4","C0005586","Bipolar Disorder"
"GRIN1","C0005586","Bipolar Disorder"
"GRIN2A","C0005586","Bipolar Disorder"
"GRIN2B","C0005586","Bipolar Disorder"
"NR3C1","C0005586","Bipolar Disorder"
"GRM3","C0005586","Bipolar Disorder"
"GRM7","C0005586","Bipolar Disorder"
"GSK3B","C0005586","Bipolar Disorder"
"NRG1","C0005586","Bipolar Disorder"
"HSPA4","C0005586","Bipolar Disorder"
"HTR1A","C0005586","Bipolar Disorder"
"HTR2A","C0005586","Bipolar Disorder"
"HTR2C","C0005586","Bipolar Disorder"
"IGF1","C0005586","Bipolar Disorder"
"IL1B","C0005586","Bipolar Disorder"
"IMPA2","C0005586","Bipolar Disorder"
"INPP1","C0005586","Bipolar Disorder"
"INS","C0005586","Bipolar Disorder"
"ITIH1","C0005586","Bipolar Disorder"
"ITIH3","C0005586","Bipolar Disorder"
"KCNN3","C0005586","Bipolar Disorder"
"MAOA","C0005586","Bipolar Disorder"
"MMP9","C0005586","Bipolar Disorder"
"MTHFR","C0005586","Bipolar Disorder"
"NCAM1","C0005586","Bipolar Disorder"
"NDUFV2","C0005586","Bipolar Disorder"
"NFIX","C0005586","Bipolar Disorder"
"NOTCH4","C0005586","Bipolar Disorder"
"NTRK2","C0005586","Bipolar Disorder"
"NR4A2","C0005586","Bipolar Disorder"
"P2RX7","C0005586","Bipolar Disorder"
"PDE4B","C0005586","Bipolar Disorder"
"PFKL","C0005586","Bipolar Disorder"
"SERPINA1","C0005586","Bipolar Disorder"
"PIP4K2A","C0005586","Bipolar Disorder"
"PLA2G1B","C0005586","Bipolar Disorder"
"POMC","C0005586","Bipolar Disorder"
"RELN","C0005586","Bipolar Disorder"
"PVALB","C0005586","Bipolar Disorder"
"RGS4","C0005586","Bipolar Disorder"
"S100B","C0005586","Bipolar Disorder"
"SLC1A2","C0005586","Bipolar Disorder"
"SLC6A2","C0005586","Bipolar Disorder"
"SLC6A3","C0005586","Bipolar Disorder"
"SLC6A4","C0005586","Bipolar Disorder"
"SNAP25","C0005586","Bipolar Disorder"
"SP4","C0005586","Bipolar Disorder"
"SST","C0005586","Bipolar Disorder"
"NEK4","C0005586","Bipolar Disorder"
"TACR1","C0005586","Bipolar Disorder"
"TCF4","C0005586","Bipolar Disorder"
"TCF7L2","C0005586","Bipolar Disorder"
"TH","C0005586","Bipolar Disorder"
"TLR2","C0005586","Bipolar Disorder"
"TLR4","C0005586","Bipolar Disorder"
"TSPAN8","C0005586","Bipolar Disorder"
"TNF","C0005586","Bipolar Disorder"
"TPH1","C0005586","Bipolar Disorder"
"HSP90B1","C0005586","Bipolar Disorder"
"TRPM2","C0005586","Bipolar Disorder"
"TSNAX","C0005586","Bipolar Disorder"
"WFS1","C0005586","Bipolar Disorder"
"XBP1","C0005586","Bipolar Disorder"
"ST8SIA2","C0005586","Bipolar Disorder"
"BHLHE40","C0005586","Bipolar Disorder"
"NAPG","C0005586","Bipolar Disorder"
"PER3","C0005586","Bipolar Disorder"
"PER2","C0005586","Bipolar Disorder"
"TIMELESS","C0005586","Bipolar Disorder"
"ERDA1","C0005586","Bipolar Disorder"
"SYNGR1","C0005586","Bipolar Disorder"
"GPR50","C0005586","Bipolar Disorder"
"FADS2","C0005586","Bipolar Disorder"
"CLOCK","C0005586","Bipolar Disorder"
"HCG9","C0005586","Bipolar Disorder"
"PDLIM5","C0005586","Bipolar Disorder"
"PDE10A","C0005586","Bipolar Disorder"
"NLGN1","C0005586","Bipolar Disorder"
"MLC1","C0005586","Bipolar Disorder"
"CUX2","C0005586","Bipolar Disorder"
"SYNE1","C0005586","Bipolar Disorder"
"SIRT1","C0005586","Bipolar Disorder"
"BRD1","C0005586","Bipolar Disorder"
"TENM4","C0005586","Bipolar Disorder"
"DISC1","C0005586","Bipolar Disorder"
"PBRM1","C0005586","Bipolar Disorder"
"CSMD1","C0005586","Bipolar Disorder"
"PALB2","C0005586","Bipolar Disorder"
"LMAN2L","C0005586","Bipolar Disorder"
"DTNBP1","C0005586","Bipolar Disorder"
"PPP1R1B","C0005586","Bipolar Disorder"
"NTNG2","C0005586","Bipolar Disorder"
"CHRFAM7A","C0005586","Bipolar Disorder"
"ZNF804A","C0005586","Bipolar Disorder"
"TPH2","C0005586","Bipolar Disorder"
"DGKH","C0005586","Bipolar Disorder"
"ANKK1","C0005586","Bipolar Disorder"
"DAOA","C0005586","Bipolar Disorder"
"DAOA-AS1","C0005586","Bipolar Disorder"
"TAAR6","C0005586","Bipolar Disorder"
"MIR137","C0005586","Bipolar Disorder"
"AKT1","C0007131","Non-Small Cell Lung Carcinoma"
"AKT2","C0007131","Non-Small Cell Lung Carcinoma"
"ALK","C0007131","Non-Small Cell Lung Carcinoma"
"APC","C0007131","Non-Small Cell Lung Carcinoma"
"BIRC5","C0007131","Non-Small Cell Lung Carcinoma"
"FASLG","C0007131","Non-Small Cell Lung Carcinoma"
"AREG","C0007131","Non-Small Cell Lung Carcinoma"
"ATF3","C0007131","Non-Small Cell Lung Carcinoma"
"AXL","C0007131","Non-Small Cell Lung Carcinoma"
"BRAF","C0007131","Non-Small Cell Lung Carcinoma"
"CASP8","C0007131","Non-Small Cell Lung Carcinoma"
"CAT","C0007131","Non-Small Cell Lung Carcinoma"
"CD9","C0007131","Non-Small Cell Lung Carcinoma"
"MS4A1","C0007131","Non-Small Cell Lung Carcinoma"
"CD74","C0007131","Non-Small Cell Lung Carcinoma"
"CDH13","C0007131","Non-Small Cell Lung Carcinoma"
"CDKN2A","C0007131","Non-Small Cell Lung Carcinoma"
"CHGA","C0007131","Non-Small Cell Lung Carcinoma"
"CSF3","C0007131","Non-Small Cell Lung Carcinoma"
"CST6","C0007131","Non-Small Cell Lung Carcinoma"
"CYLD","C0007131","Non-Small Cell Lung Carcinoma"
"CYP2E1","C0007131","Non-Small Cell Lung Carcinoma"
"DAPK1","C0007131","Non-Small Cell Lung Carcinoma"
"AKR1C1","C0007131","Non-Small Cell Lung Carcinoma"
"NQO1","C0007131","Non-Small Cell Lung Carcinoma"
"DUSP3","C0007131","Non-Small Cell Lung Carcinoma"
"EGFR","C0007131","Non-Small Cell Lung Carcinoma"
"ENO1","C0007131","Non-Small Cell Lung Carcinoma"
"ENO2","C0007131","Non-Small Cell Lung Carcinoma"
"ERBB2","C0007131","Non-Small Cell Lung Carcinoma"
"ERCC1","C0007131","Non-Small Cell Lung Carcinoma"
"FGF9","C0007131","Non-Small Cell Lung Carcinoma"
"FGFR1","C0007131","Non-Small Cell Lung Carcinoma"
"FGFR2","C0007131","Non-Small Cell Lung Carcinoma"
"FHIT","C0007131","Non-Small Cell Lung Carcinoma"
"FOXM1","C0007131","Non-Small Cell Lung Carcinoma"
"FOXO3","C0007131","Non-Small Cell Lung Carcinoma"
"GIPR","C0007131","Non-Small Cell Lung Carcinoma"
"GCLC","C0007131","Non-Small Cell Lung Carcinoma"
"GSTM2","C0007131","Non-Small Cell Lung Carcinoma"
"GSTP1","C0007131","Non-Small Cell Lung Carcinoma"
"HES1","C0007131","Non-Small Cell Lung Carcinoma"
"IL6R","C0007131","Non-Small Cell Lung Carcinoma"
"CXCL8","C0007131","Non-Small Cell Lung Carcinoma"
"IL10","C0007131","Non-Small Cell Lung Carcinoma"
"ITGB1","C0007131","Non-Small Cell Lung Carcinoma"
"ITGB4","C0007131","Non-Small Cell Lung Carcinoma"
"KDR","C0007131","Non-Small Cell Lung Carcinoma"
"KIF5B","C0007131","Non-Small Cell Lung Carcinoma"
"KIT","C0007131","Non-Small Cell Lung Carcinoma"
"KRAS","C0007131","Non-Small Cell Lung Carcinoma"
"LGALS1","C0007131","Non-Small Cell Lung Carcinoma"
"MDM2","C0007131","Non-Small Cell Lung Carcinoma"
"MET","C0007131","Non-Small Cell Lung Carcinoma"
"MMP1","C0007131","Non-Small Cell Lung Carcinoma"
"MMP9","C0007131","Non-Small Cell Lung Carcinoma"
"MMP11","C0007131","Non-Small Cell Lung Carcinoma"
"MT3","C0007131","Non-Small Cell Lung Carcinoma"
"MYC","C0007131","Non-Small Cell Lung Carcinoma"
"NFE2L2","C0007131","Non-Small Cell Lung Carcinoma"
"NNAT","C0007131","Non-Small Cell Lung Carcinoma"
"NOTCH3","C0007131","Non-Small Cell Lung Carcinoma"
"NRAS","C0007131","Non-Small Cell Lung Carcinoma"
"SLC22A18","C0007131","Non-Small Cell Lung Carcinoma"
"OXTR","C0007131","Non-Small Cell Lung Carcinoma"
"PRDX1","C0007131","Non-Small Cell Lung Carcinoma"
"PGAM1","C0007131","Non-Small Cell Lung Carcinoma"
"ABCB1","C0007131","Non-Small Cell Lung Carcinoma"
"PIK3CA","C0007131","Non-Small Cell Lung Carcinoma"
"PPIA","C0007131","Non-Small Cell Lung Carcinoma"
"MAP2K1","C0007131","Non-Small Cell Lung Carcinoma"
"MAP2K2","C0007131","Non-Small Cell Lung Carcinoma"
"PTEN","C0007131","Non-Small Cell Lung Carcinoma"
"PTHLH","C0007131","Non-Small Cell Lung Carcinoma"
"PXN","C0007131","Non-Small Cell Lung Carcinoma"
"RAF1","C0007131","Non-Small Cell Lung Carcinoma"
"RB1","C0007131","Non-Small Cell Lung Carcinoma"
"RET","C0007131","Non-Small Cell Lung Carcinoma"
"RHEB","C0007131","Non-Small Cell Lung Carcinoma"
"ROS1","C0007131","Non-Small Cell Lung Carcinoma"
"RRAD","C0007131","Non-Small Cell Lung Carcinoma"
"RRM1","C0007131","Non-Small Cell Lung Carcinoma"
"SDC4","C0007131","Non-Small Cell Lung Carcinoma"
"SHMT2","C0007131","Non-Small Cell Lung Carcinoma"
"SMARCA4","C0007131","Non-Small Cell Lung Carcinoma"
"SOD2","C0007131","Non-Small Cell Lung Carcinoma"
"SOX2","C0007131","Non-Small Cell Lung Carcinoma"
"STAT3","C0007131","Non-Small Cell Lung Carcinoma"
"STK11","C0007131","Non-Small Cell Lung Carcinoma"
"SYP","C0007131","Non-Small Cell Lung Carcinoma"
"TERT","C0007131","Non-Small Cell Lung Carcinoma"
"TGFA","C0007131","Non-Small Cell Lung Carcinoma"
"NKX2-1","C0007131","Non-Small Cell Lung Carcinoma"
"TP53","C0007131","Non-Small Cell Lung Carcinoma"
"PHLDA2","C0007131","Non-Small Cell Lung Carcinoma"
"UCHL1","C0007131","Non-Small Cell Lung Carcinoma"
"VEGFA","C0007131","Non-Small Cell Lung Carcinoma"
"XPC","C0007131","Non-Small Cell Lung Carcinoma"
"NCOA3","C0007131","Non-Small Cell Lung Carcinoma"
"BAP1","C0007131","Non-Small Cell Lung Carcinoma"
"RECK","C0007131","Non-Small Cell Lung Carcinoma"
"OSMR","C0007131","Non-Small Cell Lung Carcinoma"
"ADAMTS1","C0007131","Non-Small Cell Lung Carcinoma"
"KEAP1","C0007131","Non-Small Cell Lung Carcinoma"
"COL4A3BP","C0007131","Non-Small Cell Lung Carcinoma"
"RBM7","C0007131","Non-Small Cell Lung Carcinoma"
"NDRG1","C0007131","Non-Small Cell Lung Carcinoma"
"SLC34A2","C0007131","Non-Small Cell Lung Carcinoma"
"RASSF1","C0007131","Non-Small Cell Lung Carcinoma"
"KDM1A","C0007131","Non-Small Cell Lung Carcinoma"
"PRAME","C0007131","Non-Small Cell Lung Carcinoma"
"CORO1C","C0007131","Non-Small Cell Lung Carcinoma"
"MXRA5","C0007131","Non-Small Cell Lung Carcinoma"
"PHGDH","C0007131","Non-Small Cell Lung Carcinoma"
"EML4","C0007131","Non-Small Cell Lung Carcinoma"
"PYCARD","C0007131","Non-Small Cell Lung Carcinoma"
"PSAT1","C0007131","Non-Small Cell Lung Carcinoma"
"ERGIC3","C0007131","Non-Small Cell Lung Carcinoma"
"PRR13","C0007131","Non-Small Cell Lung Carcinoma"
"CHFR","C0007131","Non-Small Cell Lung Carcinoma"
"SELENOS","C0007131","Non-Small Cell Lung Carcinoma"
"AVEN","C0007131","Non-Small Cell Lung Carcinoma"
"CARD18","C0007131","Non-Small Cell Lung Carcinoma"
"PLBD1","C0007131","Non-Small Cell Lung Carcinoma"
"CLPTM1L","C0007131","Non-Small Cell Lung Carcinoma"
"MIR126","C0007131","Non-Small Cell Lung Carcinoma"
"MIR145","C0007131","Non-Small Cell Lung Carcinoma"
"MIR205","C0007131","Non-Small Cell Lung Carcinoma"
"MIR29A","C0007131","Non-Small Cell Lung Carcinoma"
"MIR30C1","C0007131","Non-Small Cell Lung Carcinoma"
"MIR346","C0007131","Non-Small Cell Lung Carcinoma"
"MIR638","C0007131","Non-Small Cell Lung Carcinoma"
"MIR1246","C0007131","Non-Small Cell Lung Carcinoma"
"ADK","C0008370","Cholestasis"
"JAG1","C0008370","Cholestasis"
"AGT","C0008370","Cholestasis"
"ALDH1B1","C0008370","Cholestasis"
"ALDOB","C0008370","Cholestasis"
"ARG1","C0008370","Cholestasis"
"ATP7B","C0008370","Cholestasis"
"BAAT","C0008370","Cholestasis"
"BCAT1","C0008370","Cholestasis"
"BLVRA","C0008370","Cholestasis"
"CAT","C0008370","Cholestasis"
"CFTR","C0008370","Cholestasis"
"ABCC2","C0008370","Cholestasis"
"MAPK14","C0008370","Cholestasis"
"CYP1A2","C0008370","Cholestasis"
"CYP7A1","C0008370","Cholestasis"
"CYP8B1","C0008370","Cholestasis"
"CYP27A1","C0008370","Cholestasis"
"DGUOK","C0008370","Cholestasis"
"DHCR7","C0008370","Cholestasis"
"NQO1","C0008370","Cholestasis"
"EGR1","C0008370","Cholestasis"
"FAH","C0008370","Cholestasis"
"FGA","C0008370","Cholestasis"
"GALT","C0008370","Cholestasis"
"GBA","C0008370","Cholestasis"
"GBE1","C0008370","Cholestasis"
"CXCL2","C0008370","Cholestasis"
"HADHA","C0008370","Cholestasis"
"HFE","C0008370","Cholestasis"
"IARS","C0008370","Cholestasis"
"ICAM1","C0008370","Cholestasis"
"ID4","C0008370","Cholestasis"
"IGF1","C0008370","Cholestasis"
"IL6","C0008370","Cholestasis"
"CXCL8","C0008370","Cholestasis"
"LIPA","C0008370","Cholestasis"
"DNAJB9","C0008370","Cholestasis"
"MPI","C0008370","Cholestasis"
"MPV17","C0008370","Cholestasis"
"MVK","C0008370","Cholestasis"
"NFE2L2","C0008370","Cholestasis"
"NOS2","C0008370","Cholestasis"
"NOTCH2","C0008370","Cholestasis"
"NPC1","C0008370","Cholestasis"
"NPHP1","C0008370","Cholestasis"
"SERPINE1","C0008370","Cholestasis"
"SERPINA5","C0008370","Cholestasis"
"PDYN","C0008370","Cholestasis"
"PEX1","C0008370","Cholestasis"
"PEX6","C0008370","Cholestasis"
"PEX7","C0008370","Cholestasis"
"PEX10","C0008370","Cholestasis"
"PEX12","C0008370","Cholestasis"
"PEX13","C0008370","Cholestasis"
"PEX14","C0008370","Cholestasis"
"ATP8B1","C0008370","Cholestasis"
"ABCB4","C0008370","Cholestasis"
"SERPINA1","C0008370","Cholestasis"
"PKHD1","C0008370","Cholestasis"
"POLG","C0008370","Cholestasis"
"POMC","C0008370","Cholestasis"
"PON1","C0008370","Cholestasis"
"MAPK13","C0008370","Cholestasis"
"PEX19","C0008370","Cholestasis"
"PEX5","C0008370","Cholestasis"
"RDX","C0008370","Cholestasis"
"RELA","C0008370","Cholestasis"
"CCL7","C0008370","Cholestasis"
"SLC16A2","C0008370","Cholestasis"
"SMPD1","C0008370","Cholestasis"
"SNAI1","C0008370","Cholestasis"
"SORL1","C0008370","Cholestasis"
"AKR1D1","C0008370","Cholestasis"
"SRP72","C0008370","Cholestasis"
"SULT2B1","C0008370","Cholestasis"
"TALDO1","C0008370","Cholestasis"
"HNF1B","C0008370","Cholestasis"
"TFR2","C0008370","Cholestasis"
"TLR2","C0008370","Cholestasis"
"TNF","C0008370","Cholestasis"
"NR1H2","C0008370","Cholestasis"
"VCAM1","C0008370","Cholestasis"
"VIL1","C0008370","Cholestasis"
"REEP5","C0008370","Cholestasis"
"PEX3","C0008370","Cholestasis"
"ABCB11","C0008370","Cholestasis"
"ABCC3","C0008370","Cholestasis"
"PEX11B","C0008370","Cholestasis"
"F2RL3","C0008370","Cholestasis"
"PEX16","C0008370","Cholestasis"
"TJP2","C0008370","Cholestasis"
"CYP7B1","C0008370","Cholestasis"
"PAN2","C0008370","Cholestasis"
"SLC23A2","C0008370","Cholestasis"
"SLC23A1","C0008370","Cholestasis"
"NR1H4","C0008370","Cholestasis"
"NR1H3","C0008370","Cholestasis"
"SLC25A13","C0008370","Cholestasis"
"NPC2","C0008370","Cholestasis"
"BTG3","C0008370","Cholestasis"
"SLC27A5","C0008370","Cholestasis"
"KANK1","C0008370","Cholestasis"
"AMACR","C0008370","Cholestasis"
"LY96","C0008370","Cholestasis"
"HACL1","C0008370","Cholestasis"
"VPS33B","C0008370","Cholestasis"
"NPHP3","C0008370","Cholestasis"
"INVS","C0008370","Cholestasis"
"ERLEC1","C0008370","Cholestasis"
"SLC40A1","C0008370","Cholestasis"
"TMED7","C0008370","Cholestasis"
"HAO2","C0008370","Cholestasis"
"TMEM216","C0008370","Cholestasis"
"DCDC2","C0008370","Cholestasis"
"UGT1A1","C0008370","Cholestasis"
