"Disorder.Name","disease.class"
"Myocardial Infarction","C14"
"Hyalinosis, Segmental Glomerular","C12;C13"
"Chronic Persistent Hepatitis","C06"
"Aortic Aneurysm, Thoracic","C14"
"Endometrioma","C13"
"Congenital aneurysm of ascending aorta","C14"
"Chronic active hepatitis","C06"
"Cryptogenic Chronic Hepatitis","C06"
"Cakut","C12;C13;C16"
"Congenital ocular coloboma (disorder)","C11;C16"
"Craniosynostosis","C05;C16"
"Myocardial Ischemia","C14"
"Anaplastic carcinoma","C04"
"Carcinoma, Spindle-Cell","C04"
"Mammary Carcinoma, Animal","C04;C22"
"Malignant neoplasm of stomach","C04;C06"
"Familial dilated cardiomyopathy","C14"
"Cardiomyopathy, Familial Idiopathic","C14"
"Left ventricular noncompaction cardiomyopathy",""
"Osteoporosis, Age-Related","C05;C18"
"Osteoporosis","C05;C18"
"Osteoporosis, Senile","C05;C18"
"Post-Traumatic Osteoporosis","C05;C18"
"Acute Coronary Syndrome","C14"
"Astrocytoma","C04"
"Glioma","C04"
"Subependymal Giant Cell Astrocytoma","C04"
"Acute Lung Injury","C08"
"mixed gliomas","C04"
"Juvenile Pilocytic Astrocytoma","C04"
"Diffuse Astrocytoma","C04"
"Anaplastic astrocytoma","C04"
"Protoplasmic astrocytoma","C04"
"Gemistocytic astrocytoma","C04"
"Fibrillary Astrocytoma","C04"
"Pilocytic Astrocytoma","C04"
"Childhood Cerebral Astrocytoma","C04"
"Mixed oligoastrocytoma","C04"
"Malignant Glioma","C04"
"Cerebral Astrocytoma","C04"
"Intracranial Astrocytoma","C04"
"Grade I Astrocytoma","C04"
"Gastric Adenocarcinoma",""
"Pulmonary arterial hypertension",""
"Idiopathic pulmonary arterial hypertension","C08"
"Spastic Paraplegia, Hereditary","C10;C16"
"Polycystic Ovary Syndrome","C04;C13;C19"
"Sclerocystic Ovaries","C04;C13;C19"
"Drug abuse","C25;F03"
"Organic Mental Disorders, Substance-Induced","C25;F03"
"Substance Dependence","C25;F03"
"Substance abuse problem","C25;F03"
"Substance Withdrawal Syndrome","C25;F03"
"Small cell carcinoma of lung","C04;C08"
"Asthma","C08;C20"
"Diabetic Angiopathies","C14;C19"
"Microangiopathy, Diabetic","C14;C19"
"Diabetes Mellitus, Non-Insulin-Dependent","C18;C19"
"Cirrhosis","C23"
"Ulcerative Colitis","C06"
"Leukemia, Myelocytic, Acute","C04"
"Acute Myeloid Leukemia, M1","C04"
"Acute Myeloid Leukemia (AML-M2)","C04"
"Squamous cell carcinoma of esophagus","C04;C06"
"Familial Ménière disease",""
"Encephalopathy, Toxic","C10;C25"
"Toxic Encephalitis","C10;C25"
"Fatty Liver","C06"
"Steatohepatitis","C06"
"Alcohol Use Disorder","C25;F03"
"Alcoholic Intoxication","C25;F03"
"Malignant neoplasm of mouth","C04;C07"
"Cholestasis","C06"
"Profound Mental Retardation","C10;C23;F01;F03"
"Mental Retardation, Psychosocial","C10;C23;F01;F03"
"Mental deficiency","C10;C23;F01;F03"
"Cholestasis in newborn",""
"Glomerulonephritis","C12;C13"
"Septicemia","C01;C23"
"Gastric ulcer","C06"
"Sepsis","C01;C23"
"Bright Disease","C12;C13"
"Severe Sepsis","C01;C23"
"Catalepsy","C10;C23"
"Middle Cerebral Artery Syndrome","C10;C14"
"Middle Cerebral Artery Thrombosis","C10;C14"
"Infarction, Middle Cerebral Artery","C10;C14"
"Middle Cerebral Artery Embolus","C10;C14"
"Left Middle Cerebral Artery Infarction","C10;C14"
"Embolic Infarction, Middle Cerebral Artery","C10;C14"
"Thrombotic Infarction, Middle Cerebral Artery","C10;C14"
"Right Middle Cerebral Artery Infarction","C10;C14"
"Rheumatoid Arthritis","C05;C17;C20"
"Endogenous depression","F03"
"Melancholia","F03"
"Psychoses, Drug","C25;F03"
"Psychoses, Substance-Induced","C25;F03"
"Reperfusion Injury","C14;C23"
"Depressive Syndrome","F03"
"Depression, Neurotic","F03"
"Anxiety States, Neurotic","F03"
"Anxiety neurosis (finding)","F03"
"Anemia","C15"
"Toxic Epidermal Necrolysis","C07;C17;C20;C25"
"Hepatitis","C06"
"Multiple Myeloma","C04;C14;C15;C20"
"Stevens-Johnson Syndrome","C07;C17;C20;C25"
"Ramsay Hunt Paralysis Syndrome","C10"
"Autosomal Dominant Juvenile Parkinson Disease","C10"
"Autosomal Dominant Parkinsonism","C10"
"Autosomal Recessive Parkinsonism","C10"
"Parkinsonism, Experimental","C10"
"Familial Juvenile Parkinsonism","C10"
"Parkinsonism, Juvenile","C10"
"Drug-Induced Stevens Johnson Syndrome","C07;C17;C20;C25"
"PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE","C10"
"Mycoplasma-Induced Stevens-Johnson Syndrome","C07;C17;C20;C25"
"Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum","C07;C17;C20;C25"
"Cannabis Dependence","C25;F03"
"Cocaine Abuse","C25;F03"
"Cocaine Dependence","C25;F03"
"Epilepsy","C10"
"Epilepsy, Cryptogenic","C10"
"Awakening Epilepsy","C10"
"Hyperlipidemia","C18"
"HIV Coinfection","C02;C20"
"Dermatitis, Allergic Contact","C17;C20"
"Adenocarcinoma of large intestine",""
"Manic Disorder","F03"
"Manic","F03"
"Hepatoma, Morris","C04;C06"
"Hepatoma, Novikoff","C04;C06"
"Experimental Hepatoma","C04;C06"
"Hyperglycemia","C18"
"Neuralgia, Supraorbital","C10;C23"
"Neuralgia, Vidian","C10;C23"
"Neuralgia, Atypical","C10;C23"
"Neuralgia, Stump","C10;C23"
"Neuralgia, Perineal","C10;C23"
"Neuralgia, Iliohypogastric Nerve","C10;C23"
"Lewy Body Disease","C10;F03"
"Adenoid Cystic Carcinoma","C04"
"Prelingual Deafness","C09;C10;C23"
"Glioblastoma","C04"
"Tetralogy of Fallot","C14;C16"
"Malignant neoplasm of salivary gland","C04;C07"
"Giant Cell Glioblastoma","C04"
"Deafness, Acquired","C09;C10;C23"
"Carcinoma, Pancreatic Ductal","C04;C06;C19"
"Glioblastoma Multiforme","C04"
"Deaf Mutism","C09;C10;C23"
"Diabetic Nephropathy","C12;C13;C19"
"IGA Glomerulonephritis","C12;C13;C20"
"Nodular glomerulosclerosis","C12;C13;C19"
"Nephrosis","C12;C13"
"Kidney Failure","C12;C13"
"Renal Insufficiency","C12;C13"
"Abortion, Tubal","C13"
"Corpus Luteum Cyst","C04;C13;C19"
"Ovarian Cysts","C04;C13;C19"
"Mental Retardation, X-Linked","C10;C16"
"Mental Retardation, X-Linked 1","C10;C16"
"Idiopathic hypogonadotropic hypogonadism","C19"
"X-linked Adrenal Hypoplasia","C19"
"Hydrops Fetalis","C13;C15;C16;C20;C23"
"Adenocarcinoma of lung (disorder)","C04;C08"
"Arthritis, Adjuvant-Induced","C05"
"Contact Dermatitis","C17"
"Male infertility","C12"
"Lung Injury","C08;C26"
"Arthritis, Collagen-Induced","C05"
"Arthritis, Experimental","C05"
"Chronic Lung Injury","C08;C26"
"Tumoral calcinosis","C18"
"Parkinson Disease","C10"
"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse","C04;C15;C20"
"Adenocarcinoma of prostate",""
"Malignant neoplasm of skin","C04;C17"
"Non-Small Cell Lung Carcinoma","C04;C08"
"Squamous cell carcinoma","C04"
"Acute Promyelocytic Leukemia","C04"
"Marijuana Abuse","C25;F03"
"Meningioma","C04;C10"
"Osteosarcoma","C04"
"Ovarian Carcinoma",""
"Adenomatous Polyposis Coli","C04;C06;C16"
"Cutaneous Melanoma","C04;C17"
"Meningiomas, Multiple","C04;C10"
"Breast Cancer, Familial","C04;C17"
"Neoplasm of uncertain or unknown behavior of ovary",""
"Neoplasm of uncertain or unknown behavior of breast",""
"Breast adenocarcinoma",""
"ovarian neoplasm","C04;C13;C19"
"Malignant neoplasm of ovary","C04;C13;C19"
"Squamous cell carcinoma of the head and neck","C04"
"Polyposis, Adenomatous Intestinal","C04;C06;C16"
"Familial Intestinal Polyposis","C04;C06;C16"
"Pancreatic carcinoma","C04;C06;C19"
"Nasopharyngeal carcinoma","C04;C07;C09"
"Pancreatitis","C06"
"Urticaria","C17;C20"
"Liver Failure, Acute","C06"
"Cataract","C11"
"Pseudoaphakia","C11"
"Paranoid Schizophrenia","F03"
"Hepatitis, Autoimmune","C06;C20"
"Endometrial Carcinoma","C04;C13"
"Rhabdomyosarcoma","C04"
"Diffuse Large B-Cell Lymphoma","C04;C15;C20"
"Malignant neoplasm of brain","C04;C10"
"Papillary thyroid carcinoma","C04;C19"
"Benign neoplasm of brain, unspecified","C04;C10"
"Brain Tumor, Primary","C04;C10"
"Recurrent Brain Neoplasm","C04;C10"
"Primary malignant neoplasm of brain","C04;C10"
"Ovarian Serous Adenocarcinoma",""
"Colitis","C06"
"Adenoma, Basal Cell","C04"
"Follicular adenoma","C04"
"Adenoma, Microcystic","C04"
"Adenoma, Monomorphic","C04"
"Papillary adenoma","C04"
"Adenoma, Trabecular","C04"
"Morbilliform Drug Reaction","C17;C20;C25"
"Palmoplantar Keratosis","C16;C17"
"Erythrokeratoderma",""
"Polydactyly","C05;C16"
"Amelogenesis Imperfecta","C07;C16"
"Carcinoma, Transitional Cell","C04"
"Cerebellar Hypoplasia","C10;C16;F03"
"Amyotrophic Lateral Sclerosis","C10;C18"
"Hemangiosarcoma","C04"
"Long QT Syndrome","C14;C16;C23"
"Brugada Syndrome (disorder)","C14;C16"
"Status Epilepticus","C10;C23"
"Anhedonia","C10;C23;F01"
"Petit mal status","C10;C23"
"Grand Mal Status Epilepticus","C10;C23"
"Complex Partial Status Epilepticus","C10;C23"
"Status Epilepticus, Subclinical","C10;C23"
"Non-Convulsive Status Epilepticus","C10;C23"
"Simple Partial Status Epilepticus","C10;C23"
"Lymphatic Metastasis","C04;C23"
"Lupus Erythematosus, Systemic","C17;C20"
"Libman-Sacks Disease","C17;C20"
"Medulloblastoma","C04"
"Mesothelioma","C04"
"Benign neoplasm of stomach",""
"Carcinoma in situ of stomach",""
"Medullomyoblastoma","C04"
"Childhood Medulloblastoma","C04"
"Adult Medulloblastoma","C04"
"Neoplasm of uncertain or unknown behavior of stomach",""
"Colon Carcinoma",""
"Stomach Carcinoma",""
"Desmoplastic Medulloblastoma","C04"
"Melanotic medulloblastoma","C04"
"Hereditary Nonpolyposis Colorectal Cancer","C04;C06;C16;C18"
"leukemia","C04"
"Chronic Lymphocytic Leukemia","C04;C15;C20"
"AMYOTROPHIC LATERAL SCLEROSIS 1","C10;C18"
"Amyotrophic Lateral Sclerosis, Sporadic","C10;C18"
"Uterine Cervical Neoplasm","C04;C13"
"Adult T-Cell Lymphoma/Leukemia","C04;C15;C20"
"cervical cancer","C04;C13"
"Behcet Syndrome","C07;C11;C14;C16;C17"
"Periodic Fever Syndrome",""
"Coronary heart disease","C14"
"Degenerative Diseases, Spinal Cord","C10"
"Multiple Sclerosis","C10;C20"
"Pustulosis of Palms and Soles","C17"
"Psoriasis","C17"
"Multiple Sclerosis, Acute Fulminating","C10;C20"
"Amnesia","C10;C23;F01;F03"
"Hysterical amnesia","C10;C23;F01;F03"
"Temporary Amnesia","C10;C23;F01;F03"
"Dissociative Amnesia","C10;C23;F01;F03"
"Global Amnesia","C10;C23;F01;F03"
"Tactile Amnesia","C10;C23;F01;F03"
"Amnestic State","C10;C23;F01;F03"
"Lymphoma, Non-Hodgkin","C04;C15;C20"
"Lymphoma, T-Cell, Cutaneous","C04;C15;C20"
"Granulomatous Slack Skin","C04;C15;C20"
"Non-alcoholic Fatty Liver Disease","C06"
"Nonalcoholic Steatohepatitis","C06"
"Arsenic Poisoning, Inorganic","C10;C25"
"Nervous System, Organic Arsenic Poisoning","C10;C25"
"Arsenic Poisoning","C10;C25"
"Arsenic Encephalopathy","C10;C25"
"Arsenic Induced Polyneuropathy","C10;C25"
"Subfertility, Female","C13"
"Microcephaly","C05;C10;C16"
"Malignant Head and Neck Neoplasm","C04"
"Cancer of Neck","C04"
"Cancer of Head","C04"
"Congenital diaphragmatic hernia","C16;C23"
"Congenital hernia of foramen of Morgagni","C16;C23"
"Congenital hernia of foramen of Bochdalek","C16;C23"
"Seasonal Affective Disorder","F03"
"Hydrocephalus","C10"
"Attention Deficit Disorder","F03"
"Attention deficit hyperactivity disorder","F03"
"Minimal Brain Dysfunction","F03"
"CONOTRUNCAL ANOMALY FACE SYNDROME","C05;C14;C15;C16;C19"
"Basal cell carcinoma","C04"
"Pigmented Basal Cell Carcinoma","C04"
"Deep Vein Thrombosis","C14"
"Atrial Fibrillation","C14;C23"
"Paroxysmal atrial fibrillation","C14;C23"
"Influenza","C02;C08"
"Benign neoplasm of bladder",""
"Carcinoma in situ of bladder",""
"Neoplasm of uncertain or unknown behavior of bladder",""
"Carcinoma of bladder",""
"Hereditary non-polyposis colorectal cancer syndrome",""
"Lymphoma, Follicular","C04;C15;C20"
"Lymphoma, Large-Cell, Follicular","C04;C15;C20"
"Lymphoma, Mixed-Cell, Follicular","C04;C15;C20"
"Lymphoma, Small Cleaved-Cell, Follicular","C04;C15;C20"
"Lymphoma, Follicular, Grade 1","C04;C15;C20"
"Lymphoma, Follicular, Grade 3","C04;C15;C20"
"Lymphoma, Follicular, Grade 2","C04;C15;C20"
"Kidney Neoplasm","C04;C12;C13"
"Malignant neoplasm of kidney","C04;C12;C13"
"Malignant neoplasm of endometrium",""
"Squamous cell carcinoma of lung",""
"Carcinoma in situ of endometrium",""
"Infiltrating duct carcinoma of female breast",""
"Primary microcephaly",""
"Hematopoetic Myelodysplasia","C15"
"Dysautonomia, Familial","C10;C16"
"Pain Disorder","F03"
"Schizoaffective Disorder","F03"
"Autism Spectrum Disorders","F03"
"Bardet-Biedl Syndrome","C10;C16"
"Thyroid Neoplasm","C04;C19"
"Thyroid Gland Follicular Adenoma","C04;C19"
"Thyroid carcinoma","C04;C19"
"Dyschondroplasias","C05;C16"
"Liver Cirrhosis, Alcoholic","C06;C25"
"Reticulosarcoma","C04;C15;C20"
"Lymphoma, Mixed-Cell","C04;C15;C20"
"Lymphoma, Undifferentiated","C04;C15;C20"
"Melnick-Needles Syndrome","C05;C16"
"Multiple Epiphyseal Dysplasia","C05;C16"
"Schwartz-Jampel Syndrome","C05;C16"
"Spondyloepiphyseal Dysplasia","C05;C16"
"High Grade Lymphoma (neoplasm)","C04;C15;C20"
"Lymphoma, Intermediate-Grade","C04;C15;C20"
"Low Grade Lymphoma (neoplasm)","C04;C15;C20"
"Diffuse Mixed-Cell Lymphoma","C04;C15;C20"
"Lymphoma, Small Noncleaved-Cell","C04;C15;C20"
"Van Buchem disease","C05;C16"
"Bipolar I disorder",""
"Spondyloepiphyseal Dysplasia Tarda, X-Linked","C05;C16"
"Lymphoma, Diffuse","C04;C15;C20"
"Leigh Disease","C10;C16;C18"
"Encephalopathy, Subacute Necrotizing, Infantile","C10;C16;C18"
"Encephalopathy, Subacute Necrotizing, Juvenile","C10;C16;C18"
"Epilepsy, Temporal Lobe","C10"
"Uncinate Epilepsy","C10"
"Epilepsy, Benign Psychomotor, Childhood","C10"
"Epilepsy, Lateral Temporal","C10"
"Nuclear cataract",""
"Nuclear non-senile cataract",""
"Primary biliary cirrhosis","C06"
"Biliary cirrhosis","C06"
"Biliary Cirrhosis, Secondary","C06"
"Acrocephaly","C05;C16"
"Uremia","C12;C13"
"Brachycephaly","C05;C16"
"Scaphycephaly","C05;C16"
"Trigonocephaly","C05;C16"
"Synostotic Posterior Plagiocephaly","C05;C16"
"Metopic synostosis","C05;C16"
"Synostotic Anterior Plagiocephaly","C05;C16"
"Metastatic melanoma",""
"Prostate cancer, familial","C04;C12"
"Neurofibromatosis 1","C04;C10;C16"
"Noonan Syndrome","C05;C14;C16;C17"
"Sezary Syndrome","C04;C15;C20"
"Adrenocortical carcinoma","C04;C19"
"Cholangiocarcinoma","C04"
"Carcinoma of lung",""
"Fanconi Anemia","C15;C16;C18"
"Nephroblastoma","C04;C12;C13;C16"
"Esophageal atresia with or without tracheoesophageal fistula","C06;C08;C16;C23"
"Bilateral Wilms Tumor","C04;C12;C13;C16"
"Radial club hand",""
"Embryonal Neoplasm","C04"
"Neoplasms, Embryonal and Mixed","C04"
"Germ Cell Cancer","C04"
"Cancer, Embryonal and Mixed","C04"
"Microlissencephaly","C05;C10;C16"
"Severe Congenital Microcephaly","C05;C10;C16"
"Antibody Deficiency Syndrome","C20"
"Amyotrophic Lateral Sclerosis With Dementia","C10;C18"
"Amyotrophic Lateral Sclerosis, Guam Form","C10;C18"
"Ataxia, Spinocerebellar","C10;C16"
"Spinocerebellar Ataxia Type 1","C10;C16"
"Spinocerebellar Ataxia Type 2","C10;C16"
"Spinocerebellar Ataxia Type 4","C10;C16"
"Spinocerebellar Ataxia Type 5","C10;C16"
"Spinocerebellar Ataxia Type 6 (disorder)","C10;C16"
"Spinocerebellar Ataxia Type 7","C10;C16"
"Involutional Depression","F03"
"Diabetes Mellitus, Insulin-Dependent","C18;C19;C20"
"Dyskinesia, Drug-Induced","C10;C23;C25"
"Diabetes, Autoimmune","C18;C19;C20"
"Brittle diabetes","C18;C19;C20"
"Dyskinesia, Medication-Induced","C10;C23;C25"
"Involutional paraphrenia","F03"
"Psychosis, Involutional","F03"
"Diabetes Mellitus, Ketosis-Prone","C18;C19;C20"
"Juvenile Myelomonocytic Leukemia","C04;C15"
"Celiac Disease","C06;C18"
"Cleft Palate","C05;C07;C16"
"Cleft palate, isolated","C05;C07;C16"
"Anorexia","C23"
"Gastrointestinal Stromal Sarcoma","C04;C06"
"Chronic Obstructive Airway Disease","C08"
"Chronic Airflow Obstruction","C08"
"Chloracne","C17"
"Hodgkin Disease","C04;C15;C20"
"Malaria","C03"
"Hepatitis C","C02;C06"
"Action Myoclonus-Renal Failure Syndrome","C10"
"Epidermolysis Bullosa","C16;C17"
"Barrett Esophagus","C04;C06"
"Barrett Epithelium","C04;C06"
"MAJOR AFFECTIVE DISORDER 2","C16;F03"
"Autosomal Recessive Primary Microcephaly","C05;C10;C16"
"Spina Bifida","C10;C16"
"Myasthenic Syndromes, Congenital","C10;C16"
"Congenital Myasthenic Syndromes, Presynaptic","C10;C16"
"Atypical Inclusion-Body Disease","C10"
"Familial Progressive Myoclonic Epilepsy","C10"
"Myoclonic Epilepsies, Progressive","C10"
"Biotin-Responsive Encephalopathy","C10"
"Dentatorubral-Pallidoluysian Atrophy","C10"
"May-White Syndrome","C10"
"Pheochromocytoma","C04"
"Pheochromocytoma, Extra-Adrenal","C04"
"Narcolepsy","C10;F03"
"Narcolepsy-Cataplexy Syndrome","C10;F03"
"Congenital Myasthenic Syndromes, Postsynaptic","C10;C16"
"Myasthenic Syndromes, Congenital, Slow Channel","C10;C16"
"Dermatitis, Atopic","C16;C17;C20"
"Eczema, Infantile","C16;C17;C20"
"Oral Submucous Fibrosis","C07"
"Hyperinsulinism","C18"
"Endogenous Hyperinsulinism","C18"
"Exogenous Hyperinsulinism","C18"
"Compensatory Hyperinsulinemia","C18"
"Cytochrome-c Oxidase Deficiency","C16;C18"
"West Syndrome","C10"
"Crohn Disease","C06"
"Crohn's disease of large bowel","C06"
"Crohn's disease of the ileum","C06"
"Metabolic Syndrome X","C18"
"Regional enteritis","C06"
"IIeocolitis","C06"
"Leber Congenital Amaurosis","C11"
"Neutropenia","C15"
"Congenital Hypothyroidism","C05;C16;C19"
"Thyroid Agenesis","C16;C19"
"ATRIAL FIBRILLATION, FAMILIAL, 1 (disorder)","C14;C23"
"gliosarcoma","C04"
"Ovarian Mucinous Adenocarcinoma",""
"Kallmann Syndrome","C12;C13;C16;C19"
"Arrhythmogenic Right Ventricular Dysplasia","C14;C16"
"Leukemia, Monocytic, Chronic","C04"
"Myeloid Leukemia","C04"
"Kartagener Syndrome","C08;C09;C14;C16"
"Polynesian Bronchiectasis","C08;C09;C14;C16"
"Intrahepatic Cholangiocarcinoma","C04"
"Extrahepatic Cholangiocarcinoma","C04"
"Benign neoplasm of adrenal gland",""
"Benign neoplasm of aortic body and other paraganglia",""
"Malignant Adrenal Medulla Neoplasm",""
"Malignant neoplasm of aortic body and other paraganglia",""
"Holoprosencephaly","C05;C10;C16"
"Lobar Holoprosencephaly","C05;C10;C16"
"Alobar Holoprosencephaly","C05;C10;C16"
"Semilobar Holoprosencephaly","C05;C10;C16"
"Anemia, Diamond-Blackfan","C15;C16"
"Aase Smith syndrome 2","C15;C16"
"Zellweger Syndrome","C06;C10;C12;C13;C16;C18"
"Adrenoleukodystrophy, Neonatal","C16;C18"
"African Burkitt's lymphoma","C02;C04;C15;C20"
"MITOCHONDRIAL COMPLEX I DEFICIENCY","C18"
"NADH:Q(1) Oxidoreductase deficiency","C18"
"Familial aplasia of the vermis","C11;C12;C13;C16"
"Meckel-Gruber syndrome",""
