"Disorder.Name","Semantic.Type"
"Nonorganic psychosis","Mental or Behavioral Dysfunction"
"Depression, Bipolar","Mental or Behavioral Dysfunction"
"Charcot-Marie-Tooth Disease","Disease or Syndrome"
"Epileptic encephalopathy","Disease or Syndrome"
"Jacksonian Seizure","Disease or Syndrome"
"Complex partial seizures","Disease or Syndrome"
"Generalized seizures","Disease or Syndrome"
"Seizures, Clonic","Disease or Syndrome"
"Visual seizure","Disease or Syndrome"
"Epileptic drop attack","Disease or Syndrome"
"Olfactory seizure","Disease or Syndrome"
"Vertiginous seizure","Disease or Syndrome"
"Tonic - clonic seizures","Disease or Syndrome"
"Single Seizure","Disease or Syndrome"
"Atonic Absence Seizures","Disease or Syndrome"
"Nonepileptic Seizures","Disease or Syndrome"
"Epileptic Seizures","Disease or Syndrome"
"Generalized Absence Seizures","Disease or Syndrome"
"Atherosclerosis","Disease or Syndrome"
"Colorectal Carcinoma","Neoplastic Process"
"Hypercholesterolemia","Disease or Syndrome"
"Hypercholesterolemia, Familial","Disease or Syndrome"
"Kidney Failure, Chronic","Disease or Syndrome"
"Hyperlipoproteinemia Type IIa","Disease or Syndrome"
"Colorectal Cancer","Neoplastic Process"
"Pulmonary Fibrosis","Disease or Syndrome"
"Hamman-Rich syndrome","Disease or Syndrome"
"Idiopathic Pulmonary Fibrosis","Disease or Syndrome"
"Tremor, Rubral","Disease or Syndrome"
"Pneumonia","Disease or Syndrome"
"Lobar Pneumonia","Disease or Syndrome"
"Experimental Lung Inflammation","Experimental Model of Disease"
"Pneumonitis","Disease or Syndrome"
"Cleft upper lip","Congenital Abnormality"
"Retinitis Pigmentosa","Disease or Syndrome"
"Age related macular degeneration","Disease or Syndrome"
"Burkitt Lymphoma","Neoplastic Process"
"Myeloid Leukemia, Chronic","Neoplastic Process"
"melanoma","Neoplastic Process"
"Adenocarcinoma, Basal Cell","Neoplastic Process"
"Adenocarcinoma, Oxyphilic","Neoplastic Process"
"Carcinoma, Cribriform","Neoplastic Process"
"Carcinoma, Granular Cell","Neoplastic Process"
"Adenocarcinoma, Tubular","Neoplastic Process"
"Large cell carcinoma of lung","Neoplastic Process"
"Malignant neoplasm of esophagus","Neoplastic Process"
"Precursor B-cell lymphoblastic leukemia","Neoplastic Process"
"Precursor T-Cell Lymphoblastic Leukemia-Lymphoma","Neoplastic Process"
"Pancreatic Neoplasm","Neoplastic Process"
"Alcohol abuse","Mental or Behavioral Dysfunction"
"Malignant neoplasm of pancreas","Neoplastic Process"
"Epithelial ovarian cancer","Neoplastic Process"
"Acute Cerebrovascular Accidents","Disease or Syndrome"
"Heart failure","Disease or Syndrome"
"Congestive heart failure","Disease or Syndrome"
"Left-Sided Heart Failure","Disease or Syndrome"
"Heart Failure, Right-Sided","Disease or Syndrome"
"Myocardial Failure","Disease or Syndrome"
"Obesity","Disease or Syndrome"
"Arthrogryposis","Disease or Syndrome"
"Necrotizing Enterocolitis","Disease or Syndrome"
"Bipolar Disorder","Mental or Behavioral Dysfunction"
"Hypertrophic Cardiomyopathy","Disease or Syndrome"
"Brain Ischemia","Disease or Syndrome"
"Brain Lacerations","Injury or Poisoning"
"Cerebral Ischemia","Disease or Syndrome"
"Renal Cell Carcinoma","Neoplastic Process"
"Memory Disorders","Mental or Behavioral Dysfunction"
"Amphetamine Addiction","Mental or Behavioral Dysfunction"
"Amphetamine Abuse","Mental or Behavioral Dysfunction"
"Etat Marbre","Disease or Syndrome"
"Conventional (Clear Cell) Renal Cell Carcinoma","Neoplastic Process"
"Learning Disturbance","Mental or Behavioral Dysfunction"
"Learning Disabilities","Mental or Behavioral Dysfunction"
"Age-Related Memory Disorders","Mental or Behavioral Dysfunction"
"Memory Disorder, Semantic","Mental or Behavioral Dysfunction"
"Memory Disorder, Spatial","Mental or Behavioral Dysfunction"
"Chromophobe Renal Cell Carcinoma","Neoplastic Process"
"Sarcomatoid Renal Cell Carcinoma","Neoplastic Process"
"Collecting Duct Carcinoma of the Kidney","Neoplastic Process"
"Papillary Renal Cell Carcinoma","Neoplastic Process"
"Degenerative polyarthritis","Disease or Syndrome"
"Osteoarthrosis Deformans","Disease or Syndrome"
"Respiratory Distress Syndrome, Adult","Disease or Syndrome"
"Alloxan Diabetes","Experimental Model of Disease"
"Diabetes Mellitus, Experimental","Experimental Model of Disease"
"Leukodystrophy","Disease or Syndrome"
"Streptozotocin Diabetes","Experimental Model of Disease"
"Unipolar Depression","Mental or Behavioral Dysfunction"
"Major Depressive Disorder","Mental or Behavioral Dysfunction"
"Osteogenesis Imperfecta","Congenital Abnormality; Disease or Syndrome"
"Juvenile-Onset Still Disease","Disease or Syndrome"
"Juvenile arthritis","Disease or Syndrome"
"Juvenile psoriatic arthritis","Disease or Syndrome"
"Left Ventricular Hypertrophy","Disease or Syndrome"
"Congenital Fiber Type Disproportion","Congenital Abnormality"
"Congenital muscular dystrophy (disorder)","Disease or Syndrome"
"Cardiomyopathy, Hypertrophic, Familial","Disease or Syndrome"
"Cholestasis, Extrahepatic","Disease or Syndrome"
"Ehlers-Danlos Syndrome","Disease or Syndrome"
"Endometriosis","Disease or Syndrome"
"Focal glomerulosclerosis","Disease or Syndrome"
"Hepatitis, Chronic","Disease or Syndrome"
"Marfan Syndrome","Disease or Syndrome"
"Myocardial Infarction","Disease or Syndrome"
"Hyalinosis, Segmental Glomerular","Disease or Syndrome"
"Chronic Persistent Hepatitis","Disease or Syndrome"
"Aortic Aneurysm, Thoracic","Disease or Syndrome"
"Endometrioma","Neoplastic Process"
"Congenital aneurysm of ascending aorta","Congenital Abnormality"
"Chronic active hepatitis","Disease or Syndrome"
"Cryptogenic Chronic Hepatitis","Disease or Syndrome"
"Cakut","Disease or Syndrome"
"Congenital ocular coloboma (disorder)","Congenital Abnormality"
"Craniosynostosis","Disease or Syndrome"
"Myocardial Ischemia","Disease or Syndrome"
"Anaplastic carcinoma","Neoplastic Process"
"Carcinoma, Spindle-Cell","Neoplastic Process"
"Mammary Carcinoma, Animal","Neoplastic Process"
"Malignant neoplasm of stomach","Neoplastic Process"
"Familial dilated cardiomyopathy","Disease or Syndrome"
"Cardiomyopathy, Familial Idiopathic","Disease or Syndrome"
"Left ventricular noncompaction cardiomyopathy","Disease or Syndrome"
"Osteoporosis, Age-Related","Disease or Syndrome"
"Osteoporosis","Disease or Syndrome"
"Osteoporosis, Senile","Disease or Syndrome"
"Post-Traumatic Osteoporosis","Disease or Syndrome"
"Acute Coronary Syndrome","Disease or Syndrome"
"Astrocytoma","Neoplastic Process"
"Glioma","Neoplastic Process"
"Subependymal Giant Cell Astrocytoma","Neoplastic Process"
"Acute Lung Injury","Injury or Poisoning"
"mixed gliomas","Neoplastic Process"
"Juvenile Pilocytic Astrocytoma","Neoplastic Process"
"Diffuse Astrocytoma","Neoplastic Process"
"Anaplastic astrocytoma","Neoplastic Process"
"Protoplasmic astrocytoma","Neoplastic Process"
"Gemistocytic astrocytoma","Neoplastic Process"
"Fibrillary Astrocytoma","Neoplastic Process"
"Pilocytic Astrocytoma","Neoplastic Process"
"Childhood Cerebral Astrocytoma","Neoplastic Process"
"Mixed oligoastrocytoma","Neoplastic Process"
"Malignant Glioma","Neoplastic Process"
"Cerebral Astrocytoma","Neoplastic Process"
"Intracranial Astrocytoma","Neoplastic Process"
"Grade I Astrocytoma","Neoplastic Process"
"Gastric Adenocarcinoma","Neoplastic Process"
"Pulmonary arterial hypertension","Disease or Syndrome"
"Idiopathic pulmonary arterial hypertension","Disease or Syndrome"
"Spastic Paraplegia, Hereditary","Disease or Syndrome"
"Polycystic Ovary Syndrome","Disease or Syndrome"
"Sclerocystic Ovaries","Disease or Syndrome"
"Drug abuse","Mental or Behavioral Dysfunction"
"Organic Mental Disorders, Substance-Induced","Mental or Behavioral Dysfunction"
"Substance Dependence","Mental or Behavioral Dysfunction"
"Substance abuse problem","Mental or Behavioral Dysfunction"
"Substance Withdrawal Syndrome","Mental or Behavioral Dysfunction"
"Small cell carcinoma of lung","Neoplastic Process"
"Asthma","Disease or Syndrome"
"Diabetic Angiopathies","Disease or Syndrome"
"Microangiopathy, Diabetic","Disease or Syndrome"
"Diabetes Mellitus, Non-Insulin-Dependent","Disease or Syndrome"
"Cirrhosis","Disease or Syndrome"
"Ulcerative Colitis","Disease or Syndrome"
"Leukemia, Myelocytic, Acute","Neoplastic Process"
"Acute Myeloid Leukemia, M1","Neoplastic Process"
"Acute Myeloid Leukemia (AML-M2)","Neoplastic Process"
"Squamous cell carcinoma of esophagus","Neoplastic Process"
"Familial Ménière disease","Disease or Syndrome"
"Encephalopathy, Toxic","Injury or Poisoning"
"Toxic Encephalitis","Injury or Poisoning"
"Fatty Liver","Disease or Syndrome"
"Steatohepatitis","Disease or Syndrome"
"Alcohol Use Disorder","Mental or Behavioral Dysfunction"
"Alcoholic Intoxication","Mental or Behavioral Dysfunction"
"Malignant neoplasm of mouth","Neoplastic Process"
"Cholestasis","Disease or Syndrome"
"Profound Mental Retardation","Mental or Behavioral Dysfunction"
"Mental Retardation, Psychosocial","Mental or Behavioral Dysfunction"
"Mental deficiency","Mental or Behavioral Dysfunction"
"Cholestasis in newborn","Disease or Syndrome"
"Glomerulonephritis","Disease or Syndrome"
"Septicemia","Disease or Syndrome"
"Gastric ulcer","Disease or Syndrome"
"Sepsis","Disease or Syndrome"
"Bright Disease","Disease or Syndrome"
"Severe Sepsis","Disease or Syndrome"
"Catalepsy","Mental or Behavioral Dysfunction"
"Middle Cerebral Artery Syndrome","Disease or Syndrome"
"Middle Cerebral Artery Thrombosis","Disease or Syndrome"
"Infarction, Middle Cerebral Artery","Disease or Syndrome"
"Middle Cerebral Artery Embolus","Disease or Syndrome"
"Left Middle Cerebral Artery Infarction","Disease or Syndrome"
"Embolic Infarction, Middle Cerebral Artery","Disease or Syndrome"
"Thrombotic Infarction, Middle Cerebral Artery","Disease or Syndrome"
"Right Middle Cerebral Artery Infarction","Disease or Syndrome"
"Rheumatoid Arthritis","Disease or Syndrome"
"Endogenous depression","Mental or Behavioral Dysfunction"
"Melancholia","Mental or Behavioral Dysfunction"
"Psychoses, Drug","Mental or Behavioral Dysfunction"
"Psychoses, Substance-Induced","Mental or Behavioral Dysfunction"
"Reperfusion Injury","Injury or Poisoning"
"Depressive Syndrome","Mental or Behavioral Dysfunction"
"Depression, Neurotic","Mental or Behavioral Dysfunction"
"Anxiety States, Neurotic","Mental or Behavioral Dysfunction"
"Anxiety neurosis (finding)","Mental or Behavioral Dysfunction"
"Anemia","Disease or Syndrome"
"Toxic Epidermal Necrolysis","Disease or Syndrome"
"Hepatitis","Disease or Syndrome"
"Multiple Myeloma","Neoplastic Process"
"Stevens-Johnson Syndrome","Disease or Syndrome"
"Ramsay Hunt Paralysis Syndrome","Disease or Syndrome"
"Autosomal Dominant Juvenile Parkinson Disease","Disease or Syndrome"
"Autosomal Dominant Parkinsonism","Disease or Syndrome"
"Autosomal Recessive Parkinsonism","Disease or Syndrome"
"Parkinsonism, Experimental","Experimental Model of Disease"
"Familial Juvenile Parkinsonism","Disease or Syndrome"
"Parkinsonism, Juvenile","Disease or Syndrome"
"Drug-Induced Stevens Johnson Syndrome","Disease or Syndrome"
"PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE","Disease or Syndrome"
"Mycoplasma-Induced Stevens-Johnson Syndrome","Disease or Syndrome"
"Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum","Disease or Syndrome"
"Cannabis Dependence","Mental or Behavioral Dysfunction"
"Cocaine Abuse","Mental or Behavioral Dysfunction"
"Cocaine Dependence","Mental or Behavioral Dysfunction"
"Epilepsy","Disease or Syndrome"
"Epilepsy, Cryptogenic","Disease or Syndrome"
"Awakening Epilepsy","Disease or Syndrome"
"Hyperlipidemia","Disease or Syndrome"
"HIV Coinfection","Disease or Syndrome"
"Dermatitis, Allergic Contact","Disease or Syndrome"
"Adenocarcinoma of large intestine","Neoplastic Process"
"Manic Disorder","Mental or Behavioral Dysfunction"
"Manic","Mental or Behavioral Dysfunction"
"Hepatoma, Morris","Experimental Model of Disease; Neoplastic Process"
"Hepatoma, Novikoff","Experimental Model of Disease; Neoplastic Process"
"Experimental Hepatoma","Experimental Model of Disease; Neoplastic Process"
"Hyperglycemia","Disease or Syndrome"
"Neuralgia, Supraorbital","Disease or Syndrome"
"Neuralgia, Vidian","Disease or Syndrome"
"Neuralgia, Atypical","Disease or Syndrome"
"Neuralgia, Stump","Disease or Syndrome"
"Neuralgia, Perineal","Disease or Syndrome"
"Neuralgia, Iliohypogastric Nerve","Disease or Syndrome"
"Lewy Body Disease","Disease or Syndrome"
"Adenoid Cystic Carcinoma","Neoplastic Process"
"Prelingual Deafness","Disease or Syndrome"
"Glioblastoma","Neoplastic Process"
"Tetralogy of Fallot","Congenital Abnormality"
"Malignant neoplasm of salivary gland","Neoplastic Process"
"Giant Cell Glioblastoma","Neoplastic Process"
"Deafness, Acquired","Disease or Syndrome"
"Carcinoma, Pancreatic Ductal","Neoplastic Process"
"Glioblastoma Multiforme","Neoplastic Process"
"Deaf Mutism","Disease or Syndrome"
"Diabetic Nephropathy","Disease or Syndrome"
"IGA Glomerulonephritis","Disease or Syndrome"
"Nodular glomerulosclerosis","Disease or Syndrome"
"Nephrosis","Disease or Syndrome"
"Kidney Failure","Disease or Syndrome"
"Renal Insufficiency","Disease or Syndrome"
"Abortion, Tubal","Pathologic Function"
"Corpus Luteum Cyst","Disease or Syndrome"
"Ovarian Cysts","Disease or Syndrome"
"Mental Retardation, X-Linked","Disease or Syndrome"
"Mental Retardation, X-Linked 1","Disease or Syndrome"
"Idiopathic hypogonadotropic hypogonadism","Disease or Syndrome"
"X-linked Adrenal Hypoplasia","Disease or Syndrome"
"Hydrops Fetalis","Disease or Syndrome"
"Adenocarcinoma of lung (disorder)","Neoplastic Process"
"Arthritis, Adjuvant-Induced","Experimental Model of Disease"
"Contact Dermatitis","Disease or Syndrome"
"Male infertility","Disease or Syndrome"
"Lung Injury","Injury or Poisoning"
"Arthritis, Collagen-Induced","Experimental Model of Disease"
"Arthritis, Experimental","Experimental Model of Disease"
"Chronic Lung Injury","Disease or Syndrome"
"Tumoral calcinosis","Disease or Syndrome"
"Parkinson Disease","Disease or Syndrome"
"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse","Neoplastic Process"
"Adenocarcinoma of prostate","Neoplastic Process"
"Malignant neoplasm of skin","Neoplastic Process"
"Non-Small Cell Lung Carcinoma","Neoplastic Process"
"Squamous cell carcinoma","Neoplastic Process"
"Acute Promyelocytic Leukemia","Neoplastic Process"
"Marijuana Abuse","Mental or Behavioral Dysfunction"
"Meningioma","Neoplastic Process"
"Osteosarcoma","Neoplastic Process"
"Ovarian Carcinoma","Neoplastic Process"
"Adenomatous Polyposis Coli","Neoplastic Process"
"Cutaneous Melanoma","Neoplastic Process"
"Meningiomas, Multiple","Neoplastic Process"
"Breast Cancer, Familial","Neoplastic Process"
"Neoplasm of uncertain or unknown behavior of ovary","Neoplastic Process"
"Neoplasm of uncertain or unknown behavior of breast","Neoplastic Process"
"Breast adenocarcinoma","Neoplastic Process"
"ovarian neoplasm","Neoplastic Process"
"Malignant neoplasm of ovary","Neoplastic Process"
"Squamous cell carcinoma of the head and neck","Neoplastic Process"
"Polyposis, Adenomatous Intestinal","Disease or Syndrome"
"Familial Intestinal Polyposis","Disease or Syndrome"
"Pancreatic carcinoma","Neoplastic Process"
"Nasopharyngeal carcinoma","Neoplastic Process"
"Pancreatitis","Disease or Syndrome"
"Urticaria","Disease or Syndrome"
"Liver Failure, Acute","Disease or Syndrome"
"Cataract","Acquired Abnormality"
"Pseudoaphakia","Disease or Syndrome"
"Paranoid Schizophrenia","Mental or Behavioral Dysfunction"
"Hepatitis, Autoimmune","Disease or Syndrome"
"Endometrial Carcinoma","Neoplastic Process"
"Rhabdomyosarcoma","Neoplastic Process"
"Diffuse Large B-Cell Lymphoma","Neoplastic Process"
"Malignant neoplasm of brain","Neoplastic Process"
"Papillary thyroid carcinoma","Neoplastic Process"
"Benign neoplasm of brain, unspecified","Neoplastic Process"
"Brain Tumor, Primary","Neoplastic Process"
"Recurrent Brain Neoplasm","Neoplastic Process"
"Primary malignant neoplasm of brain","Neoplastic Process"
"Ovarian Serous Adenocarcinoma","Neoplastic Process"
"Colitis","Disease or Syndrome"
"Adenoma, Basal Cell","Neoplastic Process"
"Follicular adenoma","Neoplastic Process"
"Adenoma, Microcystic","Neoplastic Process"
"Adenoma, Monomorphic","Neoplastic Process"
"Papillary adenoma","Neoplastic Process"
"Adenoma, Trabecular","Neoplastic Process"
"Morbilliform Drug Reaction","Disease or Syndrome"
"Palmoplantar Keratosis","Disease or Syndrome"
"Erythrokeratoderma","Congenital Abnormality"
"Polydactyly","Congenital Abnormality"
"Amelogenesis Imperfecta","Congenital Abnormality"
"Carcinoma, Transitional Cell","Neoplastic Process"
"Cerebellar Hypoplasia","Congenital Abnormality"
"Amyotrophic Lateral Sclerosis","Disease or Syndrome"
"Hemangiosarcoma","Neoplastic Process"
"Long QT Syndrome","Disease or Syndrome"
"Brugada Syndrome (disorder)","Disease or Syndrome"
"Status Epilepticus","Disease or Syndrome"
"Anhedonia","Mental or Behavioral Dysfunction"
"Petit mal status","Disease or Syndrome"
"Grand Mal Status Epilepticus","Disease or Syndrome"
"Complex Partial Status Epilepticus","Disease or Syndrome"
"Status Epilepticus, Subclinical","Disease or Syndrome"
"Non-Convulsive Status Epilepticus","Disease or Syndrome"
"Simple Partial Status Epilepticus","Disease or Syndrome"
"Lymphatic Metastasis","Neoplastic Process"
"Lupus Erythematosus, Systemic","Disease or Syndrome"
"Libman-Sacks Disease","Disease or Syndrome"
"Medulloblastoma","Neoplastic Process"
"Mesothelioma","Neoplastic Process"
"Benign neoplasm of stomach","Neoplastic Process"
"Carcinoma in situ of stomach","Neoplastic Process"
"Medullomyoblastoma","Neoplastic Process"
"Childhood Medulloblastoma","Neoplastic Process"
"Adult Medulloblastoma","Neoplastic Process"
"Neoplasm of uncertain or unknown behavior of stomach","Neoplastic Process"
"Colon Carcinoma","Neoplastic Process"
"Stomach Carcinoma","Neoplastic Process"
"Desmoplastic Medulloblastoma","Neoplastic Process"
"Melanotic medulloblastoma","Neoplastic Process"
"Hereditary Nonpolyposis Colorectal Cancer","Neoplastic Process"
"leukemia","Neoplastic Process"
"Chronic Lymphocytic Leukemia","Neoplastic Process"
"AMYOTROPHIC LATERAL SCLEROSIS 1","Disease or Syndrome"
"Amyotrophic Lateral Sclerosis, Sporadic","Disease or Syndrome"
"Uterine Cervical Neoplasm","Neoplastic Process"
"Adult T-Cell Lymphoma/Leukemia","Neoplastic Process"
"cervical cancer","Neoplastic Process"
"Behcet Syndrome","Disease or Syndrome"
"Periodic Fever Syndrome","Disease or Syndrome"
"Coronary heart disease","Disease or Syndrome"
"Degenerative Diseases, Spinal Cord","Disease or Syndrome"
"Multiple Sclerosis","Disease or Syndrome"
"Pustulosis of Palms and Soles","Disease or Syndrome"
"Psoriasis","Disease or Syndrome"
"Multiple Sclerosis, Acute Fulminating","Disease or Syndrome"
"Amnesia","Mental or Behavioral Dysfunction"
"Hysterical amnesia","Mental or Behavioral Dysfunction"
"Temporary Amnesia","Mental or Behavioral Dysfunction"
"Dissociative Amnesia","Mental or Behavioral Dysfunction"
"Global Amnesia","Mental or Behavioral Dysfunction"
"Tactile Amnesia","Mental or Behavioral Dysfunction"
"Amnestic State","Mental or Behavioral Dysfunction"
"Lymphoma, Non-Hodgkin","Neoplastic Process"
"Lymphoma, T-Cell, Cutaneous","Neoplastic Process"
"Granulomatous Slack Skin","Neoplastic Process"
"Non-alcoholic Fatty Liver Disease","Disease or Syndrome"
"Nonalcoholic Steatohepatitis","Disease or Syndrome"
"Arsenic Poisoning, Inorganic","Injury or Poisoning"
"Nervous System, Organic Arsenic Poisoning","Injury or Poisoning"
"Arsenic Poisoning","Injury or Poisoning"
"Arsenic Encephalopathy","Disease or Syndrome"
"Arsenic Induced Polyneuropathy","Injury or Poisoning"
"Subfertility, Female","Disease or Syndrome"
"Microcephaly","Congenital Abnormality"
"Malignant Head and Neck Neoplasm","Neoplastic Process"
"Cancer of Neck","Neoplastic Process"
"Cancer of Head","Neoplastic Process"
"Congenital diaphragmatic hernia","Disease or Syndrome"
"Congenital hernia of foramen of Morgagni","Congenital Abnormality"
"Congenital hernia of foramen of Bochdalek","Congenital Abnormality"
"Seasonal Affective Disorder","Mental or Behavioral Dysfunction"
"Hydrocephalus","Disease or Syndrome"
"Attention Deficit Disorder","Mental or Behavioral Dysfunction"
"Attention deficit hyperactivity disorder","Mental or Behavioral Dysfunction"
"Minimal Brain Dysfunction","Mental or Behavioral Dysfunction"
"CONOTRUNCAL ANOMALY FACE SYNDROME","Disease or Syndrome"
"Basal cell carcinoma","Neoplastic Process"
"Pigmented Basal Cell Carcinoma","Neoplastic Process"
"Deep Vein Thrombosis","Disease or Syndrome"
"Atrial Fibrillation","Disease or Syndrome"
"Paroxysmal atrial fibrillation","Disease or Syndrome"
"Influenza","Disease or Syndrome"
"Benign neoplasm of bladder","Neoplastic Process"
"Carcinoma in situ of bladder","Neoplastic Process"
"Neoplasm of uncertain or unknown behavior of bladder","Neoplastic Process"
"Carcinoma of bladder","Neoplastic Process"
"Hereditary non-polyposis colorectal cancer syndrome","Congenital Abnormality"
"Lymphoma, Follicular","Neoplastic Process"
"Lymphoma, Large-Cell, Follicular","Neoplastic Process"
"Lymphoma, Mixed-Cell, Follicular","Neoplastic Process"
"Lymphoma, Small Cleaved-Cell, Follicular","Neoplastic Process"
"Lymphoma, Follicular, Grade 1","Neoplastic Process"
"Lymphoma, Follicular, Grade 3","Neoplastic Process"
"Lymphoma, Follicular, Grade 2","Neoplastic Process"
"Kidney Neoplasm","Neoplastic Process"
"Malignant neoplasm of kidney","Neoplastic Process"
"Malignant neoplasm of endometrium","Neoplastic Process"
"Squamous cell carcinoma of lung","Neoplastic Process"
"Carcinoma in situ of endometrium","Neoplastic Process"
"Infiltrating duct carcinoma of female breast","Neoplastic Process"
"Primary microcephaly","Congenital Abnormality"
"Hematopoetic Myelodysplasia","Pathologic Function"
"Dysautonomia, Familial","Congenital Abnormality; Disease or Syndrome"
"Pain Disorder","Mental or Behavioral Dysfunction"
"Schizoaffective Disorder","Mental or Behavioral Dysfunction"
"Autism Spectrum Disorders","Mental or Behavioral Dysfunction"
"Bardet-Biedl Syndrome","Disease or Syndrome"
"Thyroid Neoplasm","Neoplastic Process"
"Thyroid Gland Follicular Adenoma","Neoplastic Process"
"Thyroid carcinoma","Neoplastic Process"
"Dyschondroplasias","Congenital Abnormality"
"Liver Cirrhosis, Alcoholic","Disease or Syndrome"
"Reticulosarcoma","Neoplastic Process"
"Lymphoma, Mixed-Cell","Neoplastic Process"
"Lymphoma, Undifferentiated","Neoplastic Process"
"Melnick-Needles Syndrome","Disease or Syndrome"
"Multiple Epiphyseal Dysplasia","Congenital Abnormality"
"Schwartz-Jampel Syndrome","Disease or Syndrome"
"Spondyloepiphyseal Dysplasia","Disease or Syndrome"
"High Grade Lymphoma (neoplasm)","Neoplastic Process"
"Lymphoma, Intermediate-Grade","Neoplastic Process"
"Low Grade Lymphoma (neoplasm)","Neoplastic Process"
"Diffuse Mixed-Cell Lymphoma","Neoplastic Process"
"Lymphoma, Small Noncleaved-Cell","Neoplastic Process"
"Van Buchem disease","Disease or Syndrome"
"Bipolar I disorder","Mental or Behavioral Dysfunction"
"Spondyloepiphyseal Dysplasia Tarda, X-Linked","Congenital Abnormality"
"Lymphoma, Diffuse","Neoplastic Process"
"Leigh Disease","Disease or Syndrome"
"Encephalopathy, Subacute Necrotizing, Infantile","Disease or Syndrome"
"Encephalopathy, Subacute Necrotizing, Juvenile","Disease or Syndrome"
"Epilepsy, Temporal Lobe","Disease or Syndrome"
"Uncinate Epilepsy","Disease or Syndrome"
"Epilepsy, Benign Psychomotor, Childhood","Disease or Syndrome"
"Epilepsy, Lateral Temporal","Disease or Syndrome"
"Nuclear cataract","Disease or Syndrome"
"Nuclear non-senile cataract","Disease or Syndrome"
"Primary biliary cirrhosis","Disease or Syndrome"
"Biliary cirrhosis","Disease or Syndrome"
"Biliary Cirrhosis, Secondary","Disease or Syndrome"
"Acrocephaly","Congenital Abnormality"
"Uremia","Disease or Syndrome"
"Brachycephaly","Congenital Abnormality"
"Scaphycephaly","Congenital Abnormality"
"Trigonocephaly","Congenital Abnormality"
"Synostotic Posterior Plagiocephaly","Disease or Syndrome"
"Metopic synostosis","Congenital Abnormality"
"Synostotic Anterior Plagiocephaly","Congenital Abnormality; Disease or Syndrome"
"Metastatic melanoma","Neoplastic Process"
"Prostate cancer, familial","Neoplastic Process"
"Neurofibromatosis 1","Neoplastic Process"
"Noonan Syndrome","Disease or Syndrome"
"Sezary Syndrome","Neoplastic Process"
"Adrenocortical carcinoma","Neoplastic Process"
"Cholangiocarcinoma","Neoplastic Process"
"Carcinoma of lung","Neoplastic Process"
"Fanconi Anemia","Disease or Syndrome"
"Nephroblastoma","Neoplastic Process"
"Esophageal atresia with or without tracheoesophageal fistula","Disease or Syndrome"
"Bilateral Wilms Tumor","Disease or Syndrome"
"Radial club hand","Congenital Abnormality"
"Embryonal Neoplasm","Neoplastic Process"
"Neoplasms, Embryonal and Mixed","Neoplastic Process"
