"Disorder.Name","Semantic.Type","Disease.class"
"Epileptic Seizures","Disease or Syndrome","C10;C23"
"Generalized Absence Seizures","Disease or Syndrome","C10;C23"
"Atherosclerosis","Disease or Syndrome","C14"
"Colorectal Carcinoma","Neoplastic Process","C04;C06"
"Hypercholesterolemia","Disease or Syndrome","C18"
"Hypercholesterolemia, Familial","Disease or Syndrome","C16;C18"
"Kidney Failure, Chronic","Disease or Syndrome","C12;C13"
"Hyperlipoproteinemia Type IIa","Disease or Syndrome","C16;C18"
"Colorectal Cancer","Neoplastic Process","C04;C06"
"Pulmonary Fibrosis","Disease or Syndrome","C08"
"Hamman-Rich syndrome","Disease or Syndrome","C08"
"Idiopathic Pulmonary Fibrosis","Disease or Syndrome","C08"
"Tremor, Rubral","Disease or Syndrome","C10;C23"
"Pneumonia","Disease or Syndrome","C08"
"Lobar Pneumonia","Disease or Syndrome","C08"
"Experimental Lung Inflammation","Experimental Model of Disease","C08"
"Pneumonitis","Disease or Syndrome","C08"
"Cleft upper lip","Congenital Abnormality","C07;C16"
"Retinitis Pigmentosa","Disease or Syndrome","C11;C16"
"Age related macular degeneration","Disease or Syndrome","C11"
"Burkitt Lymphoma","Neoplastic Process","C02;C04;C15;C20"
"Myeloid Leukemia, Chronic","Neoplastic Process","C04;C15"
"melanoma","Neoplastic Process","C04"
"Adenocarcinoma, Basal Cell","Neoplastic Process","C04"
"Adenocarcinoma, Oxyphilic","Neoplastic Process","C04"
"Carcinoma, Cribriform","Neoplastic Process","C04"
"Carcinoma, Granular Cell","Neoplastic Process","C04"
"Adenocarcinoma, Tubular","Neoplastic Process","C04"
"Large cell carcinoma of lung","Neoplastic Process",""
"Malignant neoplasm of esophagus","Neoplastic Process","C04;C06"
"Precursor B-cell lymphoblastic leukemia","Neoplastic Process",""
"Precursor T-Cell Lymphoblastic Leukemia-Lymphoma","Neoplastic Process","C04;C15;C20"
"Pancreatic Neoplasm","Neoplastic Process","C04;C06;C19"
"Alcohol abuse","Mental or Behavioral Dysfunction","C25;F03"
"Malignant neoplasm of pancreas","Neoplastic Process","C04;C06;C19"
"Epithelial ovarian cancer","Neoplastic Process","C04;C13;C19"
"Acute Cerebrovascular Accidents","Disease or Syndrome","C10;C14"
"Heart failure","Disease or Syndrome","C14"
"Congestive heart failure","Disease or Syndrome","C14"
"Left-Sided Heart Failure","Disease or Syndrome","C14"
"Heart Failure, Right-Sided","Disease or Syndrome","C14"
"Myocardial Failure","Disease or Syndrome","C14"
"Obesity","Disease or Syndrome","C18;C23"
"Arthrogryposis","Disease or Syndrome","C05;C16"
"Necrotizing Enterocolitis","Disease or Syndrome","C06"
"Bipolar Disorder","Mental or Behavioral Dysfunction","F03"
"Hypertrophic Cardiomyopathy","Disease or Syndrome","C14"
"Brain Ischemia","Disease or Syndrome","C10;C14"
"Brain Lacerations","Injury or Poisoning","C10;C26"
"Cerebral Ischemia","Disease or Syndrome","C10;C14"
"Renal Cell Carcinoma","Neoplastic Process","C04;C12;C13"
"Memory Disorders","Mental or Behavioral Dysfunction","C10;C23;F01"
"Amphetamine Addiction","Mental or Behavioral Dysfunction","C25;F03"
"Amphetamine Abuse","Mental or Behavioral Dysfunction","C25;F03"
"Etat Marbre","Disease or Syndrome","C10"
"Conventional (Clear Cell) Renal Cell Carcinoma","Neoplastic Process","C04;C12;C13"
"Learning Disturbance","Mental or Behavioral Dysfunction","C10;C23;F03"
"Learning Disabilities","Mental or Behavioral Dysfunction","C10;C23;F03"
"Age-Related Memory Disorders","Mental or Behavioral Dysfunction","C10;C23;F01"
"Memory Disorder, Semantic","Mental or Behavioral Dysfunction","C10;C23;F01"
"Memory Disorder, Spatial","Mental or Behavioral Dysfunction","C10;C23;F01"
"Chromophobe Renal Cell Carcinoma","Neoplastic Process","C04;C12;C13"
"Sarcomatoid Renal Cell Carcinoma","Neoplastic Process","C04;C12;C13"
"Collecting Duct Carcinoma of the Kidney","Neoplastic Process","C04;C12;C13"
"Papillary Renal Cell Carcinoma","Neoplastic Process","C04;C12;C13"
"Degenerative polyarthritis","Disease or Syndrome","C05"
"Osteoarthrosis Deformans","Disease or Syndrome","C05"
"Respiratory Distress Syndrome, Adult","Disease or Syndrome","C08"
"Alloxan Diabetes","Experimental Model of Disease","C18;C19"
"Diabetes Mellitus, Experimental","Experimental Model of Disease","C18;C19"
"Leukodystrophy","Disease or Syndrome",""
"Streptozotocin Diabetes","Experimental Model of Disease","C18;C19"
"Unipolar Depression","Mental or Behavioral Dysfunction","F03"
"Major Depressive Disorder","Mental or Behavioral Dysfunction","F03"
"Osteogenesis Imperfecta","Congenital Abnormality; Disease or Syndrome","C05;C16;C17"
"Juvenile-Onset Still Disease","Disease or Syndrome","C05;C17;C20"
"Juvenile arthritis","Disease or Syndrome","C05;C17;C20"
"Juvenile psoriatic arthritis","Disease or Syndrome","C05;C17;C20"
"Left Ventricular Hypertrophy","Disease or Syndrome","C14;C23"
"Congenital Fiber Type Disproportion","Congenital Abnormality","C05;C10"
"Congenital muscular dystrophy (disorder)","Disease or Syndrome",""
"Cardiomyopathy, Hypertrophic, Familial","Disease or Syndrome","C14;C16"
"Cholestasis, Extrahepatic","Disease or Syndrome","C06"
"Ehlers-Danlos Syndrome","Disease or Syndrome","C14;C15;C16;C17"
"Endometriosis","Disease or Syndrome","C13"
"Focal glomerulosclerosis","Disease or Syndrome","C12;C13"
"Hepatitis, Chronic","Disease or Syndrome","C06"
"Marfan Syndrome","Disease or Syndrome","C05;C14;C16;C17"
"Myocardial Infarction","Disease or Syndrome","C14"
"Hyalinosis, Segmental Glomerular","Disease or Syndrome","C12;C13"
"Chronic Persistent Hepatitis","Disease or Syndrome","C06"
"Aortic Aneurysm, Thoracic","Disease or Syndrome","C14"
"Endometrioma","Neoplastic Process","C13"
"Congenital aneurysm of ascending aorta","Congenital Abnormality","C14"
"Chronic active hepatitis","Disease or Syndrome","C06"
"Cryptogenic Chronic Hepatitis","Disease or Syndrome","C06"
"Cakut","Disease or Syndrome","C12;C13;C16"
"Congenital ocular coloboma (disorder)","Congenital Abnormality","C11;C16"
"Craniosynostosis","Disease or Syndrome","C05;C16"
"Myocardial Ischemia","Disease or Syndrome","C14"
"Anaplastic carcinoma","Neoplastic Process","C04"
"Carcinoma, Spindle-Cell","Neoplastic Process","C04"
"Mammary Carcinoma, Animal","Neoplastic Process","C04;C22"
"Malignant neoplasm of stomach","Neoplastic Process","C04;C06"
"Familial dilated cardiomyopathy","Disease or Syndrome","C14"
"Cardiomyopathy, Familial Idiopathic","Disease or Syndrome","C14"
"Left ventricular noncompaction cardiomyopathy","Disease or Syndrome",""
"Osteoporosis, Age-Related","Disease or Syndrome","C05;C18"
"Osteoporosis","Disease or Syndrome","C05;C18"
"Osteoporosis, Senile","Disease or Syndrome","C05;C18"
"Post-Traumatic Osteoporosis","Disease or Syndrome","C05;C18"
"Acute Coronary Syndrome","Disease or Syndrome","C14"
"Astrocytoma","Neoplastic Process","C04"
"Glioma","Neoplastic Process","C04"
"Subependymal Giant Cell Astrocytoma","Neoplastic Process","C04"
"Acute Lung Injury","Injury or Poisoning","C08"
"mixed gliomas","Neoplastic Process","C04"
"Juvenile Pilocytic Astrocytoma","Neoplastic Process","C04"
"Diffuse Astrocytoma","Neoplastic Process","C04"
"Anaplastic astrocytoma","Neoplastic Process","C04"
"Protoplasmic astrocytoma","Neoplastic Process","C04"
"Gemistocytic astrocytoma","Neoplastic Process","C04"
"Fibrillary Astrocytoma","Neoplastic Process","C04"
"Pilocytic Astrocytoma","Neoplastic Process","C04"
"Childhood Cerebral Astrocytoma","Neoplastic Process","C04"
"Mixed oligoastrocytoma","Neoplastic Process","C04"
"Malignant Glioma","Neoplastic Process","C04"
"Cerebral Astrocytoma","Neoplastic Process","C04"
"Intracranial Astrocytoma","Neoplastic Process","C04"
"Grade I Astrocytoma","Neoplastic Process","C04"
"Gastric Adenocarcinoma","Neoplastic Process",""
"Pulmonary arterial hypertension","Disease or Syndrome",""
"Idiopathic pulmonary arterial hypertension","Disease or Syndrome","C08"
"Spastic Paraplegia, Hereditary","Disease or Syndrome","C10;C16"
"Polycystic Ovary Syndrome","Disease or Syndrome","C04;C13;C19"
"Sclerocystic Ovaries","Disease or Syndrome","C04;C13;C19"
"Drug abuse","Mental or Behavioral Dysfunction","C25;F03"
"Organic Mental Disorders, Substance-Induced","Mental or Behavioral Dysfunction","C25;F03"
"Substance Dependence","Mental or Behavioral Dysfunction","C25;F03"
"Substance abuse problem","Mental or Behavioral Dysfunction","C25;F03"
"Substance Withdrawal Syndrome","Mental or Behavioral Dysfunction","C25;F03"
"Small cell carcinoma of lung","Neoplastic Process","C04;C08"
"Asthma","Disease or Syndrome","C08;C20"
"Diabetic Angiopathies","Disease or Syndrome","C14;C19"
"Microangiopathy, Diabetic","Disease or Syndrome","C14;C19"
"Diabetes Mellitus, Non-Insulin-Dependent","Disease or Syndrome","C18;C19"
"Cirrhosis","Disease or Syndrome","C23"
"Ulcerative Colitis","Disease or Syndrome","C06"
"Leukemia, Myelocytic, Acute","Neoplastic Process","C04"
"Acute Myeloid Leukemia, M1","Neoplastic Process","C04"
"Acute Myeloid Leukemia (AML-M2)","Neoplastic Process","C04"
"Squamous cell carcinoma of esophagus","Neoplastic Process","C04;C06"
"Familial Ménière disease","Disease or Syndrome",""
"Encephalopathy, Toxic","Injury or Poisoning","C10;C25"
"Toxic Encephalitis","Injury or Poisoning","C10;C25"
"Fatty Liver","Disease or Syndrome","C06"
"Steatohepatitis","Disease or Syndrome","C06"
"Alcohol Use Disorder","Mental or Behavioral Dysfunction","C25;F03"
"Alcoholic Intoxication","Mental or Behavioral Dysfunction","C25;F03"
"Malignant neoplasm of mouth","Neoplastic Process","C04;C07"
"Cholestasis","Disease or Syndrome","C06"
"Profound Mental Retardation","Mental or Behavioral Dysfunction","C10;C23;F01;F03"
"Mental Retardation, Psychosocial","Mental or Behavioral Dysfunction","C10;C23;F01;F03"
"Mental deficiency","Mental or Behavioral Dysfunction","C10;C23;F01;F03"
"Cholestasis in newborn","Disease or Syndrome",""
"Glomerulonephritis","Disease or Syndrome","C12;C13"
"Septicemia","Disease or Syndrome","C01;C23"
"Gastric ulcer","Disease or Syndrome","C06"
"Sepsis","Disease or Syndrome","C01;C23"
"Bright Disease","Disease or Syndrome","C12;C13"
"Severe Sepsis","Disease or Syndrome","C01;C23"
"Catalepsy","Mental or Behavioral Dysfunction","C10;C23"
"Middle Cerebral Artery Syndrome","Disease or Syndrome","C10;C14"
"Middle Cerebral Artery Thrombosis","Disease or Syndrome","C10;C14"
"Infarction, Middle Cerebral Artery","Disease or Syndrome","C10;C14"
"Middle Cerebral Artery Embolus","Disease or Syndrome","C10;C14"
"Left Middle Cerebral Artery Infarction","Disease or Syndrome","C10;C14"
"Embolic Infarction, Middle Cerebral Artery","Disease or Syndrome","C10;C14"
"Thrombotic Infarction, Middle Cerebral Artery","Disease or Syndrome","C10;C14"
"Right Middle Cerebral Artery Infarction","Disease or Syndrome","C10;C14"
"Rheumatoid Arthritis","Disease or Syndrome","C05;C17;C20"
"Endogenous depression","Mental or Behavioral Dysfunction","F03"
"Melancholia","Mental or Behavioral Dysfunction","F03"
"Psychoses, Drug","Mental or Behavioral Dysfunction","C25;F03"
"Psychoses, Substance-Induced","Mental or Behavioral Dysfunction","C25;F03"
"Reperfusion Injury","Injury or Poisoning","C14;C23"
"Depressive Syndrome","Mental or Behavioral Dysfunction","F03"
"Depression, Neurotic","Mental or Behavioral Dysfunction","F03"
"Anxiety States, Neurotic","Mental or Behavioral Dysfunction","F03"
"Anxiety neurosis (finding)","Mental or Behavioral Dysfunction","F03"
"Anemia","Disease or Syndrome","C15"
"Toxic Epidermal Necrolysis","Disease or Syndrome","C07;C17;C20;C25"
"Hepatitis","Disease or Syndrome","C06"
"Multiple Myeloma","Neoplastic Process","C04;C14;C15;C20"
"Stevens-Johnson Syndrome","Disease or Syndrome","C07;C17;C20;C25"
"Ramsay Hunt Paralysis Syndrome","Disease or Syndrome","C10"
"Autosomal Dominant Juvenile Parkinson Disease","Disease or Syndrome","C10"
"Autosomal Dominant Parkinsonism","Disease or Syndrome","C10"
"Autosomal Recessive Parkinsonism","Disease or Syndrome","C10"
"Parkinsonism, Experimental","Experimental Model of Disease","C10"
"Familial Juvenile Parkinsonism","Disease or Syndrome","C10"
"Parkinsonism, Juvenile","Disease or Syndrome","C10"
"Drug-Induced Stevens Johnson Syndrome","Disease or Syndrome","C07;C17;C20;C25"
"PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE","Disease or Syndrome","C10"
"Mycoplasma-Induced Stevens-Johnson Syndrome","Disease or Syndrome","C07;C17;C20;C25"
"Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum","Disease or Syndrome","C07;C17;C20;C25"
"Cannabis Dependence","Mental or Behavioral Dysfunction","C25;F03"
"Cocaine Abuse","Mental or Behavioral Dysfunction","C25;F03"
"Cocaine Dependence","Mental or Behavioral Dysfunction","C25;F03"
"Epilepsy","Disease or Syndrome","C10"
"Epilepsy, Cryptogenic","Disease or Syndrome","C10"
"Awakening Epilepsy","Disease or Syndrome","C10"
"Hyperlipidemia","Disease or Syndrome","C18"
"HIV Coinfection","Disease or Syndrome","C02;C20"
"Dermatitis, Allergic Contact","Disease or Syndrome","C17;C20"
"Adenocarcinoma of large intestine","Neoplastic Process",""
"Manic Disorder","Mental or Behavioral Dysfunction","F03"
"Manic","Mental or Behavioral Dysfunction","F03"
"Hepatoma, Morris","Experimental Model of Disease; Neoplastic Process","C04;C06"
"Hepatoma, Novikoff","Experimental Model of Disease; Neoplastic Process","C04;C06"
"Experimental Hepatoma","Experimental Model of Disease; Neoplastic Process","C04;C06"
"Hyperglycemia","Disease or Syndrome","C18"
"Neuralgia, Supraorbital","Disease or Syndrome","C10;C23"
"Neuralgia, Vidian","Disease or Syndrome","C10;C23"
"Neuralgia, Atypical","Disease or Syndrome","C10;C23"
"Neuralgia, Stump","Disease or Syndrome","C10;C23"
"Neuralgia, Perineal","Disease or Syndrome","C10;C23"
"Neuralgia, Iliohypogastric Nerve","Disease or Syndrome","C10;C23"
"Lewy Body Disease","Disease or Syndrome","C10;F03"
"Adenoid Cystic Carcinoma","Neoplastic Process","C04"
"Prelingual Deafness","Disease or Syndrome","C09;C10;C23"
"Glioblastoma","Neoplastic Process","C04"
"Tetralogy of Fallot","Congenital Abnormality","C14;C16"
"Malignant neoplasm of salivary gland","Neoplastic Process","C04;C07"
"Giant Cell Glioblastoma","Neoplastic Process","C04"
"Deafness, Acquired","Disease or Syndrome","C09;C10;C23"
"Carcinoma, Pancreatic Ductal","Neoplastic Process","C04;C06;C19"
"Glioblastoma Multiforme","Neoplastic Process","C04"
"Deaf Mutism","Disease or Syndrome","C09;C10;C23"
"Diabetic Nephropathy","Disease or Syndrome","C12;C13;C19"
"IGA Glomerulonephritis","Disease or Syndrome","C12;C13;C20"
"Nodular glomerulosclerosis","Disease or Syndrome","C12;C13;C19"
"Nephrosis","Disease or Syndrome","C12;C13"
"Kidney Failure","Disease or Syndrome","C12;C13"
"Renal Insufficiency","Disease or Syndrome","C12;C13"
"Abortion, Tubal","Pathologic Function","C13"
"Corpus Luteum Cyst","Disease or Syndrome","C04;C13;C19"
"Ovarian Cysts","Disease or Syndrome","C04;C13;C19"
"Mental Retardation, X-Linked","Disease or Syndrome","C10;C16"
"Mental Retardation, X-Linked 1","Disease or Syndrome","C10;C16"
"Idiopathic hypogonadotropic hypogonadism","Disease or Syndrome","C19"
"X-linked Adrenal Hypoplasia","Disease or Syndrome","C19"
"Hydrops Fetalis","Disease or Syndrome","C13;C15;C16;C20;C23"
"Adenocarcinoma of lung (disorder)","Neoplastic Process","C04;C08"
"Arthritis, Adjuvant-Induced","Experimental Model of Disease","C05"
"Contact Dermatitis","Disease or Syndrome","C17"
"Male infertility","Disease or Syndrome","C12"
"Lung Injury","Injury or Poisoning","C08;C26"
"Arthritis, Collagen-Induced","Experimental Model of Disease","C05"
"Arthritis, Experimental","Experimental Model of Disease","C05"
"Chronic Lung Injury","Disease or Syndrome","C08;C26"
"Tumoral calcinosis","Disease or Syndrome","C18"
"Parkinson Disease","Disease or Syndrome","C10"
"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse","Neoplastic Process","C04;C15;C20"
"Adenocarcinoma of prostate","Neoplastic Process",""
"Malignant neoplasm of skin","Neoplastic Process","C04;C17"
"Non-Small Cell Lung Carcinoma","Neoplastic Process","C04;C08"
"Squamous cell carcinoma","Neoplastic Process","C04"
"Acute Promyelocytic Leukemia","Neoplastic Process","C04"
"Marijuana Abuse","Mental or Behavioral Dysfunction","C25;F03"
"Meningioma","Neoplastic Process","C04;C10"
"Osteosarcoma","Neoplastic Process","C04"
"Ovarian Carcinoma","Neoplastic Process",""
"Adenomatous Polyposis Coli","Neoplastic Process","C04;C06;C16"
"Cutaneous Melanoma","Neoplastic Process","C04;C17"
"Meningiomas, Multiple","Neoplastic Process","C04;C10"
"Breast Cancer, Familial","Neoplastic Process","C04;C17"
"Neoplasm of uncertain or unknown behavior of ovary","Neoplastic Process",""
"Neoplasm of uncertain or unknown behavior of breast","Neoplastic Process",""
"Breast adenocarcinoma","Neoplastic Process",""
"ovarian neoplasm","Neoplastic Process","C04;C13;C19"
"Malignant neoplasm of ovary","Neoplastic Process","C04;C13;C19"
"Squamous cell carcinoma of the head and neck","Neoplastic Process","C04"
"Polyposis, Adenomatous Intestinal","Disease or Syndrome","C04;C06;C16"
"Familial Intestinal Polyposis","Disease or Syndrome","C04;C06;C16"
"Pancreatic carcinoma","Neoplastic Process","C04;C06;C19"
"Nasopharyngeal carcinoma","Neoplastic Process","C04;C07;C09"
"Pancreatitis","Disease or Syndrome","C06"
"Urticaria","Disease or Syndrome","C17;C20"
"Liver Failure, Acute","Disease or Syndrome","C06"
"Cataract","Acquired Abnormality","C11"
"Pseudoaphakia","Disease or Syndrome","C11"
"Paranoid Schizophrenia","Mental or Behavioral Dysfunction","F03"
"Hepatitis, Autoimmune","Disease or Syndrome","C06;C20"
"Endometrial Carcinoma","Neoplastic Process","C04;C13"
"Rhabdomyosarcoma","Neoplastic Process","C04"
"Diffuse Large B-Cell Lymphoma","Neoplastic Process","C04;C15;C20"
"Malignant neoplasm of brain","Neoplastic Process","C04;C10"
"Papillary thyroid carcinoma","Neoplastic Process","C04;C19"
"Benign neoplasm of brain, unspecified","Neoplastic Process","C04;C10"
"Brain Tumor, Primary","Neoplastic Process","C04;C10"
"Recurrent Brain Neoplasm","Neoplastic Process","C04;C10"
"Primary malignant neoplasm of brain","Neoplastic Process","C04;C10"
"Ovarian Serous Adenocarcinoma","Neoplastic Process",""
"Colitis","Disease or Syndrome","C06"
"Adenoma, Basal Cell","Neoplastic Process","C04"
"Follicular adenoma","Neoplastic Process","C04"
"Adenoma, Microcystic","Neoplastic Process","C04"
"Adenoma, Monomorphic","Neoplastic Process","C04"
"Papillary adenoma","Neoplastic Process","C04"
"Adenoma, Trabecular","Neoplastic Process","C04"
"Morbilliform Drug Reaction","Disease or Syndrome","C17;C20;C25"
"Palmoplantar Keratosis","Disease or Syndrome","C16;C17"
"Erythrokeratoderma","Congenital Abnormality",""
"Polydactyly","Congenital Abnormality","C05;C16"
"Amelogenesis Imperfecta","Congenital Abnormality","C07;C16"
"Carcinoma, Transitional Cell","Neoplastic Process","C04"
"Cerebellar Hypoplasia","Congenital Abnormality","C10;C16;F03"
"Amyotrophic Lateral Sclerosis","Disease or Syndrome","C10;C18"
"Hemangiosarcoma","Neoplastic Process","C04"
"Long QT Syndrome","Disease or Syndrome","C14;C16;C23"
"Brugada Syndrome (disorder)","Disease or Syndrome","C14;C16"
"Status Epilepticus","Disease or Syndrome","C10;C23"
"Anhedonia","Mental or Behavioral Dysfunction","C10;C23;F01"
"Petit mal status","Disease or Syndrome","C10;C23"
"Grand Mal Status Epilepticus","Disease or Syndrome","C10;C23"
"Complex Partial Status Epilepticus","Disease or Syndrome","C10;C23"
"Status Epilepticus, Subclinical","Disease or Syndrome","C10;C23"
"Non-Convulsive Status Epilepticus","Disease or Syndrome","C10;C23"
"Simple Partial Status Epilepticus","Disease or Syndrome","C10;C23"
"Lymphatic Metastasis","Neoplastic Process","C04;C23"
"Lupus Erythematosus, Systemic","Disease or Syndrome","C17;C20"
"Libman-Sacks Disease","Disease or Syndrome","C17;C20"
"Medulloblastoma","Neoplastic Process","C04"
"Mesothelioma","Neoplastic Process","C04"
"Benign neoplasm of stomach","Neoplastic Process",""
"Carcinoma in situ of stomach","Neoplastic Process",""
"Medullomyoblastoma","Neoplastic Process","C04"
"Childhood Medulloblastoma","Neoplastic Process","C04"
"Adult Medulloblastoma","Neoplastic Process","C04"
"Neoplasm of uncertain or unknown behavior of stomach","Neoplastic Process",""
"Colon Carcinoma","Neoplastic Process",""
"Stomach Carcinoma","Neoplastic Process",""
"Desmoplastic Medulloblastoma","Neoplastic Process","C04"
"Melanotic medulloblastoma","Neoplastic Process","C04"
"Hereditary Nonpolyposis Colorectal Cancer","Neoplastic Process","C04;C06;C16;C18"
"leukemia","Neoplastic Process","C04"
"Chronic Lymphocytic Leukemia","Neoplastic Process","C04;C15;C20"
"AMYOTROPHIC LATERAL SCLEROSIS 1","Disease or Syndrome","C10;C18"
"Amyotrophic Lateral Sclerosis, Sporadic","Disease or Syndrome","C10;C18"
"Uterine Cervical Neoplasm","Neoplastic Process","C04;C13"
"Adult T-Cell Lymphoma/Leukemia","Neoplastic Process","C04;C15;C20"
"cervical cancer","Neoplastic Process","C04;C13"
"Behcet Syndrome","Disease or Syndrome","C07;C11;C14;C16;C17"
"Periodic Fever Syndrome","Disease or Syndrome",""
"Coronary heart disease","Disease or Syndrome","C14"
"Degenerative Diseases, Spinal Cord","Disease or Syndrome","C10"
"Multiple Sclerosis","Disease or Syndrome","C10;C20"
"Pustulosis of Palms and Soles","Disease or Syndrome","C17"
"Psoriasis","Disease or Syndrome","C17"
"Multiple Sclerosis, Acute Fulminating","Disease or Syndrome","C10;C20"
"Amnesia","Mental or Behavioral Dysfunction","C10;C23;F01;F03"
"Hysterical amnesia","Mental or Behavioral Dysfunction","C10;C23;F01;F03"
"Temporary Amnesia","Mental or Behavioral Dysfunction","C10;C23;F01;F03"
"Dissociative Amnesia","Mental or Behavioral Dysfunction","C10;C23;F01;F03"
"Global Amnesia","Mental or Behavioral Dysfunction","C10;C23;F01;F03"
"Tactile Amnesia","Mental or Behavioral Dysfunction","C10;C23;F01;F03"
"Amnestic State","Mental or Behavioral Dysfunction","C10;C23;F01;F03"
"Lymphoma, Non-Hodgkin","Neoplastic Process","C04;C15;C20"
"Lymphoma, T-Cell, Cutaneous","Neoplastic Process","C04;C15;C20"
"Granulomatous Slack Skin","Neoplastic Process","C04;C15;C20"
"Non-alcoholic Fatty Liver Disease","Disease or Syndrome","C06"
"Nonalcoholic Steatohepatitis","Disease or Syndrome","C06"
"Arsenic Poisoning, Inorganic","Injury or Poisoning","C10;C25"
"Nervous System, Organic Arsenic Poisoning","Injury or Poisoning","C10;C25"
"Arsenic Poisoning","Injury or Poisoning","C10;C25"
"Arsenic Encephalopathy","Disease or Syndrome","C10;C25"
"Arsenic Induced Polyneuropathy","Injury or Poisoning","C10;C25"
"Subfertility, Female","Disease or Syndrome","C13"
"Microcephaly","Congenital Abnormality","C05;C10;C16"
"Malignant Head and Neck Neoplasm","Neoplastic Process","C04"
"Cancer of Neck","Neoplastic Process","C04"
"Cancer of Head","Neoplastic Process","C04"
"Congenital diaphragmatic hernia","Disease or Syndrome","C16;C23"
"Congenital hernia of foramen of Morgagni","Congenital Abnormality","C16;C23"
"Congenital hernia of foramen of Bochdalek","Congenital Abnormality","C16;C23"
"Seasonal Affective Disorder","Mental or Behavioral Dysfunction","F03"
