geneA,geneB
YCL056C,YFR025C
YCL056C,YGL122C
YCL056C,YGL178W
YCL056C,YIL065C
YCL056C,YJL185C
YCL056C,YNL131W
YCL056C,YNL255C
YCL056C,YOL147C
YCL056C,YOR037W
YCL056C,YOR193W
YCL056C,YPL112C
YCL057C-A,YDL085W
YCL057C-A,YDL160C
YCL057C-A,YDR079W
YCL057C-A,YDR231C
YCL057C-A,YDR316W
YCL057C-A,YDR515W
YCL057C-A,YFR011C
YCL057C-A,YGL122C
YCL057C-A,YGL187C
YCL057C-A,YGR132C
YCL057C-A,YGR174C
YCL057C-A,YGR231C
YCL057C-A,YGR234W
YCL057C-A,YGR235C
YCL057C-A,YHR008C
YCL057C-A,YHR199C
YCL057C-A,YIL136W
YCL057C-A,YJL066C
YCL057C-A,YJL161W
YCL057C-A,YJR080C
YCL057C-A,YKL150W
YCL057C-A,YKR016W
YCL057C-A,YKR065C
YCL057C-A,YLL009C
YCL057C-A,YLL013C
YCL057C-A,YML030W
YCL057C-A,YMR145C
YCL057C-A,YNL026W
YCL057C-A,YNL055C
YCL057C-A,YNL100W
YCL057C-A,YNL209W
YCL057C-A,YNR018W
YCL057C-A,YOL027C
YCL057C-A,YOR187W
YCL057C-A,YOR356W
YCL057C-A,YPL134C
YCL057C-A,YPR004C
YCL057W,YGL122C
YCL057W,YHL034C
YCL057W,YNL064C
YCL057W,YNL209W
YCL057W,YNL307C
YCL057W,YOR198C
YCL058C,YDL160C
YCL058C,YDR477W
YCL058W-A,YDL160C
YCL059C,YCR057C
YCL059C,YDL014W
YCL059C,YDL077C
YCL059C,YDL148C
YCL059C,YDL156W
YCL059C,YDL160C
YCL059C,YDL166C
YCL059C,YDL208W
YCL059C,YDL213C
YCL059C,YDR025W
YCL059C,YDR060W
YCL059C,YDR064W
YCL059C,YDR225W
YCL059C,YDR299W
YCL059C,YDR324C
YCL059C,YDR365C
YCL059C,YDR393W
YCL059C,YDR449C
YCL059C,YDR457W
YCL059C,YER082C
YCL059C,YER102W
YCL059C,YER127W
YCL059C,YER165W
YCL059C,YFL002C
YCL059C,YGL030W
YCL059C,YGL078C
YCL059C,YGL103W
YCL059C,YGL120C
YCL059C,YGL171W
YCL059C,YGL178W
YCL059C,YGL201C
YCL059C,YGR090W
YCL059C,YGR100W
YCL059C,YGR145W
YCL059C,YGR214W
YCL059C,YGR218W
YCL059C,YHL033C
YCL059C,YHL034C
YCL059C,YHR023W
YCL059C,YHR077C
YCL059C,YHR148W
YCL059C,YHR203C
YCL059C,YIL019W
YCL059C,YIL031W
YCL059C,YJL109C
YCL059C,YJL190C
YCL059C,YJR002W
YCL059C,YJR123W
YCL059C,YJR145C
YCL059C,YKR057W
YCL059C,YKR060W
YCL059C,YKR081C
YCL059C,YLL011W
YCL059C,YLR129W
YCL059C,YLR175W
YCL059C,YLR186W
YCL059C,YLR197W
YCL059C,YLR222C
YCL059C,YLR320W
YCL059C,YLR340W
YCL059C,YLR409C
YCL059C,YLR441C
YCL059C,YML065W
YCL059C,YMR047C
YCL059C,YMR093W
YCL059C,YMR116C
YCL059C,YMR128W
YCL059C,YMR229C
YCL059C,YMR290C
YCL059C,YNL030W
YCL059C,YNL031C
YCL059C,YNL110C
YCL059C,YNL132W
YCL059C,YNL178W
YCL059C,YNL207W
YCL059C,YNL255C
YCL059C,YNL308C
YCL059C,YNR054C
YCL059C,YOL127W
YCL059C,YOR078W
YCL059C,YOR096W
YCL059C,YOR198C
YCL059C,YOR229W
YCL059C,YOR287C
YCL059C,YOR310C
YCL059C,YPL012W
YCL059C,YPL126W
YCL059C,YPL178W
YCL059C,YPL198W
YCL059C,YPL217C
YCL059C,YPL259C
YCL059C,YPR102C
YCL059C,YPR112C
YCL059C,YPR137W
YCL059C,YPR144C
YCL059C,YPR190C
YCL061C,YDL030W
YCL061C,YDL077C
YCL061C,YDL160C
YCL061C,YDL229W
YCL061C,YDR477W
YCL061C,YDR489W
YCL061C,YEL032W
YCL061C,YER021W
YCL061C,YER125W
YCL061C,YGL178W
YCL061C,YGL201C
YCL061C,YGL207W
YCL061C,YHL007C
YCL061C,YHR030C
YCL061C,YHR154W
YCL061C,YIL021W
YCL061C,YJL072C
YCL061C,YJL091C
YCL061C,YKL049C
YCL061C,YLR103C
YCL061C,YLR113W
YCL061C,YLR274W
YCL061C,YLR320W
YCL061C,YMR048W
YCL061C,YMR053C
YCL061C,YMR179W
YCL061C,YMR236W
YCL061C,YNL031C
YCL061C,YNL262W
YCL061C,YNL273W
YCL061C,YOL016C
YCL061C,YOR080W
YCL061C,YOR344C
YCL061C,YPL031C
YCL061C,YPL153C
YCL061C,YPR019W
YCL061C,YPR135W
YCL061C,YPR175W
YCL063W,YDL160C
YCL063W,YEL013W
YCL063W,YFR021W
YCL063W,YGL178W
YCL063W,YHR115C
YCL063W,YLR423C
YCL063W,YNL209W
YCL063W,YNL298W
YCL063W,YOR326W
YCL063W,YPL240C
YCL064C,YCR024C-A
YCL064C,YDL160C
YCL064C,YDR190C
YCL064C,YDR457W
YCL064C,YGL003C
YCL064C,YGR218W
YCL064C,YGR245C
YCL064C,YGR252W
YCL064C,YLL026W
YCL064C,YLR113W
YCL064C,YNL031C
YCL064C,YNR051C
YCL064C,YOR198C
YCL064C,YPL235W
YCL066W,YCL067C
YCL066W,YDR480W
YCL066W,YHR084W
YCL066W,YMR043W
YCL066W,YNL238W
YCL066W,YPL049C
YCL067C,YCR084C
YCL067C,YCR097W
YCL067C,YMR043W
YCL069W,YCR075C
YCL069W,YIL004C
YCL073C,YDR168W
YCL073C,YDR288W
YCL073C,YER118C
YCR002C,YCR009C
YCR002C,YCR030C
YCR002C,YDL064W
YCR002C,YDL077C
YCR002C,YDL149W
YCR002C,YDL156W
YCR002C,YDL225W
YCR002C,YDR085C
YCR002C,YDR168W
YCR002C,YDR188W
YCR002C,YDR190C
YCR002C,YDR324C
YCR002C,YDR409W
YCR002C,YDR507C
YCR002C,YFL002C
YCR002C,YFL018C
YCR002C,YGL105W
YCR002C,YGL122C
YCR002C,YGR059W
YCR002C,YGR162W
YCR002C,YHR061C
YCR002C,YHR107C
YCR002C,YIL021W
YCR002C,YIL149C
YCR002C,YIR010W
YCR002C,YJL014W
YCR002C,YJR076C
YCR002C,YJR092W
YCR002C,YLL026W
YCR002C,YLR180W
YCR002C,YLR201C
YCR002C,YLR229C
YCR002C,YLR314C
YCR002C,YML001W
YCR002C,YMR032W
YCR002C,YNL064C
YCR002C,YNL078W
YCR002C,YNL166C
YCR002C,YNL209W
YCR002C,YNL233W
YCR002C,YNL271C
YCR002C,YNL298W
YCR002C,YNL312W
YCR002C,YPL153C
YCR002C,YPL235W
YCR003W,YDL077C
YCR003W,YDL160C
YCR003W,YDR231C
YCR003W,YDR322W
YCR003W,YDR515W
YCR003W,YER017C
YCR003W,YGL064C
YCR003W,YGL122C
YCR003W,YJR045C
YCR003W,YLL013C
YCR003W,YNL005C
YCR003W,YPL240C
YCR003W,YPR042C
YCR004C,YDL101C
YCR004C,YDL160C
YCR004C,YDR032C
YCR004C,YDR231C
YCR004C,YFR004W
YCR004C,YGL122C
YCR004C,YGL178W
YCR004C,YGR130C
YCR004C,YHR027C
YCR004C,YHR200W
YCR004C,YLL026W
YCR004C,YMR031C
YCR004C,YMR086W
YCR004C,YNL209W
YCR004C,YNL255C
YCR004C,YPR042C
YCR005C,YDL077C
YCR005C,YDL160C
YCR005C,YGL187C
YCR005C,YGL252C
YCR005C,YJL042W
YCR005C,YKL085W
YCR005C,YKR016W
YCR005C,YLL013C
YCR005C,YLL026W
YCR005C,YLL039C
YCR005C,YLR055C
YCR005C,YLR224W
YCR005C,YNL209W
YCR005C,YOR323C
YCR005C,YPR042C
YCR005C,YPR088C
YCR007C,YCR061W
YCR007C,YDL120W
YCR007C,YDL164C
YCR007C,YDR107C
YCR007C,YGL122C
YCR007C,YKR066C
YCR007C,YMR079W
YCR007C,YPL020C
YCR008W,YCR009C
YCR008W,YDL006W
YCR008W,YDL053C
YCR008W,YDL160C
YCR008W,YDL177C
YCR008W,YDR044W
YCR008W,YDR129C
YCR008W,YDR364C
YCR008W,YDR388W
YCR008W,YDR404C
YCR008W,YER025W
YCR008W,YER174C
YCR008W,YFL023W
YCR008W,YGL084C
YCR008W,YGL106W
YCR008W,YGL122C
YCR008W,YGL134W
YCR008W,YGL178W
YCR008W,YGR086C
YCR008W,YGR218W
YCR008W,YGR258C
YCR008W,YHL034C
YCR008W,YHR056C
YCR008W,YHR068W
YCR008W,YIL016W
YCR008W,YJL004C
YCR008W,YJL033W
YCR008W,YJL051W
YCR008W,YJL164C
YCR008W,YJL189W
YCR008W,YJR076C
YCR008W,YKL073W
YCR008W,YKR081C
YCR008W,YLL011W
YCR008W,YLL013C
YCR008W,YLR054C
YCR008W,YLR175W
YCR008W,YLR197W
YCR008W,YLR305C
YCR008W,YLR429W
YCR008W,YMR140W
YCR008W,YMR165C
YCR008W,YMR229C
YCR008W,YNL106C
YCR008W,YNL253W
YCR008W,YOR018W
YCR008W,YOR224C
YCR008W,YOR326W
YCR008W,YPL004C
YCR008W,YPL031C
YCR008W,YPL257W-A
YCR008W,YPR013C
YCR008W,YPR171W
YCR009C,YCR043C
YCR009C,YDL044C
YCR009C,YDL077C
YCR009C,YDL156W
YCR009C,YDL160C
YCR009C,YDR190C
YCR009C,YDR225W
YCR009C,YDR231C
YCR009C,YDR381W
YCR009C,YDR388W
YCR009C,YDR395W
YCR009C,YEL037C
YCR009C,YER116C
YCR009C,YER125W
YCR009C,YFR004W
YCR009C,YFR028C
YCR009C,YGL060W
YCR009C,YGL122C
YCR009C,YGL137W
YCR009C,YGR086C
YCR009C,YGR098C
YCR009C,YGR218W
YCR009C,YGR252W
YCR009C,YHL034C
YCR009C,YHR042W
YCR009C,YIL021W
YCR009C,YIL148W
YCR009C,YJL127C
YCR009C,YJR032W
YCR009C,YJR066W
YCR009C,YKL203C
YCR009C,YLL026W
YCR009C,YLR144C
YCR009C,YLR218C
YCR009C,YLR429W
YCR009C,YML011C
YCR009C,YMR179W
YCR009C,YMR192W
YCR009C,YMR229C
YCR009C,YMR232W
YCR009C,YNL030W
YCR009C,YNL031C
YCR009C,YNL055C
YCR009C,YNL094W
YCR009C,YNL209W
YCR009C,YNL255C
YCR009C,YOL098C
YCR009C,YOL100W
YCR009C,YOR181W
YCR009C,YOR198C
YCR009C,YOR216C
YCR009C,YOR232W
YCR009C,YOR344C
YCR009C,YPL140C
YCR009C,YPL235W
YCR009C,YPL249C
YCR009C,YPL249C-A
YCR009C,YPR062W
YCR009C,YPR152C
YCR009C,YPR161C
YCR010C,YCR061W
YCR010C,YEL063C
YCR010C,YFL055W
YCR010C,YJR040W
YCR010C,YKR016W
YCR010C,YNR002C
YCR011C,YDL156W
YCR011C,YDR524C-B
YCR011C,YEL027W
YCR011C,YGL098W
YCR011C,YHR026W
YCR011C,YHR050W
YCR011C,YJL192C
YCR011C,YKL077W
YCR011C,YLL024C
YCR011C,YLR100W
YCR011C,YLR350W
YCR011C,YNL154C
YCR011C,YOR103C
YCR011C,YOR198C
YCR011C,YPR079W
YCR011C,YPR183W
YCR012W,YCR077C
YCR012W,YDL097C
YCR012W,YDL145C
YCR012W,YDL160C
YCR012W,YDR129C
YCR012W,YDR135C
YCR012W,YDR161W
YCR012W,YDR188W
YCR012W,YDR190C
YCR012W,YDR378C
YCR012W,YDR457W
YCR012W,YDR510W
YCR012W,YEL031W
YCR012W,YER112W
YCR012W,YER118C
YCR012W,YER133W
YCR012W,YER146W
YCR012W,YER151C
YCR012W,YFL002C
YCR012W,YFL023W
YCR012W,YFL039C
YCR012W,YFR004W
YCR012W,YGL122C
YCR012W,YGL137W
YCR012W,YGL155W
YCR012W,YGL158W
YCR012W,YGL201C
YCR012W,YGL227W
YCR012W,YGR072W
YCR012W,YGR252W
YCR012W,YHL030W
YCR012W,YHL034C
YCR012W,YHR027C
YCR012W,YHR077C
YCR012W,YHR152W
YCR012W,YHR200W
YCR012W,YIL033C
YCR012W,YIL128W
YCR012W,YIL149C
YCR012W,YIR010W
YCR012W,YJL030W
YCR012W,YJL124C
YCR012W,YKL032C
YCR012W,YKL188C
YCR012W,YKR066C
YCR012W,YKR081C
YCR012W,YKR095W
YCR012W,YKR103W
YCR012W,YKR104W
YCR012W,YLL013C
YCR012W,YLR285W
YCR012W,YLR438C-A
YCR012W,YML001W
YCR012W,YML072C
YCR012W,YMR080C
YCR012W,YNL002C
YCR012W,YNL006W
YCR012W,YNL026W
YCR012W,YNL147W
YCR012W,YNL192W
YCR012W,YNL209W
YCR012W,YNL255C
YCR012W,YNR051C
YCR012W,YOL081W
YCR012W,YOL135C
YCR012W,YOR098C
YCR012W,YOR117W
YCR012W,YOR198C
YCR012W,YPL020C
YCR012W,YPL180W
YCR012W,YPL190C
YCR012W,YPL201C
YCR012W,YPL235W
YCR012W,YPL240C
YCR012W,YPL254W
YCR012W,YPR019W
YCR012W,YPR042C
YCR012W,YPR093C
YCR012W,YPR152C
YCR014C,YDL156W
YCR014C,YDR224C
YCR014C,YDR363W-A
YCR014C,YFR010W
YCR014C,YGL157W
YCR014C,YHR135C
YCR014C,YLR265C
YCR014C,YLR320W
YCR014C,YMR080C
YCR014C,YNL180C
YCR014C,YOR005C
YCR015C,YCR077C
YCR015C,YDL160C
YCR015C,YGR163W
YCR015C,YLL013C
YCR015C,YOR198C
YCR015C,YPR088C
YCR016W,YDL079C
YCR016W,YDL208W
YCR016W,YDR510W
YCR016W,YER125W
YCR016W,YER151C
YCR016W,YGL120C
YCR016W,YGL122C
YCR016W,YGL213C
YCR016W,YGR218W
YCR016W,YHL034C
YCR016W,YIL030C
YCR016W,YIL031W
YCR016W,YJL128C
YCR016W,YJL164C
YCR016W,YJL165C
YCR016W,YJR125C
YCR016W,YKL012W
YCR016W,YKL116C
YCR016W,YKL117W
YCR016W,YLR022C
YCR016W,YLR175W
YCR016W,YLR197W
YCR016W,YLR320W
YCR016W,YNL255C
YCR016W,YOR217W
YCR016W,YPL026C
YCR016W,YPR190C
YCR017C,YDL160C
YCR017C,YGL122C
YCR017C,YGR052W
YCR017C,YLR065C
YCR017C,YOR198C
YCR018C,YDL160C
YCR018C,YGL122C
YCR019W,YGL122C
YCR020C-A,YDL160C
YCR020C-A,YEL053C
YCR020C-A,YGL122C
YCR020C-A,YGL178W
YCR020C-A,YIL119C
YCR020C-A,YJR022W
YCR020C-A,YKL025C
YCR020C-A,YNL255C
YCR020C-A,YPR051W
YCR020C,YGL122C
YCR020C,YLR291C
YCR020C,YMR080C
YCR020W-B,YCR052W
YCR020W-B,YDL147W
YCR020W-B,YDL160C
YCR020W-B,YDR190C
YCR020W-B,YDR303C
YCR020W-B,YDR520C
YCR020W-B,YFR037C
YCR020W-B,YGL207W
YCR020W-B,YGR275W
YCR020W-B,YIL033C
YCR020W-B,YIL126W
YCR020W-B,YJL127C
YCR020W-B,YKR008W
YCR020W-B,YLR033W
YCR020W-B,YLR321C
YCR020W-B,YLR357W
YCR020W-B,YML127W
YCR020W-B,YMR033W
YCR020W-B,YMR080C
YCR020W-B,YMR091C
YCR020W-B,YNL030W
YCR020W-B,YNL031C
YCR020W-B,YNL255C
YCR020W-B,YOL012C
YCR020W-B,YOL070C
YCR020W-B,YOR115C
YCR020W-B,YPL082C
YCR020W-B,YPR034W
YCR021C,YDL160C
YCR021C,YDL222C
YCR021C,YDR011W
YCR021C,YDR479C
YCR021C,YDR497C
YCR021C,YER020W
YCR021C,YGL077C
YCR021C,YGL122C
YCR021C,YGR130C
YCR021C,YGR138C
YCR021C,YHL007C
YCR021C,YHL016C
YCR021C,YHR001W
YCR021C,YHR094C
YCR021C,YHR096C
YCR021C,YJL151C
YCR021C,YJR076C
YCR021C,YKL032C
YCR021C,YKL051W
YCR021C,YKL220C
YCR021C,YKR003W
YCR021C,YLL043W
YCR021C,YLR138W
YCR021C,YLR332W
YCR021C,YLR454W
YCR021C,YML016C
YCR021C,YML072C
YCR021C,YOR273C
YCR021C,YPL058C
YCR021C,YPL189W
YCR021C,YPL221W
YCR021C,YPR042C
YCR021C,YPR124W
YCR023C,YDL160C
YCR023C,YGL122C
YCR023C,YJR059W
YCR023C,YLL013C
YCR023C,YMR080C
YCR023C,YOR198C
YCR024C-A,YCR077C
YCR024C-A,YCR084C
YCR024C-A,YCR093W
YCR024C-A,YDL022W
YCR024C-A,YDL055C
YCR024C-A,YDL140C
YCR024C-A,YDL145C
YCR024C-A,YDL160C
YCR024C-A,YDL185W
YCR024C-A,YDL212W
YCR024C-A,YDL229W
YCR024C-A,YDR037W
YCR024C-A,YDR091C
YCR024C-A,YDR127W
YCR024C-A,YDR143C
YCR024C-A,YDR158W
YCR024C-A,YDR172W
YCR024C-A,YDR214W
YCR024C-A,YDR238C
YCR024C-A,YDR331W
YCR024C-A,YDR341C
YCR024C-A,YDR380W
YCR024C-A,YDR414C
YCR024C-A,YDR502C
YCR024C-A,YDR515W
YCR024C-A,YEL021W
YCR024C-A,YEL032W
YCR024C-A,YEL063C
YCR024C-A,YER036C
YCR024C-A,YER070W
YCR024C-A,YER091C
YCR024C-A,YER103W
YCR024C-A,YER165W
YCR024C-A,YFL039C
YCR024C-A,YFR030W
YCR024C-A,YFR051C
YCR024C-A,YGL008C
YCR024C-A,YGL009C
YCR024C-A,YGL026C
YCR024C-A,YGL048C
YCR024C-A,YGL062W
YCR024C-A,YGL137W
YCR024C-A,YGL173C
YCR024C-A,YGL178W
YCR024C-A,YGL201C
YCR024C-A,YGL206C
YCR024C-A,YGL234W
YCR024C-A,YGL245W
YCR024C-A,YGR094W
YCR024C-A,YGR162W
YCR024C-A,YGR204W
YCR024C-A,YGR240C
YCR024C-A,YGR253C
YCR024C-A,YGR264C
YCR024C-A,YGR284C
YCR024C-A,YHL033C
YCR024C-A,YHL034C
YCR024C-A,YHR020W
YCR024C-A,YHR027C
YCR024C-A,YHR064C
YCR024C-A,YIL075C
YCR024C-A,YIL078W
YCR024C-A,YIL125W
YCR024C-A,YJL004C
YCR024C-A,YJL008C
YCR024C-A,YJL034W
YCR024C-A,YJL080C
YCR024C-A,YJL124C
YCR024C-A,YJL130C
YCR024C-A,YJR009C
YCR024C-A,YJR045C
YCR024C-A,YJR068W
YCR024C-A,YJR109C
YCR024C-A,YJR137C
YCR024C-A,YKL104C
YCR024C-A,YKL126W
YCR024C-A,YKL182W
YCR024C-A,YKL215C
YCR024C-A,YKR001C
YCR024C-A,YLL013C
YCR024C-A,YLL018C
YCR024C-A,YLL023C
YCR024C-A,YLL024C
YCR024C-A,YLL026W
YCR024C-A,YLL039C
YCR024C-A,YLR027C
YCR024C-A,YLR044C
YCR024C-A,YLR143W
YCR024C-A,YLR153C
YCR024C-A,YLR216C
YCR024C-A,YLR241W
YCR024C-A,YLR249W
YCR024C-A,YLR274W
YCR024C-A,YLR304C
YCR024C-A,YLR340W
YCR024C-A,YLR342W
YCR024C-A,YLR355C
YCR024C-A,YLR372W
YCR024C-A,YML103C
YCR024C-A,YML111W
YCR024C-A,YML117W
YCR024C-A,YMR012W
YCR024C-A,YMR080C
YCR024C-A,YMR108W
YCR024C-A,YMR109W
YCR024C-A,YMR116C
YCR024C-A,YMR186W
YCR024C-A,YMR205C
YCR024C-A,YMR246W
YCR024C-A,YNL085W
YCR024C-A,YNL104C
YCR024C-A,YNL178W
YCR024C-A,YNL209W
YCR024C-A,YNL287W
YCR024C-A,YNL313C
YCR024C-A,YNR016C
YCR024C-A,YOL086C
YCR024C-A,YOL132W
YCR024C-A,YOR027W
YCR024C-A,YOR086C
YCR024C-A,YOR133W
YCR024C-A,YOR136W
YCR024C-A,YOR151C
YCR024C-A,YOR198C
YCR024C-A,YOR204W
YCR024C-A,YOR317W
YCR024C-A,YOR326W
YCR024C-A,YOR341W
YCR024C-A,YOR361C
YCR024C-A,YPL093W
YCR024C-A,YPL106C
YCR024C-A,YPL160W
YCR024C-A,YPL184C
YCR024C-A,YPL226W
YCR024C-A,YPL227C
YCR024C-A,YPL231W
YCR024C-A,YPL240C
YCR024C-A,YPR010C
YCR024C-A,YPR019W
YCR024C-A,YPR035W
YCR024C-A,YPR080W
YCR024C-A,YPR145W
YCR024C-B,YCR077C
YCR024C-B,YDL160C
YCR024C-B,YGL122C
YCR024C-B,YOR198C
YCR024C-B,YOR254C
YCR024C-B,YPR042C
YCR024C,YDL077C
YCR024C,YER125W
YCR024C,YER146W
YCR024C,YJL124C
YCR024C,YJR045C
YCR024C,YKL012W
YCR024C,YKL117W
YCR024C,YLL013C
YCR024C,YNL154C
YCR024C,YNL243W
YCR024C,YPL031C
YCR024C,YPR042C
YCR026C,YDL160C
YCR026C,YOR198C
YCR026C,YOR359W
YCR026C,YPR042C
YCR027C,YDL077C
YCR027C,YDR515W
YCR027C,YGL122C
YCR027C,YLL013C
YCR027C,YNL209W
YCR027C,YNL255C
YCR027C,YOL083W
YCR028C-A,YCR033W
YCR028C-A,YCR093W
YCR028C-A,YDL156W
YCR028C-A,YDL160C
YCR028C-A,YDL222C
YCR028C-A,YDR097C
YCR028C-A,YDR224C
YCR028C-A,YDR225W
YCR028C-A,YDR231C
YCR028C-A,YDR265W
YCR028C-A,YDR296W
YCR028C-A,YDR322W
YCR028C-A,YDR409W
YCR028C-A,YDR457W
YCR028C-A,YDR515W
YCR028C-A,YER020W
YCR028C-A,YER112W
YCR028C-A,YER151C
YCR028C-A,YFL002C
YCR028C-A,YGL077C
YCR028C-A,YGL122C
YCR028C-A,YGL207W
YCR028C-A,YGL219C
YCR028C-A,YGR055W
YCR028C-A,YGR130C
YCR028C-A,YHR164C
YCR028C-A,YIL038C
YCR028C-A,YIL107C
YCR028C-A,YIL109C
YCR028C-A,YIR002C
YCR028C-A,YJR010C-A
YCR028C-A,YJR045C
YCR028C-A,YJR144W
YCR028C-A,YKL051W
YCR028C-A,YKL054C
YCR028C-A,YKL114C
YCR028C-A,YKL144C
YCR028C-A,YKR016W
YCR028C-A,YLL006W
YCR028C-A,YLL013C
YCR028C-A,YLR226W
YCR028C-A,YLR326W
YCR028C-A,YLR332W
YCR028C-A,YLR413W
YCR028C-A,YML032C
YCR028C-A,YML061C
YCR028C-A,YML065W
YCR028C-A,YML072C
YCR028C-A,YMR275C
YCR028C-A,YNL016W
YCR028C-A,YNL026W
YCR028C-A,YNL030W
YCR028C-A,YNL031C
YCR028C-A,YNL157W
YCR028C-A,YNL197C
YCR028C-A,YNL209W
YCR028C-A,YNL255C
YCR028C-A,YNL288W
YCR028C-A,YNL298W
YCR028C-A,YNL339C
YCR028C-A,YNR051C
YCR028C-A,YNR052C
YCR028C-A,YOL138C
YCR028C-A,YOR113W
YCR028C-A,YOR147W
YCR028C-A,YOR198C
YCR028C-A,YOR273C
YCR028C-A,YPL004C
YCR028C-A,YPL058C
YCR028C-A,YPR072W
YCR028C-A,YPR129W
YCR028C-A,YPR161C
YCR028C,YGL051W
YCR028C,YJL004C
YCR028C,YKL117W
YCR028C,YLR372W
YCR028C,YNR065C
YCR028C,YOR198C
YCR028C,YOR254C
YCR028C,YPR042C
YCR030C,YDL077C
YCR030C,YDL160C
YCR030C,YDL225W
YCR030C,YDR032C
YCR030C,YER020W
YCR030C,YER166W
YCR030C,YFR024C-A
YCR030C,YGL077C
YCR030C,YGR130C
YCR030C,YGR220C
YCR030C,YGR241C
YCR030C,YHR016C
YCR030C,YHR107C
YCR030C,YIL095W
YCR030C,YIR010W
YCR030C,YJL098W
YCR030C,YJR076C
YCR030C,YKL049C
YCR030C,YKL051W
YCR030C,YKR081C
YCR030C,YLR206W
YCR030C,YLR332W
YCR030C,YLR337C
YCR030C,YLR342W
YCR030C,YML098W
YCR030C,YMR109W
YCR030C,YNL209W
YCR030C,YNL271C
YCR030C,YNL283C
YCR030C,YNR047W
YCR030C,YOL016C
YCR030C,YOL054W
YCR030C,YOR091W
YCR030C,YOR181W
YCR030C,YPL058C
YCR030C,YPL221W
YCR030C,YPR042C
YCR030C,YPR119W
YCR030C,YPR152C
YCR031C,YCR057C
YCR031C,YCR077C
YCR031C,YDL055C
YCR031C,YDL160C
YCR031C,YDL166C
YCR031C,YDR060W
YCR031C,YDR130C
YCR031C,YDR231C
YCR031C,YDR381W
YCR031C,YDR457W
YCR031C,YDR515W
YCR031C,YER131W
YCR031C,YFL010C
YCR031C,YFR004W
YCR031C,YGL122C
YCR031C,YHL030W
YCR031C,YHL034C
YCR031C,YHR013C
YCR031C,YHR027C
YCR031C,YIL031W
YCR031C,YIL133C
YCR031C,YIL137C
YCR031C,YIR010W
YCR031C,YJL080C
YCR031C,YJL124C
YCR031C,YJL168C
YCR031C,YJR002W
YCR031C,YJR017C
YCR031C,YKL012W
YCR031C,YKL143W
YCR031C,YLL013C
YCR031C,YLL036C
YCR031C,YLR145W
YCR031C,YMR116C
YCR031C,YMR219W
YCR031C,YNL002C
YCR031C,YNL124W
YCR031C,YNL207W
YCR031C,YNL209W
YCR031C,YNL255C
YCR031C,YNL308C
YCR031C,YOR091W
YCR031C,YOR117W
YCR031C,YOR198C
YCR031C,YPR088C
YCR031C,YPR144C
YCR031C,YPR152C
YCR031C,YPR190C
YCR032W,YDL147W
YCR032W,YLL013C
YCR032W,YOL057W
YCR033W,YDL160C
YCR033W,YDR155C
YCR033W,YDR432W
YCR033W,YGL194C
YCR033W,YGL207W
YCR033W,YHL034C
YCR033W,YHR119W
YCR033W,YIL068C
YCR033W,YIL112W
YCR033W,YJL127C
YCR033W,YKR029C
YCR033W,YLL013C
YCR033W,YMR273C
YCR033W,YOL068C
YCR033W,YPL055C
YCR033W,YPR152C
YCR034W,YDL015C
YCR034W,YDL054C
YCR034W,YDL149W
YCR034W,YDL160C
YCR034W,YDL229W
YCR034W,YDR276C
YCR034W,YDR297W
YCR034W,YDR307W
YCR034W,YDR331W
YCR034W,YDR414C
YCR034W,YDR456W
YCR034W,YEL002C
YCR034W,YEL017C-A
YCR034W,YEL063C
YCR034W,YFL025C
YCR034W,YFL048C
YCR034W,YFL062W
YCR034W,YFR028C
YCR034W,YGL055W
YCR034W,YGL200C
YCR034W,YGR060W
YCR034W,YGR191W
YCR034W,YGR260W
YCR034W,YGR289C
YCR034W,YGR295C
YCR034W,YHL042W
YCR034W,YHL048W
YCR034W,YHR007C
YCR034W,YHR094C
YCR034W,YHR110W
YCR034W,YHR123W
YCR034W,YHR133C
YCR034W,YHR140W
YCR034W,YHR142W
YCR034W,YIL171W
YCR034W,YIR022W
YCR034W,YJL117W
YCR034W,YJL178C
YCR034W,YJL196C
YCR034W,YJL219W
YCR034W,YJL222W
YCR034W,YJR010C-A
YCR034W,YJR161C
YCR034W,YKL212W
YCR034W,YLL006W
YCR034W,YLL023C
YCR034W,YLL024C
YCR034W,YLL028W
YCR034W,YLL061W
YCR034W,YLR018C
YCR034W,YLR064W
YCR034W,YML067C
YCR034W,YMR058W
YCR034W,YMR149W
YCR034W,YMR215W
YCR034W,YNL048W
YCR034W,YNL101W
YCR034W,YNL197C
YCR034W,YOL020W
YCR034W,YOL030W
YCR034W,YOL132W
YCR034W,YOR198C
YCR034W,YOR204W
YCR034W,YPL076W
YCR034W,YPL264C
YCR034W,YPL274W
YCR034W,YPR042C
YCR034W,YPR156C
YCR034W,YPR192W
YCR035C,YDL111C
YCR035C,YDL160C
YCR035C,YDR280W
YCR035C,YDR515W
YCR035C,YFR004W
YCR035C,YGL120C
YCR035C,YGL178W
YCR035C,YGR095C
YCR035C,YGR158C
YCR035C,YGR162W
YCR035C,YGR195W
YCR035C,YHL034C
YCR035C,YHR034C
YCR035C,YHR041C
YCR035C,YHR069C
YCR035C,YHR081W
YCR035C,YHR114W
YCR035C,YJL050W
YCR035C,YKL129C
YCR035C,YLR398C
YCR035C,YNL189W
