"Pathway"	"zscore"
"Acute myeloid leukemia"	"6.407"
"Non-small cell lung cancer"	"6.335"
"Renin-angiotensin system"	"6.227"
"Phosphatidylinositol signaling system"	"6.215"
"Choline metabolism in cancer"	"6.151"
"Fc gamma R-mediated phagocytosis"	"6.151"
"ErbB signaling pathway"	"6.123"
"Pertussis"	"6.065"
"Cocaine addiction"	"6.001"
"Breast cancer"	"5.925"
"Salivary secretion"	"5.884"
"Rheumatoid arthritis"	"5.835"
"Jak-STAT signaling pathway"	"5.758"
"Ovarian steroidogenesis"	"5.678"
"GnRH signaling pathway"	"5.676"
"Dopaminergic synapse"	"5.599"
"Drug metabolism - other enzymes"	"5.504"
"Ascorbate and aldarate metabolism"	"5.479"
"C-type lectin receptor signaling pathway"	"5.449"
"Platelet activation"	"5.449"
"PI3K-Akt signaling pathway"	"5.445"
"Chronic myeloid leukemia"	"5.438"
"Porphyrin and chlorophyll metabolism"	"5.348"
"Cortisol synthesis and secretion"	"5.346"
"Chagas disease (American trypanosomiasis)"	"5.268"
"Primary bile acid biosynthesis"	"5.088"
"Endometrial cancer"	"5.064"
"Insulin signaling pathway"	"5.043"
"Cushing's syndrome"	"5.018"
"Renal cell carcinoma"	"4.954"
"AGE-RAGE signaling pathway in diabetic complications"	"4.89"
"Arachidonic acid metabolism"	"4.851"
"Autophagy - animal"	"4.819"
"Glucagon signaling pathway"	"4.807"
"Vascular smooth muscle contraction"	"4.767"
"Proteoglycans in cancer"	"4.669"
"TNF signaling pathway"	"4.662"
"Leukocyte transendothelial migration"	"4.661"
"Amphetamine addiction"	"4.572"
"Bacterial invasion of epithelial cells"	"4.492"
"Insulin secretion"	"4.456"
"Thyroid hormone signaling pathway"	"4.425"
"Type II diabetes mellitus"	"4.339"
"Neurotrophin signaling pathway"	"4.309"
"Linoleic acid metabolism"	"4.156"
"Phototransduction"	"4.063"
"Prostate cancer"	"4.024"
"Signaling pathways regulating pluripotency of stem cells"	"3.991"
"FoxO signaling pathway"	"3.971"
"HIF-1 signaling pathway"	"3.835"
"Longevity regulating pathway"	"3.83"
"Arginine biosynthesis"	"3.584"
"Inositol phosphate metabolism"	"3.54"
"Cardiac muscle contraction"	"3.532"
"Prion diseases"	"3.504"
"Progesterone-mediated oocyte maturation"	"3.495"
"Colorectal cancer"	"3.482"
"Salmonella infection"	"3.413"
"Asthma"	"3.385"
"Dilated cardiomyopathy (DCM)"	"3.353"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"3.33"
"Hepatocellular carcinoma"	"3.329"
"Toll-like receptor signaling pathway"	"3.183"
"MicroRNAs in cancer"	"3.163"
"Hematopoietic cell lineage"	"3.018"
"Tyrosine metabolism"	"3.013"
"Hepatitis B"	"2.952"
"Osteoclast differentiation"	"2.924"
"Tuberculosis"	"2.849"
"mTOR signaling pathway"	"2.848"
"Central carbon metabolism in cancer"	"2.814"
"Hypertrophic cardiomyopathy (HCM)"	"2.684"
"Cellular senescence"	"2.664"
"Focal adhesion"	"2.624"
"Terpenoid backbone biosynthesis"	"2.616"
"Gap junction"	"2.598"
"Endocrine and other factor-regulated calcium reabsorption"	"2.597"
"Bladder cancer"	"2.55"
"Autoimmune thyroid disease"	"2.486"
"Hepatitis C"	"2.463"
"Synthesis and degradation of ketone bodies"	"2.446"
"Th17 cell differentiation"	"2.409"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"2.333"
"Steroid biosynthesis"	"2.323"
"Aminoacyl-tRNA biosynthesis"	"2.311"
"Retrograde endocannabinoid signaling"	"2.309"
"Fat digestion and absorption"	"2.298"
"Epithelial cell signaling in Helicobacter pylori infection"	"2.294"
"Bile secretion"	"2.225"
"Insulin resistance"	"2.213"
"Th1 and Th2 cell differentiation"	"2.197"
"Adipocytokine signaling pathway"	"2.12"
"Thyroid hormone synthesis"	"2.111"
"Vasopressin-regulated water reabsorption"	"1.982"
"Adherens junction"	"1.961"
"Pancreatic cancer"	"1.954"
"Starch and sucrose metabolism"	"1.929"
"Glycolysis / Gluconeogenesis"	"1.92"
"Olfactory transduction"	"1.884"
"Pantothenate and CoA biosynthesis"	"1.88"
"Allograft rejection"	"1.879"
"Alcoholism"	"1.851"
"Graft-versus-host disease"	"1.779"
"Phenylalanine metabolism"	"1.719"
"Glyoxylate and dicarboxylate metabolism"	"1.702"
"Pancreatic secretion"	"1.682"
"Caffeine metabolism"	"1.665"
"Nitrogen metabolism"	"1.637"
"Arginine and proline metabolism"	"1.608"
"SNARE interactions in vesicular transport"	"1.595"
"Alzheimer's disease"	"1.561"
"Tryptophan metabolism"	"1.368"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"1.351"
"Pentose phosphate pathway"	"1.344"
"Glycerolipid metabolism"	"1.272"
"Butanoate metabolism"	"1.271"
"Viral myocarditis"	"1.219"
"Leishmaniasis"	"1.201"
"Inflammatory bowel disease (IBD)"	"1.182"
"Glycerophospholipid metabolism"	"1.174"
"Pyruvate metabolism"	"1.162"
"Vitamin digestion and absorption"	"1.145"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"1.128"
"Valine, leucine and isoleucine biosynthesis"	"1.115"
"IL-17 signaling pathway"	"0.989"
"Oocyte meiosis"	"0.98"
"Autophagy - other"	"0.966"
"Endocytosis"	"0.956"
"Lysosome"	"0.935"
"Thyroid cancer"	"0.926"
"Selenocompound metabolism"	"0.892"
"NF-kappa B signaling pathway"	"0.882"
"Propanoate metabolism"	"0.878"
"Protein digestion and absorption"	"0.844"
"Vibrio cholerae infection"	"0.792"
"Small cell lung cancer"	"0.772"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"0.74"
"Cysteine and methionine metabolism"	"0.738"
"Histidine metabolism"	"0.733"
"Folate biosynthesis"	"0.722"
"Vitamin B6 metabolism"	"0.666"
"HTLV-I infection"	"0.645"
"Galactose metabolism"	"0.642"
"Longevity regulating pathway - multiple species"	"0.583"
"Type I diabetes mellitus"	"0.544"
"Shigellosis"	"0.54"
"Non-homologous end-joining"	"0.511"
"Phosphonate and phosphinate metabolism"	"0.443"
"Fructose and mannose metabolism"	"0.441"
"Riboflavin metabolism"	"0.44"
"Amyotrophic lateral sclerosis (ALS)"	"0.419"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"0.412"
"Glycine, serine and threonine metabolism"	"0.394"
"Viral carcinogenesis"	"0.281"
"Synaptic vesicle cycle"	"0.269"
"Collecting duct acid secretion"	"0.253"
"Valine, leucine and isoleucine degradation"	"0.252"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"0.225"
"African trypanosomiasis"	"0.195"
"Mineral absorption"	"0.195"
"One carbon pool by folate"	"0.167"
"Cell adhesion molecules (CAMs)"	"0.166"
"Malaria"	"0.159"
"NOD-like receptor signaling pathway"	"0.147"
"Lysine degradation"	"0.146"
"TGF-beta signaling pathway"	"0.144"
"AMPK signaling pathway"	"0.036"
"Thiamine metabolism"	"0.02"
"Fatty acid degradation"	"0.007"
"Citrate cycle (TCA cycle)"	"0.003"
"Mitophagy - animal"	"-0.008"
"Fanconi anemia pathway"	"-0.01"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-0.035"
"Biosynthesis of unsaturated fatty acids"	"-0.039"
"Human papillomavirus infection"	"-0.101"
"Cholesterol metabolism"	"-0.124"
"Homologous recombination"	"-0.171"
"Parkinson's disease"	"-0.186"
"D-Arginine and D-ornithine metabolism"	"-0.196"
"beta-Alanine metabolism"	"-0.214"
"MAPK signaling pathway"	"-0.227"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"-0.292"
"Non-alcoholic fatty liver disease (NAFLD)"	"-0.311"
"Maturity onset diabetes of the young"	"-0.348"
"Taurine and hypotaurine metabolism"	"-0.441"
"Peroxisome"	"-0.457"
"Nicotinate and nicotinamide metabolism"	"-0.504"
"Primary immunodeficiency"	"-0.546"
"alpha-Linolenic acid metabolism"	"-0.595"
"Alanine, aspartate and glutamate metabolism"	"-0.677"
"Other glycan degradation"	"-0.714"
"Base excision repair"	"-0.721"
"Biotin metabolism"	"-0.783"
"Proximal tubule bicarbonate reclamation"	"-0.805"
"Cytosolic DNA-sensing pathway"	"-0.828"
"Glutathione metabolism"	"-0.828"
"ABC transporters"	"-0.839"
"Toxoplasmosis"	"-0.883"
"Mismatch repair"	"-0.898"
"Apoptosis"	"-0.904"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-0.918"
"Thermogenesis"	"-0.95"
"Sulfur relay system"	"-0.969"
"Glycosphingolipid biosynthesis - ganglio series"	"-0.998"
"Glycosaminoglycan degradation"	"-1.013"
"Fatty acid elongation"	"-1.03"
"Lipoic acid metabolism"	"-1.038"
"Other types of O-glycan biosynthesis"	"-1.074"
"Mannose type O-glycan biosynthesis"	"-1.08"
"Amino sugar and nucleotide sugar metabolism"	"-1.143"
"N-Glycan biosynthesis"	"-1.169"
"Fluid shear stress and atherosclerosis"	"-1.205"
"D-Glutamine and D-glutamate metabolism"	"-1.247"
"Nicotine addiction"	"-1.273"
"Ether lipid metabolism"	"-1.289"
"Fatty acid biosynthesis"	"-1.349"
"Sphingolipid metabolism"	"-1.489"
"ECM-receptor interaction"	"-1.575"
"Basal cell carcinoma"	"-1.622"
"Sulfur metabolism"	"-1.715"
"Mucin type O-glycan biosynthesis"	"-1.788"
"Hippo signaling pathway - multiple species"	"-1.799"
"DNA replication"	"-1.965"
"Purine metabolism"	"-1.975"
"Wnt signaling pathway"	"-2.097"
"Notch signaling pathway"	"-2.128"
"Transcriptional misregulation in cancer"	"-2.148"
"Measles"	"-2.165"
"Ferroptosis"	"-2.181"
"Influenza A"	"-2.305"
"Oxidative phosphorylation"	"-2.344"
"RNA degradation"	"-2.371"
"Legionellosis"	"-2.397"
"p53 signaling pathway"	"-2.398"
"RIG-I-like receptor signaling pathway"	"-2.452"
"Pathogenic Escherichia coli infection"	"-2.492"
"Tight junction"	"-2.596"
"PPAR signaling pathway"	"-2.629"
"Hedgehog signaling pathway"	"-2.694"
"Cell cycle"	"-2.704"
"Apoptosis - multiple species"	"-2.793"
"Proteasome"	"-2.891"
"Protein export"	"-2.903"
"Hippo signaling pathway"	"-3.011"
"Circadian rhythm"	"-3.097"
"Ubiquitin mediated proteolysis"	"-3.277"
"Herpes simplex infection"	"-3.352"
"Pyrimidine metabolism"	"-3.438"
"Necroptosis"	"-3.471"
"Antigen processing and presentation"	"-3.648"
"Nucleotide excision repair"	"-3.871"
"Phagosome"	"-4.13"
"RNA polymerase"	"-4.168"
"Huntington's disease"	"-4.169"
"Epstein-Barr virus infection"	"-4.797"
"Basal transcription factors"	"-4.85"
"Systemic lupus erythematosus"	"-4.88"
"Protein processing in endoplasmic reticulum"	"-6.149"
"mRNA surveillance pathway"	"-6.2"
"Ribosome"	"-6.334"
"RNA transport"	"-7.949"
"Ribosome biogenesis in eukaryotes"	"-12.905"
"Spliceosome"	"-13.45"
