"category"	"ID"	"Term"	"count"	"genes"	"logFC"	"adj_pval"	"zscore"
"BP"	"GO:1990180"	"mitochondrial tRNA 3'-end processing"	"304"	"HSPB2"	"0.0"	"8.05151887221983e-20"	"9.037"
"BP"	"GO:0042407"	"cristae formation"	"802"	"APP"	"0.0"	"1.85974876686337e-19"	"8.945"
"BP"	"GO:0006116"	"NADH oxidation"	"368"	"ANXA6"	"0.0"	"9.93725846619634e-19"	"8.758"
"BP"	"GO:0070901"	"mitochondrial tRNA methylation"	"303"	"HSPB2"	"0.0"	"1.24002545860214e-18"	"8.733"
"BP"	"GO:0005975"	"carbohydrate metabolic process"	"2767"	"ARF5"	"0.0"	"8.32951519968753e-18"	"8.515"
"BP"	"GO:0061624"	"fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate"	"731"	"ALDH1A2"	"0.0"	"1.11633308060446e-17"	"8.481"
"BP"	"GO:0051289"	"protein homotetramerization"	"4195"	"ACO2"	"0.0"	"1.17539768468096e-17"	"8.475"
"BP"	"GO:0015980"	"energy derivation by oxidation of organic compounds"	"73"	"ALB"	"0.0"	"4.90759736569245e-17"	"8.307"
"BP"	"GO:0045333"	"cellular respiration"	"702"	"DLG4"	"0.0"	"6.21069686615341e-17"	"8.279"
"BP"	"GO:0090646"	"mitochondrial tRNA processing"	"348"	"ENDOG"	"0.0"	"1.19197765871495e-16"	"8.201"
"BP"	"GO:0042775"	"mitochondrial ATP synthesis coupled electron transport"	"747"	"BNC1"	"0.0"	"1.21197463697684e-16"	"8.199"
"BP"	"GO:0098656"	"anion transmembrane transport"	"743"	"ABCA12"	"0.0"	"5.33047533761176e-16"	"8.019"
"BP"	"GO:0000226"	"microtubule cytoskeleton organization"	"4468"	"AXIN1"	"0.0"	"5.87702453268022e-16"	"8.007"
"BP"	"GO:0061732"	"mitochondrial acetyl-CoA biosynthetic process from pyruvate"	"761"	"DLG4"	"0.0"	"5.87702453268022e-16"	"8.007"
