"Pathway"	"zscore"
"Leishmaniasis"	"-0.885"
"Pertussis"	"-0.897"
"Other types of O-glycan biosynthesis"	"-0.91"
"Apoptosis - multiple species"	"-0.922"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-0.985"
"Riboflavin metabolism"	"-0.987"
"Regulation of actin cytoskeleton"	"-0.999"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"-1.01"
"D-Glutamine and D-glutamate metabolism"	"-1.033"
"Circadian rhythm"	"-1.037"
"Leukocyte transendothelial migration"	"-1.049"
"Intestinal immune network for IgA production"	"-1.051"
"N-Glycan biosynthesis"	"-1.192"
"RIG-I-like receptor signaling pathway"	"-1.198"
"Mitophagy - animal"	"-1.333"
"Protein digestion and absorption"	"-1.413"
"Protein export"	"-1.482"
"mRNA surveillance pathway"	"-1.496"
"NF-kappa B signaling pathway"	"-1.736"
"Herpes simplex infection"	"-1.747"
"Cell cycle"	"-1.751"
"Staphylococcus aureus infection"	"-1.832"
"Chemokine signaling pathway"	"-1.908"
"Taste transduction"	"-1.997"
"Renin-angiotensin system"	"-2.1"
"Retrograde endocannabinoid signaling"	"-2.44"
"Mismatch repair"	"-2.692"
"Complement and coagulation cascades"	"-2.695"
"Nucleotide excision repair"	"-2.787"
"Basal cell carcinoma"	"-2.808"
"SNARE interactions in vesicular transport"	"-3.386"
"Homologous recombination"	"-3.393"
"Spliceosome"	"-3.72"
"Fanconi anemia pathway"	"-3.984"
"DNA replication"	"-4.102"
"Ribosome"	"-4.201"
"Cytokine-cytokine receptor interaction"	"-5.105"
"Neuroactive ligand-receptor interaction"	"-11.999"
"Ribosome biogenesis in eukaryotes"	"-12.034"
