"Pathway"	"zscore"
"Endocytosis"	"1.582"
"Arginine biosynthesis"	"1.547"
"Arachidonic acid metabolism"	"1.534"
"Citrate cycle (TCA cycle)"	"1.524"
"Valine, leucine and isoleucine biosynthesis"	"1.441"
"Estrogen signaling pathway"	"1.322"
"Ether lipid metabolism"	"1.082"
"Notch signaling pathway"	"1.047"
"Serotonergic synapse"	"1.018"
"Arginine and proline metabolism"	"1.005"
"Gastric acid secretion"	"0.98"
"alpha-Linolenic acid metabolism"	"0.96"
"Thiamine metabolism"	"0.937"
"Aminoacyl-tRNA biosynthesis"	"0.885"
"Glutathione metabolism"	"0.812"
"Glucagon signaling pathway"	"0.766"
"Sulfur metabolism"	"0.732"
"Other types of O-glycan biosynthesis"	"0.715"
"Cell cycle"	"0.705"
"Pyruvate metabolism"	"0.7"
"Fat digestion and absorption"	"0.684"
"Ferroptosis"	"0.663"
"Systemic lupus erythematosus"	"0.598"
"Cushing's syndrome"	"0.557"
"Dopaminergic synapse"	"0.554"
"Valine, leucine and isoleucine degradation"	"0.55"
"Adrenergic signaling in cardiomyocytes"	"0.545"
"Folate biosynthesis"	"0.542"
"Glyoxylate and dicarboxylate metabolism"	"0.541"
"Endocrine and other factor-regulated calcium reabsorption"	"0.527"
"Lipoic acid metabolism"	"0.507"
"PPAR signaling pathway"	"0.488"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"0.477"
"Glycine, serine and threonine metabolism"	"0.473"
"Propanoate metabolism"	"0.392"
"cGMP-PKG signaling pathway"	"0.352"
"Maturity onset diabetes of the young"	"0.339"
"Alzheimer's disease"	"0.326"
"Long-term potentiation"	"0.322"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"0.274"
"Non-homologous end-joining"	"0.268"
"Ovarian steroidogenesis"	"0.245"
"Gap junction"	"0.236"
"Longevity regulating pathway - multiple species"	"0.202"
"Taurine and hypotaurine metabolism"	"0.186"
"Glutamatergic synapse"	"0.158"
"Tyrosine metabolism"	"0.112"
"Parkinson's disease"	"0.1"
"Calcium signaling pathway"	"0.028"
"Phosphonate and phosphinate metabolism"	"0.019"
"Proximal tubule bicarbonate reclamation"	"0.012"
"Hedgehog signaling pathway"	"-0.003"
"Fatty acid elongation"	"-0.014"
"Thyroid hormone synthesis"	"-0.044"
"Phenylalanine metabolism"	"-0.059"
"Pentose phosphate pathway"	"-0.076"
"Alanine, aspartate and glutamate metabolism"	"-0.091"
"Linoleic acid metabolism"	"-0.111"
"Pantothenate and CoA biosynthesis"	"-0.16"
"Glycolysis / Gluconeogenesis"	"-0.164"
"Cholesterol metabolism"	"-0.165"
"Autophagy - other"	"-0.181"
"Hippo signaling pathway - multiple species"	"-0.183"
"D-Arginine and D-ornithine metabolism"	"-0.185"
"Oocyte meiosis"	"-0.259"
"Protein digestion and absorption"	"-0.377"
"Tight junction"	"-0.391"
"Caffeine metabolism"	"-0.419"
"Nicotinate and nicotinamide metabolism"	"-0.432"
"Vitamin B6 metabolism"	"-0.438"
"One carbon pool by folate"	"-0.445"
"Fructose and mannose metabolism"	"-0.465"
"Tryptophan metabolism"	"-0.507"
"Bile secretion"	"-0.516"
"Nitrogen metabolism"	"-0.518"
"Other glycan degradation"	"-0.522"
"Aldosterone synthesis and secretion"	"-0.531"
"Morphine addiction"	"-0.638"
"Oxytocin signaling pathway"	"-0.654"
"Mineral absorption"	"-0.705"
"Sulfur relay system"	"-0.727"
"Circadian entrainment"	"-0.811"
"Pathogenic Escherichia coli infection"	"-0.825"
"N-Glycan biosynthesis"	"-0.846"
"Glycerophospholipid metabolism"	"-0.875"
"Biotin metabolism"	"-0.879"
"ECM-receptor interaction"	"-0.889"
"DNA replication"	"-0.946"
"Mannose type O-glycan biosynthesis"	"-1.001"
"Base excision repair"	"-1.076"
"Selenocompound metabolism"	"-1.09"
"Cortisol synthesis and secretion"	"-1.1"
"Peroxisome"	"-1.126"
"Galactose metabolism"	"-1.168"
"Glycosaminoglycan degradation"	"-1.2"
"Glycosphingolipid biosynthesis - ganglio series"	"-1.224"
"Mismatch repair"	"-1.258"
"Cysteine and methionine metabolism"	"-1.298"
"Lysine degradation"	"-1.31"
"Apelin signaling pathway"	"-1.337"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"-1.339"
"Fatty acid biosynthesis"	"-1.345"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-1.349"
"D-Glutamine and D-glutamate metabolism"	"-1.551"
"Vitamin digestion and absorption"	"-1.56"
"Fanconi anemia pathway"	"-1.582"
"Biosynthesis of unsaturated fatty acids"	"-1.614"
"Renin secretion"	"-1.622"
"GABAergic synapse"	"-1.662"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"-1.718"
"Basal cell carcinoma"	"-1.743"
"Drug metabolism - other enzymes"	"-1.766"
"Amino sugar and nucleotide sugar metabolism"	"-1.767"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"-1.822"
"Amphetamine addiction"	"-1.844"
"Glycerolipid metabolism"	"-1.896"
"Steroid biosynthesis"	"-1.903"
"beta-Alanine metabolism"	"-1.93"
"Primary bile acid biosynthesis"	"-1.939"
"Insulin secretion"	"-1.98"
"Histidine metabolism"	"-2.003"
"Fatty acid degradation"	"-2.007"
"Hippo signaling pathway"	"-2.036"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"-2.111"
"Porphyrin and chlorophyll metabolism"	"-2.112"
"SNARE interactions in vesicular transport"	"-2.113"
"Pancreatic secretion"	"-2.126"
"Salivary secretion"	"-2.175"
"Mucin type O-glycan biosynthesis"	"-2.177"
"Dilated cardiomyopathy (DCM)"	"-2.229"
"Pentose and glucuronate interconversions"	"-2.3"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-2.348"
"Hypertrophic cardiomyopathy (HCM)"	"-2.431"
"Sphingolipid metabolism"	"-2.456"
"Huntington's disease"	"-2.541"
"Nicotine addiction"	"-2.564"
"Protein export"	"-2.696"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"-2.705"
"Nucleotide excision repair"	"-2.756"
"Retrograde endocannabinoid signaling"	"-2.793"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"-2.814"
"Ascorbate and aldarate metabolism"	"-2.867"
"Vibrio cholerae infection"	"-2.879"
"Synaptic vesicle cycle"	"-3.078"
"Metabolism of xenobiotics by cytochrome P450"	"-3.173"
"Phototransduction"	"-3.237"
"Collecting duct acid secretion"	"-3.272"
"Olfactory transduction"	"-3.302"
"Chemical carcinogenesis"	"-3.333"
"Vascular smooth muscle contraction"	"-3.359"
"Drug metabolism - cytochrome P450"	"-3.361"
"Homologous recombination"	"-3.539"
"Retinol metabolism"	"-3.733"
"Steroid hormone biosynthesis"	"-3.979"
"Starch and sucrose metabolism"	"-4.102"
"Cardiac muscle contraction"	"-4.426"
"Vasopressin-regulated water reabsorption"	"-4.439"
"Thermogenesis"	"-5.052"
"Alcoholism"	"-5.463"
"RNA transport"	"-5.805"
"Oxidative phosphorylation"	"-5.864"
"Basal transcription factors"	"-5.88"
"RNA degradation"	"-6.061"
"mRNA surveillance pathway"	"-6.709"
"Purine metabolism"	"-6.953"
"RNA polymerase"	"-7.003"
"Ribosome"	"-7.215"
"Pyrimidine metabolism"	"-7.352"
"Ribosome biogenesis in eukaryotes"	"-9.52"
"Spliceosome"	"-12.157"
