"Pathway"	"zscore"
"Riboflavin metabolism"	"2.704"
"C-type lectin receptor signaling pathway"	"2.666"
"Acute myeloid leukemia"	"2.547"
"Circadian entrainment"	"2.525"
"Kaposi's sarcoma-associated herpesvirus infection"	"2.484"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"2.448"
"Sphingolipid signaling pathway"	"2.372"
"Type II diabetes mellitus"	"2.313"
"Tuberculosis"	"2.31"
"NF-kappa B signaling pathway"	"2.307"
"TGF-beta signaling pathway"	"2.299"
"HIF-1 signaling pathway"	"2.267"
"Arachidonic acid metabolism"	"2.25"
"Drug metabolism - cytochrome P450"	"2.236"
"Long-term depression"	"2.215"
"Phosphatidylinositol signaling system"	"2.214"
"FoxO signaling pathway"	"2.176"
"Insulin secretion"	"2.14"
"Chemical carcinogenesis"	"2.134"
"Systemic lupus erythematosus"	"2.134"
"Apoptosis - multiple species"	"2.083"
"Autoimmune thyroid disease"	"2.012"
"p53 signaling pathway"	"1.943"
"Glycosaminoglycan degradation"	"1.916"
"Metabolism of xenobiotics by cytochrome P450"	"1.893"
"Carbohydrate digestion and absorption"	"1.868"
"Linoleic acid metabolism"	"1.864"
"Aldosterone-regulated sodium reabsorption"	"1.86"
"Lysosome"	"1.835"
"Taurine and hypotaurine metabolism"	"1.796"
"Ether lipid metabolism"	"1.788"
"Vascular smooth muscle contraction"	"1.785"
"Non-alcoholic fatty liver disease (NAFLD)"	"1.758"
"Hepatitis C"	"1.749"
"Cushing's syndrome"	"1.706"
"Alzheimer's disease"	"1.701"
"Biotin metabolism"	"1.688"
"alpha-Linolenic acid metabolism"	"1.668"
"Asthma"	"1.646"
"Th17 cell differentiation"	"1.646"
"GABAergic synapse"	"1.634"
"Tyrosine metabolism"	"1.634"
"Gastric acid secretion"	"1.63"
"Phagosome"	"1.593"
"Insulin resistance"	"1.59"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"1.578"
"Caffeine metabolism"	"1.546"
"Th1 and Th2 cell differentiation"	"1.521"
"Breast cancer"	"1.489"
"PPAR signaling pathway"	"1.483"
"Oxytocin signaling pathway"	"1.471"
"Ascorbate and aldarate metabolism"	"1.424"
"Measles"	"1.414"
"Histidine metabolism"	"1.272"
"Adipocytokine signaling pathway"	"1.245"
"cGMP-PKG signaling pathway"	"1.242"
"Retrograde endocannabinoid signaling"	"1.198"
"Bile secretion"	"1.09"
"Glutathione metabolism"	"1.071"
"beta-Alanine metabolism"	"1.058"
"Nicotine addiction"	"1.027"
"Sulfur relay system"	"0.951"
"Influenza A"	"0.942"
"Primary bile acid biosynthesis"	"0.928"
"Ovarian steroidogenesis"	"0.87"
"Phenylalanine metabolism"	"0.87"
"Fatty acid degradation"	"0.866"
"Non-homologous end-joining"	"0.857"
"HTLV-I infection"	"0.847"
"Fatty acid elongation"	"0.837"
"Glycerolipid metabolism"	"0.798"
"Renin secretion"	"0.787"
"Longevity regulating pathway"	"0.746"
"Aldosterone synthesis and secretion"	"0.728"
"mTOR signaling pathway"	"0.716"
"Basal cell carcinoma"	"0.711"
"Melanogenesis"	"0.649"
"Retinol metabolism"	"0.641"
"Pantothenate and CoA biosynthesis"	"0.638"
"Vitamin B6 metabolism"	"0.634"
"Valine, leucine and isoleucine degradation"	"0.628"
"Glycerophospholipid metabolism"	"0.623"
"Hippo signaling pathway"	"0.593"
"Thyroid hormone signaling pathway"	"0.56"
"SNARE interactions in vesicular transport"	"0.532"
"Endocytosis"	"0.476"
"AMPK signaling pathway"	"0.345"
"Other glycan degradation"	"0.335"
"Porphyrin and chlorophyll metabolism"	"0.315"
"Autophagy - animal"	"0.289"
"Primary immunodeficiency"	"0.248"
"Glycosphingolipid biosynthesis - ganglio series"	"0.231"
"Selenocompound metabolism"	"0.196"
"Gap junction"	"0.184"
"Salivary secretion"	"0.138"
"Sulfur metabolism"	"0.132"
"Phosphonate and phosphinate metabolism"	"0.127"
"Nitrogen metabolism"	"0.072"
"Thiamine metabolism"	"0.063"
"Pentose and glucuronate interconversions"	"0.046"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-0.002"
"Apoptosis"	"-0.018"
"Legionellosis"	"-0.041"
"Mineral absorption"	"-0.105"
"Lipoic acid metabolism"	"-0.155"
"D-Arginine and D-ornithine metabolism"	"-0.179"
"Peroxisome"	"-0.189"
"Proximal tubule bicarbonate reclamation"	"-0.257"
"Insulin signaling pathway"	"-0.337"
"Folate biosynthesis"	"-0.361"
"Thyroid cancer"	"-0.447"
"Tryptophan metabolism"	"-0.451"
"D-Glutamine and D-glutamate metabolism"	"-0.481"
"Central carbon metabolism in cancer"	"-0.501"
"NOD-like receptor signaling pathway"	"-0.547"
"Amyotrophic lateral sclerosis (ALS)"	"-0.559"
"Biosynthesis of unsaturated fatty acids"	"-0.567"
"Arginine biosynthesis"	"-0.613"
"Tight junction"	"-0.622"
"Steroid hormone biosynthesis"	"-0.626"
"One carbon pool by folate"	"-0.641"
"Endocrine and other factor-regulated calcium reabsorption"	"-0.662"
"Mannose type O-glycan biosynthesis"	"-0.687"
"Propanoate metabolism"	"-0.704"
"Mitophagy - animal"	"-0.831"
"Dopaminergic synapse"	"-0.86"
"Phototransduction"	"-0.96"
"Nicotinate and nicotinamide metabolism"	"-1.008"
"Butanoate metabolism"	"-1.047"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-1.069"
"Base excision repair"	"-1.097"
"Progesterone-mediated oocyte maturation"	"-1.104"
"Synaptic vesicle cycle"	"-1.115"
"Antigen processing and presentation"	"-1.127"
"Transcriptional misregulation in cancer"	"-1.127"
"Long-term potentiation"	"-1.137"
"Vibrio cholerae infection"	"-1.139"
"Other types of O-glycan biosynthesis"	"-1.147"
"Arginine and proline metabolism"	"-1.177"
"Pentose phosphate pathway"	"-1.188"
"Adrenergic signaling in cardiomyocytes"	"-1.193"
"Glycine, serine and threonine metabolism"	"-1.196"
"Sphingolipid metabolism"	"-1.233"
"Collecting duct acid secretion"	"-1.26"
"N-Glycan biosynthesis"	"-1.283"
"Ferroptosis"	"-1.287"
"Glyoxylate and dicarboxylate metabolism"	"-1.385"
"Aminoacyl-tRNA biosynthesis"	"-1.397"
"Pyruvate metabolism"	"-1.449"
"Longevity regulating pathway - multiple species"	"-1.48"
"Steroid biosynthesis"	"-1.522"
"Cysteine and methionine metabolism"	"-1.549"
"RIG-I-like receptor signaling pathway"	"-1.578"
"Glycolysis / Gluconeogenesis"	"-1.598"
"Terpenoid backbone biosynthesis"	"-1.67"
"Amino sugar and nucleotide sugar metabolism"	"-1.726"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"-1.857"
"Viral carcinogenesis"	"-1.875"
"Cardiac muscle contraction"	"-1.884"
"Amphetamine addiction"	"-1.888"
"Protein export"	"-1.91"
"Wnt signaling pathway"	"-1.988"
"Glucagon signaling pathway"	"-2.043"
"Alanine, aspartate and glutamate metabolism"	"-2.069"
"Lysine degradation"	"-2.071"
"Cytosolic DNA-sensing pathway"	"-2.076"
"Pathogenic Escherichia coli infection"	"-2.09"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-2.115"
"Proteasome"	"-2.148"
"Hippo signaling pathway - multiple species"	"-2.168"
"Thermogenesis"	"-2.204"
"Autophagy - other"	"-2.222"
"Galactose metabolism"	"-2.232"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"-2.259"
"Cellular senescence"	"-2.341"
"Fructose and mannose metabolism"	"-2.397"
"Olfactory transduction"	"-2.506"
"Citrate cycle (TCA cycle)"	"-2.521"
"Valine, leucine and isoleucine biosynthesis"	"-2.597"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"-2.651"
"Mucin type O-glycan biosynthesis"	"-2.72"
"Fatty acid biosynthesis"	"-2.755"
"Herpes simplex infection"	"-2.793"
"Synthesis and degradation of ketone bodies"	"-2.895"
"Necroptosis"	"-2.899"
"Notch signaling pathway"	"-2.927"
"Oxidative phosphorylation"	"-2.948"
"Starch and sucrose metabolism"	"-2.991"
"Vasopressin-regulated water reabsorption"	"-3.003"
"Hedgehog signaling pathway"	"-3.412"
"Mismatch repair"	"-3.969"
"Protein processing in endoplasmic reticulum"	"-4.139"
"Homologous recombination"	"-4.194"
"Cell cycle"	"-4.344"
"Fanconi anemia pathway"	"-4.442"
"Alcoholism"	"-4.444"
"Parkinson's disease"	"-4.483"
"Purine metabolism"	"-4.494"
"Epstein-Barr virus infection"	"-4.645"
"RNA degradation"	"-5.078"
"DNA replication"	"-5.111"
"Oocyte meiosis"	"-5.195"
"Circadian rhythm"	"-5.318"
"Pyrimidine metabolism"	"-5.394"
"Huntington's disease"	"-5.867"
"RNA polymerase"	"-6.046"
"Ubiquitin mediated proteolysis"	"-6.091"
"Nucleotide excision repair"	"-6.712"
"Basal transcription factors"	"-6.758"
"Ribosome"	"-7.383"
"Ribosome biogenesis in eukaryotes"	"-7.657"
"mRNA surveillance pathway"	"-8.514"
"RNA transport"	"-9.502"
"Spliceosome"	"-9.899"
