"Pathway"	"zscore"
"Protein digestion and absorption"	"0.213"
"Thyroid hormone synthesis"	"0.145"
"Type I diabetes mellitus"	"0.124"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"0.091"
"Influenza A"	"0.076"
"Thermogenesis"	"0.068"
"African trypanosomiasis"	"0.01"
"Aldosterone synthesis and secretion"	"0.009"
"Synaptic vesicle cycle"	"-0.023"
"D-Arginine and D-ornithine metabolism"	"-0.071"
"Salivary secretion"	"-0.071"
"Autoimmune thyroid disease"	"-0.075"
"Base excision repair"	"-0.079"
"Nitrogen metabolism"	"-0.12"
"Pantothenate and CoA biosynthesis"	"-0.183"
"Linoleic acid metabolism"	"-0.216"
"Renin secretion"	"-0.24"
"Epstein-Barr virus infection"	"-0.247"
"Bile secretion"	"-0.248"
"AMPK signaling pathway"	"-0.28"
"Cardiac muscle contraction"	"-0.292"
"Glucagon signaling pathway"	"-0.339"
"Alcoholism"	"-0.376"
"Biotin metabolism"	"-0.376"
"Homologous recombination"	"-0.415"
"Ferroptosis"	"-0.453"
"Lipoic acid metabolism"	"-0.49"
"Caffeine metabolism"	"-0.495"
"Primary immunodeficiency"	"-0.546"
"Renin-angiotensin system"	"-0.552"
"Longevity regulating pathway - multiple species"	"-0.572"
"Taurine and hypotaurine metabolism"	"-0.586"
"Regulation of lipolysis in adipocytes"	"-0.599"
"Carbohydrate digestion and absorption"	"-0.606"
"D-Glutamine and D-glutamate metabolism"	"-0.613"
"Ovarian steroidogenesis"	"-0.648"
"Primary bile acid biosynthesis"	"-0.721"
"Lysine degradation"	"-0.726"
"Vitamin B6 metabolism"	"-0.73"
"Glycosaminoglycan degradation"	"-0.742"
"Tyrosine metabolism"	"-0.752"
"Olfactory transduction"	"-0.781"
"Chemical carcinogenesis"	"-0.782"
"Porphyrin and chlorophyll metabolism"	"-0.846"
"Other glycan degradation"	"-0.86"
"Synthesis and degradation of ketone bodies"	"-0.869"
"Histidine metabolism"	"-0.934"
"Insulin secretion"	"-1"
"Retinol metabolism"	"-1.005"
"Phosphonate and phosphinate metabolism"	"-1.023"
"Ascorbate and aldarate metabolism"	"-1.033"
"Proximal tubule bicarbonate reclamation"	"-1.035"
"Sulfur relay system"	"-1.037"
"PPAR signaling pathway"	"-1.075"
"Staphylococcus aureus infection"	"-1.08"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-1.081"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"-1.089"
"Basal transcription factors"	"-1.106"
"Phenylalanine metabolism"	"-1.113"
"Terpenoid backbone biosynthesis"	"-1.116"
"Arachidonic acid metabolism"	"-1.141"
"Fatty acid elongation"	"-1.155"
"Butanoate metabolism"	"-1.226"
"Biosynthesis of unsaturated fatty acids"	"-1.238"
"Thiamine metabolism"	"-1.264"
"Non-homologous end-joining"	"-1.272"
"Drug metabolism - cytochrome P450"	"-1.274"
"Morphine addiction"	"-1.324"
"Arginine biosynthesis"	"-1.33"
"Vibrio cholerae infection"	"-1.338"
"Arginine and proline metabolism"	"-1.339"
"beta-Alanine metabolism"	"-1.341"
"Mismatch repair"	"-1.354"
"GABAergic synapse"	"-1.366"
"Cytosolic DNA-sensing pathway"	"-1.396"
"One carbon pool by folate"	"-1.509"
"Fatty acid degradation"	"-1.521"
"Autophagy - other"	"-1.523"
"Valine, leucine and isoleucine biosynthesis"	"-1.616"
"Metabolism of xenobiotics by cytochrome P450"	"-1.619"
"Galactose metabolism"	"-1.677"
"Peroxisome"	"-1.681"
"Fatty acid biosynthesis"	"-1.927"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-1.956"
"Valine, leucine and isoleucine degradation"	"-2.014"
"Fructose and mannose metabolism"	"-2.018"
"Tryptophan metabolism"	"-2.018"
"Necroptosis"	"-2.056"
"Phagosome"	"-2.254"
"Aminoacyl-tRNA biosynthesis"	"-2.257"
"DNA replication"	"-2.257"
"Collecting duct acid secretion"	"-2.295"
"Protein export"	"-2.414"
"SNARE interactions in vesicular transport"	"-2.418"
"Alanine, aspartate and glutamate metabolism"	"-2.423"
"Propanoate metabolism"	"-2.446"
"Drug metabolism - other enzymes"	"-2.509"
"Steroid hormone biosynthesis"	"-2.511"
"Glutathione metabolism"	"-2.545"
"Vasopressin-regulated water reabsorption"	"-2.554"
"Parkinson's disease"	"-2.652"
"Starch and sucrose metabolism"	"-2.808"
"Nucleotide excision repair"	"-2.889"
"Calcium signaling pathway"	"-2.926"
"Protein processing in endoplasmic reticulum"	"-2.975"
"Glycine, serine and threonine metabolism"	"-3.059"
"Glyoxylate and dicarboxylate metabolism"	"-3.213"
"Pentose phosphate pathway"	"-3.302"
"Pyruvate metabolism"	"-3.308"
"mRNA surveillance pathway"	"-3.69"
"Cysteine and methionine metabolism"	"-3.727"
"Legionellosis"	"-3.737"
"Amino sugar and nucleotide sugar metabolism"	"-3.778"
"Citrate cycle (TCA cycle)"	"-3.883"
"Taste transduction"	"-3.95"
"Ribosome"	"-3.981"
"Glycolysis / Gluconeogenesis"	"-3.991"
"RNA polymerase"	"-3.994"
"Antigen processing and presentation"	"-4.007"
"Proteasome"	"-4.043"
"RNA transport"	"-4.08"
"Oxidative phosphorylation"	"-4.186"
"RNA degradation"	"-4.406"
"Purine metabolism"	"-4.638"
"Systemic lupus erythematosus"	"-4.812"
"Pyrimidine metabolism"	"-4.943"
"Ribosome biogenesis in eukaryotes"	"-5.391"
"Neuroactive ligand-receptor interaction"	"-6.742"
"Spliceosome"	"-8.232"
