gene,BF_hpaf,BF_patu,BF_aspc,BF_dld,BF_gbm,BF_hct,BF_hela,BF_rpe,panc.mean,nonpanc.mean,zPanc_vs_other
PMM2,2.76,2.76,0.09,-0.56,-1.06,-0.45,1.87,-0.09,1.87,-0.06,3.9
ATP1A1,3.58,4.33,2.37,4.23,-0.88,-0.3,1.17,2.31,3.42,1.3,3.88
ARHGEF39,0.03,0.16,3.26,0.08,-0.86,-0.85,-0.53,-1.2,1.15,-0.67,3.87
SMARCD1,1.61,2.79,2.59,0.74,0.75,0.29,0.48,-0.51,2.33,0.35,3.87
DPH1,3.39,3.96,4.68,4.35,1.68,1.31,0.48,1.38,4.01,1.84,3.82
WRAP53,3.59,3.03,3.81,1.79,1.43,0.54,0.46,2.68,3.48,1.38,3.81
ATP6V0A1,1.9,2.62,2.07,0.27,0.11,0.2,0.37,0.42,2.2,0.27,3.8
DAZAP1,4.33,2.02,0.44,0.38,1.4,-0.27,-1.2,1.51,2.27,0.36,3.72
WDR48,2.57,1.42,2.17,-0.36,0.34,-0.02,-0.16,1.12,2.05,0.18,3.71
AKT1,0.11,4.46,0.34,-0.19,-0.45,0.45,-0.53,-0.13,1.64,-0.17,3.69
MARK2,2.86,2.66,1.57,-0.27,2.93,-1.04,0.34,0.38,2.36,0.47,3.68
MED25,2.36,2.19,1.74,0.09,2.11,-0.13,-0.62,-0.27,2.09,0.24,3.67
MTFMT,4.6,2.35,2.33,0.1,1.2,2.06,1.51,0.68,3.1,1.11,3.67
SDHAF1,1.87,0.36,3.28,-0.11,-0.02,-0.02,0.34,-0.12,1.84,0.01,3.67
GALE,2.12,-0.45,2.43,-0.33,-0.41,0.09,-0.39,-0.88,1.37,-0.39,3.65
ALAD,1.93,-0.19,0.96,-0.7,-0.92,-0.88,-0.75,-0.65,0.9,-0.78,3.63
PDHA1,1.45,2.98,-1.93,-1.09,-0.02,-1.07,-0.82,-1.22,0.83,-0.85,3.63
CAB39,2.15,1.02,3.61,0.07,2.85,-0.36,-0.12,-0.43,2.26,0.4,3.62
FLAD1,2.36,2.07,1.39,1.16,-0.33,0.56,-0.13,-0.6,1.94,0.13,3.6
MOGS,2.13,2.15,0.55,-0.22,0.06,-0.7,0.37,-0.28,1.61,-0.15,3.6
CTNNB1,2.99,3.45,0.17,0.42,-0.56,2.44,-0.07,-0.32,2.2,0.38,3.56
PCBD1,2.28,-0.2,2.04,-0.87,0,0.08,-0.48,-0.46,1.37,-0.34,3.56
PGM3,3.47,1.93,5.08,2.22,-0.28,2.47,2.11,1.09,3.49,1.52,3.52
ZNF324B,0.46,0.87,2.63,-0.12,-0.17,-0.37,-0.28,-0.91,1.32,-0.37,3.51
PRR12,-0.15,3.26,0.42,-0.13,0.03,-0.29,-1.02,-1.02,1.18,-0.49,3.5
AP2M1,1.34,2.51,1.35,1.8,-0.66,0.82,-1,-0.96,1.73,0,3.49
PTCH2,0.74,1.16,1.6,-0.51,-0.58,-0.62,-0.52,-0.22,1.17,-0.49,3.49
ZAN,0.39,0.42,3.06,-0.52,-0.54,-0.28,-0.44,-0.15,1.29,-0.39,3.49
GRHL2,3.4,0.55,-0.15,-0.76,0.1,-0.2,-0.81,-0.31,1.27,-0.39,3.46
PIPOX,1.16,3.34,1.16,0.13,-0.25,-0.02,0.41,0.46,1.89,0.15,3.46
AP2S1,2.28,3.35,2.19,3.01,0.55,0.22,-0.58,0.71,2.61,0.78,3.44
HSPA13,-0.5,3.08,1.81,-0.42,0.11,-0.57,0.37,-0.54,1.47,-0.21,3.44
UXS1,3.01,1.46,2.82,2.64,-0.12,-0.9,1.27,0.25,2.43,0.63,3.44
RIF1,2.36,3.34,0.57,0.93,0.4,-0.05,-0.62,1.03,2.09,0.34,3.43
C21orf2,2.53,2.64,-0.01,-0.43,0.16,-0.22,0.27,0.31,1.72,0.02,3.42
PAX7,0.05,2.08,1.88,0.12,-0.48,-1.05,0.73,-0.89,1.34,-0.31,3.42
PITRM1,3.81,-0.92,2.56,1.94,0.19,-0.52,-0.18,-0.92,1.81,0.1,3.42
COQ5,3.79,3.93,1.28,2.2,2.45,1.36,-0.07,-0.24,3,1.14,3.41
FH,2.71,3.86,1.82,1.45,0.26,2.61,0.98,-0.48,2.8,0.96,3.41
TFB1M,4.36,2.97,2.52,2.26,2.47,2.01,0.21,-0.01,3.28,1.39,3.41
DHX29,1.57,1.5,1.57,1.61,-1.37,0.4,-1.16,-0.09,1.55,-0.12,3.4
FOXO1,1.06,-0.52,2.8,-0.57,-0.51,0.9,-1.16,-1.16,1.12,-0.5,3.4
MTR,-0.35,2.43,1.04,-0.66,-0.69,-0.19,-0.81,-0.38,1.04,-0.55,3.36
NPC1,1.37,2.74,1.04,-0.32,-0.29,-0.88,1.19,0.61,1.72,0.06,3.32
AHR,-0.85,2.56,2.24,0.52,0.84,-0.67,-0.55,-1.56,1.32,-0.29,3.31
TMED9,0.21,0.5,2.58,0.62,-1.11,-0.95,-0.81,-0.13,1.1,-0.48,3.31
PPP2R4,3.17,3.81,3.94,1.55,3.66,1.79,0.72,1.02,3.64,1.75,3.29
TCF7L2,3.69,2.42,2.89,3.22,-1.17,3.07,0.04,0.78,3,1.19,3.29
ABHD15,0.45,1.19,1.67,-0.56,-0.61,-1.1,0.66,-0.67,1.1,-0.46,3.27
SLC33A1,1.04,2.92,2,1.42,-0.19,0.22,0.48,-0.33,1.99,0.32,3.26
UFSP2,2.81,1.31,1.47,0.03,2.41,-0.09,-0.37,-0.9,1.87,0.22,3.25
CABIN1,1.83,1.72,1.92,1.67,-0.15,-0.58,-0.79,0.8,1.82,0.19,3.23
ALG9,1.65,0.49,1.93,-0.64,0,-0.03,0.46,-0.84,1.36,-0.21,3.22
PPCDC,2.59,1.39,0.53,0.65,0.12,-0.04,-0.48,-0.64,1.5,-0.08,3.2
SSR1,0.99,-0.49,3.38,-0.21,-0.93,-0.93,0.02,0.78,1.29,-0.26,3.2
GOLGA7,0.58,2.74,-0.17,-0.19,-0.65,-0.62,-0.73,-0.11,1.05,-0.46,3.19
MVD,1.78,2.49,1.79,1.33,-0.7,0.47,1.02,-0.19,2.02,0.39,3.17
KLK3,1.23,0.55,1.14,0.14,-0.61,-0.66,-1,-0.42,0.97,-0.51,3.14
DPH2,3.55,4.05,3.39,5.07,2.86,0.86,0.8,-0.31,3.66,1.86,3.09
EDC3,1.03,0.34,1.84,-0.37,0.19,-0.33,-1.11,-0.41,1.07,-0.41,3.09
PFAS,4.41,5.35,3.66,5.23,-0.55,4.17,3.25,0.71,4.47,2.56,3.09
THAP4,-0.41,1.08,0.67,-0.62,-0.91,-0.68,-1.24,-1.27,0.44,-0.94,3.07
LAMA3,-0.78,2.68,0.85,-0.5,-0.53,-0.91,-0.05,-0.64,0.91,-0.53,3.06
VAC14,1.51,3.18,-1.15,-0.06,-0.75,0.34,-0.66,-0.34,1.18,-0.3,3.06
ACO2,4.54,4.61,2.67,4.32,1.31,3.34,1.1,0.49,3.94,2.11,3.05
SLTM,1.1,0.15,0.31,-0.99,-1,-0.52,-0.99,-0.8,0.52,-0.86,3.04
GFM2,4.06,2.84,1.35,2.51,1.72,2.11,-0.42,-0.46,2.75,1.09,3.02
LRP5,1.52,0.05,0.24,-0.44,-1.11,-0.73,-0.76,-0.85,0.61,-0.78,3.01
MTRR,-1.01,3.21,1.38,-0.4,-0.51,0.2,0.37,-0.96,1.2,-0.26,3.01
TENM3,0.15,0.95,1.16,-0.62,-0.66,-0.66,-0.67,-0.62,0.75,-0.65,3.01
TMEM132D,-0.25,-0.09,2.55,-0.29,-0.81,-0.63,-0.77,-0.79,0.74,-0.66,3.01
CSDE1,1.54,3.18,0.76,-0.94,-0.61,2.35,-1.29,1.97,1.83,0.3,3
LRP6,0.3,2.54,0.88,-0.08,0.1,-0.59,-1.73,1.22,1.24,-0.22,3
MBTPS2,2.61,4.37,1.46,3.24,2.14,0.24,0.28,-0.11,2.81,1.16,2.99
RANBP17,0.39,-0.12,1.79,-0.8,-0.75,-0.04,-1.43,-0.39,0.69,-0.68,2.96
SREK1,2.7,1.66,2.34,0.22,0.05,0.09,0.95,2.06,2.24,0.67,2.95
KDM6A,1.66,0.65,-0.74,-0.97,-1.14,0.1,-0.6,-1.46,0.52,-0.82,2.94
SP2,0.03,2.94,1.61,1.2,-0.41,-0.41,-0.24,0.17,1.53,0.06,2.94
KLF6,1.85,-0.4,0.48,-1.05,-0.42,0.82,-1.57,-1.24,0.64,-0.69,2.9
RBBP7,1.56,2.07,-0.59,-0.23,-0.7,-0.25,-0.72,0.05,1.01,-0.37,2.9
SPSB4,0.52,0.83,1.08,-0.37,-0.42,-0.93,-0.15,-0.87,0.81,-0.55,2.9
NDE1,2.31,1.57,1.38,-0.68,0.24,0.66,1.22,-0.04,1.75,0.28,2.89
PTDSS1,1.35,1.33,1.58,-0.56,-0.45,-0.34,0.52,0.78,1.42,-0.01,2.89
PRTN3,0.18,0.7,1.54,-0.43,-0.63,0.18,-1.54,-0.29,0.81,-0.54,2.88
FAM221B,-0.34,0.11,1.62,-0.2,-0.97,-0.99,-0.86,-1.18,0.46,-0.84,2.87
RICTOR,0.77,3.18,2.76,0.66,-0.77,-0.62,2.25,2.03,2.23,0.71,2.86
CHAF1A,3.43,4.79,1.9,3.25,1.41,1.41,0.39,2.07,3.37,1.71,2.85
EFR3A,2.89,-0.24,1.18,-0.5,-0.06,0.82,0.23,-1.08,1.28,-0.12,2.85
UTF1,1.19,1.03,0.92,-0.64,-0.15,-0.72,-0.4,0.3,1.04,-0.32,2.85
XPO7,1.3,-0.61,0.25,-0.47,-1.37,-1.18,-0.32,-1.45,0.31,-0.96,2.84
PIAS1,0.73,2.42,0.68,1.41,-0.97,0.14,-0.03,-1.08,1.28,-0.1,2.81
SPTLC2,3.23,2.23,1.55,-0.53,1.72,0.11,0.31,2.49,2.33,0.82,2.81
DOCK5,2.41,-0.61,1.76,-0.65,0.06,0.41,-0.72,0.03,1.19,-0.17,2.79
FDFT1,1.41,3.44,-1.39,-0.05,2.24,-0.76,-0.92,-1.52,1.15,-0.2,2.79
GART,3.63,4.3,5.47,3.96,-0.22,4.75,4.89,0.05,4.47,2.69,2.79
STARD7,2.85,1.32,0.62,1.05,1.13,-1.09,0.23,-0.39,1.6,0.19,2.78
CLPP,0.75,1.04,1.58,0.65,-0.04,0.44,-1.33,-0.81,1.12,-0.22,2.77
CMIP,-0.4,2.83,-0.52,-0.64,-0.96,-0.34,-1.23,-0.05,0.64,-0.64,2.77
DPF2,1.2,2.01,0.37,-0.7,0.69,0.03,-0.01,-0.81,1.19,-0.16,2.77
PPP6R3,1.97,2.01,-0.13,0.66,-0.35,-0.92,1.55,-1.33,1.29,-0.08,2.77
ELMSAN1,1.73,1.81,-0.18,-0.39,0.07,0.47,-0.24,-1,1.12,-0.22,2.76
CHKA,2.35,-0.49,0.86,-0.86,0.36,-0.39,0.01,-1.12,0.91,-0.4,2.75
NCSTN,1.68,2.71,-0.36,-0.22,-0.65,-0.45,0.3,0.94,1.35,-0.02,2.75
TECPR1,-0.16,-0.52,2.55,0.26,-0.78,-0.85,-1.13,-0.73,0.62,-0.64,2.74
ACTN2,-0.08,0.55,1.05,-0.94,-0.5,-1.1,-0.36,-0.78,0.5,-0.74,2.72
PARS2,2.52,2.56,1.64,1.75,0.23,1.88,0.71,-0.69,2.24,0.78,2.72
TMEM210,0.64,0.04,0.5,-0.3,-0.92,-0.72,-1.15,-1.07,0.39,-0.83,2.72
FAM83D,0.31,1.73,4.2,0.2,1.03,0.11,2.04,-0.16,2.08,0.64,2.7
ITGB3,-0.33,2.62,0.07,-0.19,-0.22,-0.35,-0.96,-0.67,0.79,-0.48,2.69
C1orf27,3.48,2.25,1.72,0.61,2.64,0.25,0.64,0.9,2.48,1.01,2.67
NLRP11,0.88,1.22,0.12,-0.96,-0.26,-0.39,-0.15,-0.79,0.74,-0.51,2.67
SDHB,3,3.56,1.56,2.88,-0.7,3.25,-0.16,0.75,2.71,1.2,2.67
UFL1,2.27,1.21,2.97,-0.63,2.63,-0.39,1.49,0.49,2.15,0.72,2.67
DOLPP1,0.9,2.44,3.29,-0.97,1.79,0.94,1.81,0.29,2.21,0.77,2.66
MYO9B,0.22,3.17,-1.32,-0.33,0.85,-1.42,-1.43,-0.35,0.69,-0.54,2.63
FGFRL1,-0.19,2.25,-0.84,-0.81,-0.55,-1.03,-0.35,-1.18,0.4,-0.78,2.62
ASB4,0.43,-0.38,1.24,-0.51,-0.17,-0.92,-1.2,-0.97,0.43,-0.75,2.61
HTR3D,-0.02,-0.23,1.46,-0.36,-0.75,-0.77,-1.05,-0.96,0.4,-0.78,2.61
PYGO2,0.62,-0.26,1.11,-0.59,-0.59,-0.67,-1.05,-0.57,0.49,-0.69,2.6
SAMD4B,2.03,3.71,0.98,1.13,0.16,1.16,0.85,0.83,2.24,0.83,2.6
STAMBP,0.78,-0.13,0.9,-0.53,-0.91,-0.63,-0.56,-0.72,0.52,-0.67,2.6
VPS8,1.41,0.21,0.3,-0.68,-0.22,-1.08,-0.42,-0.44,0.64,-0.57,2.6
FBXO42,3.15,-0.25,0.15,-0.48,-1.32,1.69,0.37,-1.46,1.01,-0.24,2.59
SLC20A1,0.2,0.42,1.75,-0.07,-0.56,-0.5,-0.47,-0.58,0.79,-0.43,2.59
SEZ6,0.38,1.77,-0.25,0.13,-0.62,-0.46,-0.83,-1.04,0.63,-0.56,2.58
TIPRL,2.96,2.69,2.03,1.15,2.5,-0.3,1.25,0.98,2.56,1.12,2.58
ATP6V1B2,3.48,2.93,2.09,2.78,0.91,1.16,1.3,0.63,2.83,1.36,2.57
DPM2,3.48,1.76,0.53,0,1.34,0.64,0.94,-0.1,1.92,0.56,2.57
RTTN,2.19,3.01,4.35,0.91,1.31,1.06,2.98,2.06,3.19,1.66,2.57
PRKCG,0.81,0.78,1.36,-0.33,0.5,-0.87,-0.13,-0.42,0.98,-0.25,2.56
CELF1,2.3,0.05,1.15,-0.43,-0.22,-0.05,0.5,-0.22,1.17,-0.08,2.55
FERMT1,2.16,-0.55,1.38,1.84,-1.2,-0.4,-0.56,-0.87,0.99,-0.24,2.55
SLC7A5,-0.16,-0.66,1.31,-0.6,-0.83,-1.29,-0.58,-1.49,0.16,-0.96,2.55
CARM1,1.36,1.94,1.25,0.17,0.88,0.09,0.27,-0.26,1.52,0.23,2.53
MIOS,2.55,2.2,2.48,2.22,0.35,1.45,-0.45,1.45,2.41,1.01,2.53
NCOA6,0.89,1.14,0.77,-0.45,-0.39,-0.27,0.54,-0.84,0.93,-0.28,2.53
VPS4A,0.96,-0.28,3.49,0.01,0.41,-0.4,0.25,0.3,1.39,0.12,2.53
AGR2,1.91,2.33,-0.45,-0.24,0.12,-0.02,0.08,0.12,1.26,0.01,2.52
CPA4,0.81,0.48,0.76,-0.53,-0.74,-0.57,-0.14,-0.48,0.68,-0.49,2.52
DDX17,0.45,2.99,1.7,0.03,-1.05,0.57,0.92,1.56,1.71,0.41,2.51
DLST,3.84,2.94,4.74,4.43,0.09,4.07,1.79,0.93,3.84,2.27,2.5
MBTPS1,2.32,3,1.29,2.51,1.74,0.16,-0.91,0.68,2.2,0.84,2.5
CHD8,0.66,2.21,0.22,-0.12,-0.52,0.07,-0.44,0.1,1.03,-0.18,2.49
GCLC,0.56,-0.39,1.8,-0.57,-0.69,-0.81,-0.24,-0.2,0.66,-0.5,2.49
GNB1L,1.95,2.66,1.28,2.2,0.48,-0.22,0.43,0.3,1.96,0.64,2.48
STAG2,1.12,2.7,0.52,0.82,-1.1,0.09,1.81,-0.66,1.45,0.19,2.48
TAZ,2.73,3.98,0.78,3.51,0.43,0.48,1.1,0.02,2.5,1.11,2.47
ALAS1,2.21,0.06,2.08,-0.49,0.16,0.16,1.59,-0.42,1.45,0.2,2.46
ARHGDIA,1.13,-0.44,1.13,-0.69,-0.46,-0.37,-0.2,-0.96,0.61,-0.54,2.46
MYO19,0.77,1,-0.81,-0.79,-0.98,-0.36,-1.14,-0.62,0.32,-0.78,2.45
DDC,0.81,0.41,1.38,-0.52,-0.88,-0.12,0.49,-0.47,0.87,-0.3,2.44
NUCB1,-0.69,0.93,1.28,-0.56,-0.85,-0.73,-0.8,-0.14,0.51,-0.61,2.44
HYI,0.1,-0.87,1.21,-0.53,-1.1,-1.27,-1.56,-0.14,0.14,-0.92,2.42
CTPS1,3.79,3.62,3.58,1.84,0.51,5.22,2.72,0.45,3.66,2.15,2.41
ANKRD29,-0.58,1.45,0.91,-0.11,-0.42,-0.27,-0.78,-1.02,0.6,-0.52,2.4
LIPT2,2.48,0.58,1.59,-0.13,-0.21,1.71,0.27,-0.07,1.55,0.31,2.4
MPRIP,1.97,0.35,-0.76,-0.36,-0.76,-0.98,-0.27,-0.53,0.52,-0.58,2.4
PHF12,2.64,4.02,1.07,0.42,3.26,0.5,0.73,1.15,2.58,1.21,2.39
UFC1,2.61,1.44,-0.62,-0.94,1.92,-0.54,0.03,-0.64,1.14,-0.03,2.38
YBEY,3.19,1.19,2.01,0.81,0.96,2.4,-0.3,0.25,2.13,0.82,2.38
KBTBD2,0.32,3.65,1.19,0.7,0.71,0.49,0.29,0.2,1.72,0.48,2.37
KDELR1,-0.56,0.36,0,-0.8,-0.82,-0.96,-1.63,-1.2,-0.07,-1.08,2.37
MEIS3,0.87,1.47,1.74,0.61,0.32,0.67,-0.78,-0.03,1.36,0.16,2.37
C17orf102,1.18,0.42,-0.7,-0.68,-0.59,-0.6,-1.52,-0.4,0.3,-0.76,2.36
CORO6,0.21,1.15,0.47,-0.55,-0.72,-0.53,-0.22,-0.43,0.61,-0.49,2.36
HSD17B12,2.11,2.09,1.81,-0.52,2.99,-0.27,1.19,0.23,2,0.72,2.36
UBA5,1.78,1.71,1.74,-0.35,1.43,0.58,0.76,0.08,1.74,0.5,2.36
DGKD,0.28,0.98,0.67,-0.39,0.81,-0.85,-1.14,-0.69,0.64,-0.45,2.35
EXOC7,2.57,2.28,1.46,1.27,0.86,-0.04,0.17,1.81,2.1,0.81,2.35
MRPL27,1.15,2.25,2.05,1.39,1.06,1.38,-0.43,-0.57,1.82,0.57,2.35
DTX1,0.16,-0.17,1.23,0.02,-0.66,-1.43,-1.11,-0.11,0.41,-0.66,2.34
LHFPL4,1.34,0.31,0.03,-1.06,-0.95,0.6,-1.02,-0.21,0.56,-0.53,2.34
ACTL10,0.3,0.74,1.97,-0.13,0.68,0.34,-0.72,-0.82,1,-0.13,2.33
APH1A,-0.46,0.97,0.12,-0.33,-0.85,-0.8,-0.7,-1.43,0.21,-0.82,2.33
DNAJB11,0.15,2.18,-0.93,-1.09,-0.15,-0.62,-0.06,-1.08,0.47,-0.6,2.33
LMLN,0.95,-0.45,0.92,-0.63,-1.12,0.12,-0.96,-0.4,0.47,-0.6,2.33
NLRP12,0.38,1.13,0.01,-0.71,-0.57,0.33,-1.28,-0.6,0.51,-0.57,2.33
RNF130,0.35,0.65,-0.26,-0.81,-0.92,-0.4,-0.68,-1.16,0.25,-0.8,2.33
GALNT11,-0.18,0.16,0.98,-0.61,-0.73,-0.82,-0.71,-0.75,0.32,-0.72,2.32
ANGEL2,0.09,0.4,2.72,-0.1,-0.33,1.14,-0.22,-0.82,1.07,-0.07,2.31
GREB1L,-0.53,-0.49,2.06,-0.92,-0.95,-0.57,0.25,-1.32,0.34,-0.7,2.31
KBTBD11,-0.36,-0.3,1.56,-0.55,-0.64,-0.34,-1.55,-0.6,0.3,-0.74,2.31
RASL10B,-0.09,0.92,-0.16,-0.81,-0.94,-0.94,-0.58,-0.77,0.22,-0.81,2.31
IREB2,1.53,1.87,1.22,2.29,-0.93,0.5,0.33,-0.46,1.54,0.35,2.3
EIF4E2,0.3,-0.29,1.01,-0.35,-0.92,-0.98,-0.09,-1.14,0.34,-0.7,2.29
GANAB,2.38,0.71,0.87,0.57,0.2,-0.07,0.07,0.02,1.32,0.16,2.29
SIGLEC15,-0.64,-0.63,1.11,-0.97,-1.13,-1,-1.09,-1,-0.05,-1.04,2.29
TYMS,1.97,1.92,2.48,-0.59,0.29,2.45,2.41,-0.28,2.12,0.86,2.29
IRS1,1.18,0.81,1.72,0.22,0.76,-0.34,-0.33,0.14,1.23,0.09,2.28
LIAS,3.31,2.8,4.59,0.79,3.89,3.32,0.87,1.74,3.57,2.12,2.28
METTL3,2.38,3.65,3.64,2.93,1.41,2.57,2.01,0.21,3.23,1.83,2.28
ORMDL3,1,0.65,0.96,0.27,-0.18,0.04,-0.46,-0.8,0.87,-0.23,2.28
TFAP4,-0.69,1.84,1.27,-0.85,0.22,0.25,-0.85,-0.2,0.81,-0.29,2.28
ZNRF3,-1.64,2.92,-0.86,-0.66,-0.97,0.22,-1.88,-1.05,0.14,-0.87,2.28
PIK3C2A,0.28,0.7,-0.45,-0.86,-0.35,-1.1,-1.06,-0.74,0.18,-0.82,2.27
UROD,2.85,0.9,2.48,2.46,2.08,1.15,-1.06,-0.48,2.08,0.83,2.27
PTCD1,1.66,2.67,0.11,0.98,0.36,0.08,-0.11,0.24,1.48,0.31,2.26
RNF146,-0.54,0.03,1.66,-0.67,-0.32,-0.88,-0.32,-1.02,0.38,-0.64,2.26
SLC34A1,1.15,0.95,0.38,-0.31,-0.38,-0.36,-0.33,0.08,0.83,-0.26,2.26
TRPM4,-0.72,1.59,1.58,-0.7,-1.14,1.49,-0.8,-0.17,0.82,-0.26,2.26
ITPKA,0.88,0.39,1.58,-0.66,0.35,-0.47,-0.03,0.09,0.95,-0.15,2.25
ARPC1A,0.67,0.46,3.78,0.54,0.75,0.32,0.58,0.07,1.63,0.45,2.24
HLCS,1.75,2.93,1.53,0.01,1.01,1.48,1.54,0.14,2.07,0.83,2.24
NFRKB,1.78,0.5,0.68,-0.58,0.07,-0.64,1.11,-0.49,0.99,-0.11,2.24
PUS1,0.75,0.63,1.09,0.61,0.6,-0.54,-1.18,-0.75,0.82,-0.25,2.24
SEPT12,0.21,0.11,0.33,-0.12,-0.97,-0.81,-1.47,-0.51,0.22,-0.78,2.24
SLC9A2,0.41,0.26,0.51,-0.86,-1.02,-0.72,0.63,-1.16,0.39,-0.63,2.24
WDR1,3.08,1.81,0.89,-0.07,-0.15,2.26,-0.55,2.05,1.93,0.71,2.24
ETV6,0.41,-0.33,3.19,-1.01,0.75,0.41,-0.12,-0.09,1.09,-0.01,2.23
