"Pathway"	"zscore"
"Endocrine and other factor-regulated calcium reabsorption"	"1.569"
"Inositol phosphate metabolism"	"1.554"
"Apoptosis - multiple species"	"1.55"
"Proteoglycans in cancer"	"1.486"
"Hepatitis C"	"1.477"
"Folate biosynthesis"	"1.467"
"Pyrimidine metabolism"	"1.459"
"Alanine, aspartate and glutamate metabolism"	"1.433"
"Basal transcription factors"	"1.419"
"T cell receptor signaling pathway"	"1.408"
"Cholesterol metabolism"	"1.384"
"Neurotrophin signaling pathway"	"1.318"
"Long-term depression"	"1.29"
"Phenylalanine metabolism"	"1.281"
"PI3K-Akt signaling pathway"	"1.227"
"RIG-I-like receptor signaling pathway"	"1.216"
"cGMP-PKG signaling pathway"	"1.207"
"Insulin secretion"	"1.188"
"Sphingolipid signaling pathway"	"1.184"
"Gastric acid secretion"	"1.164"
"Inflammatory bowel disease (IBD)"	"1.142"
"Glycerolipid metabolism"	"1.131"
"Relaxin signaling pathway"	"1.118"
"ErbB signaling pathway"	"1.063"
"Renin secretion"	"1.043"
"Proximal tubule bicarbonate reclamation"	"1.014"
"HIF-1 signaling pathway"	"0.994"
"Cortisol synthesis and secretion"	"0.988"
"Th1 and Th2 cell differentiation"	"0.971"
"Maturity onset diabetes of the young"	"0.963"
"Synthesis and degradation of ketone bodies"	"0.955"
"NF-kappa B signaling pathway"	"0.936"
"Terpenoid backbone biosynthesis"	"0.92"
"Herpes simplex infection"	"0.896"
"Bacterial invasion of epithelial cells"	"0.876"
"Aminoacyl-tRNA biosynthesis"	"0.867"
"Primary immunodeficiency"	"0.854"
"Thiamine metabolism"	"0.823"
"Drug metabolism - cytochrome P450"	"0.802"
"Glycosaminoglycan degradation"	"0.795"
"Purine metabolism"	"0.78"
"Metabolism of xenobiotics by cytochrome P450"	"0.778"
"Renal cell carcinoma"	"0.774"
"Circadian entrainment"	"0.76"
"Pantothenate and CoA biosynthesis"	"0.712"
"Osteoclast differentiation"	"0.68"
"Cholinergic synapse"	"0.673"
"Phototransduction"	"0.665"
"RNA polymerase"	"0.629"
"Systemic lupus erythematosus"	"0.626"
"Ras signaling pathway"	"0.609"
"Chagas disease (American trypanosomiasis)"	"0.577"
"Aldosterone-regulated sodium reabsorption"	"0.57"
"Pancreatic secretion"	"0.544"
"Leishmaniasis"	"0.505"
"Vitamin digestion and absorption"	"0.504"
"Insulin signaling pathway"	"0.484"
"Cytosolic DNA-sensing pathway"	"0.453"
"VEGF signaling pathway"	"0.453"
"Ether lipid metabolism"	"0.45"
"Adherens junction"	"0.431"
"Fc epsilon RI signaling pathway"	"0.404"
"Base excision repair"	"0.398"
"Bile secretion"	"0.373"
"Amino sugar and nucleotide sugar metabolism"	"0.354"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"0.338"
"Amoebiasis"	"0.32"
"cAMP signaling pathway"	"0.316"
"Protein digestion and absorption"	"0.312"
"Hypertrophic cardiomyopathy (HCM)"	"0.292"
"Arginine biosynthesis"	"0.288"
"Insulin resistance"	"0.286"
"Peroxisome"	"0.241"
"Vascular smooth muscle contraction"	"0.202"
"Chemical carcinogenesis"	"0.196"
"Carbohydrate digestion and absorption"	"0.187"
"Non-homologous end-joining"	"0.184"
"Inflammatory mediator regulation of TRP channels"	"0.152"
"Dilated cardiomyopathy (DCM)"	"0.098"
"Olfactory transduction"	"0.085"
"Toll-like receptor signaling pathway"	"0.079"
"Choline metabolism in cancer"	"0.074"
"Selenocompound metabolism"	"0.072"
"Fructose and mannose metabolism"	"0.038"
"Lysine degradation"	"0.009"
"Complement and coagulation cascades"	"0.002"
"Phospholipase D signaling pathway"	"0"
"Fatty acid biosynthesis"	"-0.023"
"Cysteine and methionine metabolism"	"-0.024"
"Sulfur metabolism"	"-0.032"
"Valine, leucine and isoleucine degradation"	"-0.033"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-0.058"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"-0.065"
"Ovarian steroidogenesis"	"-0.084"
"beta-Alanine metabolism"	"-0.124"
"Lipoic acid metabolism"	"-0.153"
"Nitrogen metabolism"	"-0.165"
"alpha-Linolenic acid metabolism"	"-0.17"
"Regulation of lipolysis in adipocytes"	"-0.174"
"D-Arginine and D-ornithine metabolism"	"-0.176"
"Viral myocarditis"	"-0.18"
"Glucagon signaling pathway"	"-0.207"
"Histidine metabolism"	"-0.216"
"ECM-receptor interaction"	"-0.22"
"Citrate cycle (TCA cycle)"	"-0.233"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"-0.249"
"Asthma"	"-0.273"
"Arginine and proline metabolism"	"-0.306"
"B cell receptor signaling pathway"	"-0.31"
"Propanoate metabolism"	"-0.311"
"Caffeine metabolism"	"-0.316"
"Spliceosome"	"-0.32"
"Cytokine-cytokine receptor interaction"	"-0.344"
"Type I diabetes mellitus"	"-0.348"
"Fatty acid degradation"	"-0.38"
"One carbon pool by folate"	"-0.422"
"N-Glycan biosynthesis"	"-0.439"
"Other types of O-glycan biosynthesis"	"-0.441"
"Retrograde endocannabinoid signaling"	"-0.453"
"Steroid biosynthesis"	"-0.473"
"Intestinal immune network for IgA production"	"-0.509"
"Tryptophan metabolism"	"-0.539"
"Retinol metabolism"	"-0.547"
"Hippo signaling pathway - multiple species"	"-0.613"
"Fc gamma R-mediated phagocytosis"	"-0.655"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-0.656"
"Mannose type O-glycan biosynthesis"	"-0.716"
"Renin-angiotensin system"	"-0.755"
"Glycerophospholipid metabolism"	"-0.763"
"Glyoxylate and dicarboxylate metabolism"	"-0.802"
"Arachidonic acid metabolism"	"-0.81"
"Nucleotide excision repair"	"-0.83"
"Taste transduction"	"-0.866"
"Glycine, serine and threonine metabolism"	"-0.873"
"Vitamin B6 metabolism"	"-0.887"
"Allograft rejection"	"-0.894"
"Galactose metabolism"	"-0.965"
"Platelet activation"	"-0.972"
"Nicotine addiction"	"-0.977"
"GABAergic synapse"	"-1.029"
"Focal adhesion"	"-1.036"
"Staphylococcus aureus infection"	"-1.068"
"Type II diabetes mellitus"	"-1.095"
"Homologous recombination"	"-1.102"
"Pentose phosphate pathway"	"-1.103"
"Fatty acid elongation"	"-1.147"
"Glutamatergic synapse"	"-1.237"
"Phosphonate and phosphinate metabolism"	"-1.244"
"Central carbon metabolism in cancer"	"-1.26"
"Morphine addiction"	"-1.262"
"Taurine and hypotaurine metabolism"	"-1.282"
"D-Glutamine and D-glutamate metabolism"	"-1.358"
"Graft-versus-host disease"	"-1.373"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"-1.412"
"Mismatch repair"	"-1.441"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"-1.45"
"Sphingolipid metabolism"	"-1.511"
"Chemokine signaling pathway"	"-1.515"
"DNA replication"	"-1.529"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"-1.573"
"Axon guidance"	"-1.621"
"Rap1 signaling pathway"	"-1.624"
"Ascorbate and aldarate metabolism"	"-1.635"
"Linoleic acid metabolism"	"-1.644"
"RNA degradation"	"-1.662"
"Pyruvate metabolism"	"-1.761"
"Starch and sucrose metabolism"	"-1.787"
"Serotonergic synapse"	"-1.802"
"Regulation of actin cytoskeleton"	"-1.814"
"Natural killer cell mediated cytotoxicity"	"-1.868"
"Leukocyte transendothelial migration"	"-1.904"
"Biosynthesis of unsaturated fatty acids"	"-1.922"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"-1.974"
"Autoimmune thyroid disease"	"-2.114"
"Pentose and glucuronate interconversions"	"-2.192"
"Primary bile acid biosynthesis"	"-2.402"
"Steroid hormone biosynthesis"	"-2.526"
"Glycolysis / Gluconeogenesis"	"-2.712"
"Mucin type O-glycan biosynthesis"	"-2.767"
"Fanconi anemia pathway"	"-2.833"
"Ribosome"	"-2.865"
"Protein export"	"-2.938"
"mRNA surveillance pathway"	"-3.613"
"Calcium signaling pathway"	"-4.141"
"RNA transport"	"-5.056"
"Neuroactive ligand-receptor interaction"	"-7.209"
"Ribosome biogenesis in eukaryotes"	"-8.849"
