"Pathway"	"zscore"
"Sphingolipid signaling pathway"	"-2.116"
"Apelin signaling pathway"	"-2.126"
"Vibrio cholerae infection"	"-2.138"
"Relaxin signaling pathway"	"-2.143"
"Central carbon metabolism in cancer"	"-2.153"
"Hypertrophic cardiomyopathy (HCM)"	"-2.173"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"-2.174"
"Arginine and proline metabolism"	"-2.185"
"Graft-versus-host disease"	"-2.21"
"cGMP-PKG signaling pathway"	"-2.219"
"GnRH signaling pathway"	"-2.228"
"Allograft rejection"	"-2.259"
"African trypanosomiasis"	"-2.264"
"Complement and coagulation cascades"	"-2.266"
"Pyruvate metabolism"	"-2.336"
"Steroid hormone biosynthesis"	"-2.346"
"Asthma"	"-2.364"
"Vasopressin-regulated water reabsorption"	"-2.368"
"Thermogenesis"	"-2.461"
"Ribosome biogenesis in eukaryotes"	"-2.515"
"Amoebiasis"	"-2.519"
"Dilated cardiomyopathy (DCM)"	"-2.551"
"Intestinal immune network for IgA production"	"-2.563"
"Amino sugar and nucleotide sugar metabolism"	"-2.578"
"Inflammatory mediator regulation of TRP channels"	"-2.618"
"VEGF signaling pathway"	"-2.624"
"Cell adhesion molecules (CAMs)"	"-2.625"
"Chemokine signaling pathway"	"-2.625"
"Rap1 signaling pathway"	"-2.652"
"Ras signaling pathway"	"-2.662"
"Autophagy - other"	"-2.669"
"Renin secretion"	"-2.673"
"Ribosome"	"-2.702"
"Drug metabolism - other enzymes"	"-2.706"
"Autoimmune thyroid disease"	"-2.789"
"Type I diabetes mellitus"	"-2.842"
"Autophagy - animal"	"-2.882"
"Systemic lupus erythematosus"	"-2.899"
"Protein export"	"-2.926"
"Staphylococcus aureus infection"	"-2.934"
"Viral myocarditis"	"-2.947"
"Insulin signaling pathway"	"-3.045"
"RNA degradation"	"-3.062"
"Parkinson's disease"	"-3.075"
"Estrogen signaling pathway"	"-3.11"
"Platelet activation"	"-3.11"
"Alcoholism"	"-3.131"
"Gap junction"	"-3.179"
"Leukocyte transendothelial migration"	"-3.184"
"mRNA surveillance pathway"	"-3.196"
"Alanine, aspartate and glutamate metabolism"	"-3.24"
"Antigen processing and presentation"	"-3.248"
"Longevity regulating pathway - multiple species"	"-3.292"
"Glutamatergic synapse"	"-3.293"
"Cholinergic synapse"	"-3.323"
"Circadian entrainment"	"-3.377"
"Oxidative phosphorylation"	"-3.388"
"Gastric acid secretion"	"-3.458"
"Fc epsilon RI signaling pathway"	"-3.467"
"Serotonergic synapse"	"-3.56"
"Regulation of lipolysis in adipocytes"	"-3.603"
"Regulation of actin cytoskeleton"	"-3.63"
"Cytokine-cytokine receptor interaction"	"-3.83"
"Necroptosis"	"-3.84"
"GABAergic synapse"	"-3.876"
"Phospholipase D signaling pathway"	"-3.999"
"Calcium signaling pathway"	"-4.382"
"Spliceosome"	"-4.468"
"Natural killer cell mediated cytotoxicity"	"-4.564"
"Retrograde endocannabinoid signaling"	"-4.868"
"Taste transduction"	"-6.39"
"RNA transport"	"-6.866"
"Neuroactive ligand-receptor interaction"	"-7.479"
