ID	Term	pValue
GO:0048585	negative regulation of response to stimulus	9.88023982912825e-05
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	9.98308403097946e-05
GO:0006928	movement of cell or subcellular component	9.99570972769904e-05
GO:0007409	axonogenesis	0.000100371417859055
GO:0048568	embryonic organ development	0.000105034579505576
GO:0006366	transcription from RNA polymerase II promoter	0.000111428576813959
GO:0051241	negative regulation of multicellular organismal process	0.000112914839972587
GO:0006357	regulation of transcription from RNA polymerase II promoter	0.00011883524021205
GO:0010605	negative regulation of macromolecule metabolic process	0.000124625429265478
GO:0010558	negative regulation of macromolecule biosynthetic process	0.000126718689975377
GO:0031324	negative regulation of cellular metabolic process	0.000133646978340445
GO:0022603	regulation of anatomical structure morphogenesis	0.000138856238110287
GO:0061564	axon development	0.000142541812423875
GO:0060429	epithelium development	0.000146484939519546
GO:0051093	negative regulation of developmental process	0.000162348166432736
GO:0031327	negative regulation of cellular biosynthetic process	0.000171236510535649
GO:0045165	cell fate commitment	0.000172726000526551
GO:0009968	negative regulation of signal transduction	0.000173440130226931
GO:0010629	negative regulation of gene expression	0.000175333486305445
GO:0050896	response to stimulus	0.000175398849237588
GO:0016055	Wnt signaling pathway	0.00018043331314739
GO:0198738	cell-cell signaling by wnt	0.000182240021217954
GO:0009890	negative regulation of biosynthetic process	0.000191656433011362
GO:0051172	negative regulation of nitrogen compound metabolic process	0.000193446012471886
GO:0040012	regulation of locomotion	0.000200367732862954
GO:0007267	cell-cell signaling	0.000203539780288249
GO:0048468	cell development	0.000204932519206202
GO:0021510	spinal cord development	0.000210687741640392
GO:0009953	dorsal/ventral pattern formation	0.000223513209085965
GO:0048858	cell projection morphogenesis	0.000245163732370025
GO:0009892	negative regulation of metabolic process	0.000248484774830634
GO:0031175	neuron projection development	0.000280443241789891
GO:0032990	cell part morphogenesis	0.000280443241789891
GO:0007224	smoothened signaling pathway	0.000287489024831377
GO:0016477	cell migration	0.00029158875559676
GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	0.000313204891004943
GO:0045664	regulation of neuron differentiation	0.000414346274257708
GO:0010628	positive regulation of gene expression	0.000433319094197591
GO:0048598	embryonic morphogenesis	0.000453041934810372
GO:0051716	cellular response to stimulus	0.000477992395631781
GO:0016043	cellular component organization	0.000500408885520272
GO:0009888	tissue development	0.000558399841891321
GO:0045893	positive regulation of transcription, DNA-templated	0.000647353164892212
GO:1903508	positive regulation of nucleic acid-templated transcription	0.000647353164892212
GO:0050673	epithelial cell proliferation	0.00066815095021685
GO:0048522	positive regulation of cellular process	0.000677770405277328
GO:0071840	cellular component organization or biogenesis	0.000684333733263409
GO:0048666	neuron development	0.000684612282485649
GO:0021522	spinal cord motor neuron differentiation	0.000696016195588631
GO:1902680	positive regulation of RNA biosynthetic process	0.000707541181059724
GO:0045596	negative regulation of cell differentiation	0.000762039741077605
GO:0008283	cell proliferation	0.000827225822211756
GO:0051254	positive regulation of RNA metabolic process	0.000863164688805612
GO:0050767	regulation of neurogenesis	0.00101526429573112
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	0.00102097165177168
GO:0007420	brain development	0.00102871958153018
GO:0030334	regulation of cell migration	0.00103549720376318
GO:0050794	regulation of cellular process	0.00105915306943546
GO:0010646	regulation of cell communication	0.0011059644634435
GO:0023051	regulation of signaling	0.00126286262632766
GO:0060322	head development	0.00129455922298859
GO:0051145	smooth muscle cell differentiation	0.00141081936509855
GO:2000145	regulation of cell motility	0.00142790212187845
GO:0051179	localization	0.00149667116143492
GO:0001649	osteoblast differentiation	0.00151965463432326
GO:0010557	positive regulation of macromolecule biosynthetic process	0.00176866443834838
GO:0021515	cell differentiation in spinal cord	0.00179075395017466
GO:0044763	single-organism cellular process	0.00183276241211177
GO:0051270	regulation of cellular component movement	0.00208861542566653
GO:0050789	regulation of biological process	0.00214803877329605
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	0.00220093409542624
GO:0007411	axon guidance	0.00222931768632521
GO:0097485	neuron projection guidance	0.00225786575055908
GO:0061027	umbilical cord development	0.00238073897268727
GO:0036304	umbilical cord morphogenesis	0.00238073897268727
GO:2000820	negative regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation	0.00238073897268727
GO:0048514	blood vessel morphogenesis	0.00241035413622567
GO:0003007	heart morphogenesis	0.00243395715970656
GO:0008589	regulation of smoothened signaling pathway	0.00267999231546784
GO:0007423	sensory organ development	0.00270778356302102
GO:0060284	regulation of cell development	0.00270851461743411
GO:0031328	positive regulation of cellular biosynthetic process	0.00280474004477309
GO:0009891	positive regulation of biosynthetic process	0.00310601146456658
GO:0051173	positive regulation of nitrogen compound metabolic process	0.00317742108883622
GO:0030030	cell projection organization	0.00321400377496835
GO:0010604	positive regulation of macromolecule metabolic process	0.00326118604533495
GO:0051961	negative regulation of nervous system development	0.00359311798223783
GO:0006935	chemotaxis	0.0036790156976269
GO:0042330	taxis	0.00370297161185705
GO:0060840	artery development	0.00383355499956003
GO:0022404	molting cycle process	0.00393032658875461
GO:0001942	hair follicle development	0.00393032658875461
GO:0022405	hair cycle process	0.00393032658875461
GO:0030855	epithelial cell differentiation	0.00394845145235755
GO:0098773	skin epidermis development	0.00412727250831435
GO:0001708	cell fate specification	0.00422744171526961
GO:0072358	cardiovascular system development	0.00426174460552159
GO:0072359	circulatory system development	0.00426174460552159
GO:0001568	blood vessel development	0.00428395143405194
GO:0043009	chordate embryonic development	0.00431053906182155
GO:0006355	regulation of transcription, DNA-templated	0.0044464324498765
GO:0006351	transcription, DNA-templated	0.00446534791737577
GO:0009792	embryo development ending in birth or egg hatching	0.00447243730273805
GO:0048589	developmental growth	0.00447243730273805
GO:0061061	muscle structure development	0.0046384388005875
GO:1903506	regulation of nucleic acid-templated transcription	0.00465816011309063
GO:0021938	smoothened signaling pathway involved in regulation of cerebellar granule cell precursor cell proliferation	0.0047560927820136
GO:2001141	regulation of RNA biosynthetic process	0.00484760182498259
GO:0050678	regulation of epithelial cell proliferation	0.00513758420777772
GO:0009893	positive regulation of metabolic process	0.00518837580884584
GO:0001944	vasculature development	0.00525247364069799
GO:0032879	regulation of localization	0.00525420435922928
GO:0060255	regulation of macromolecule metabolic process	0.00539855835992973
GO:0065007	biological regulation	0.00562403892869129
GO:0048729	tissue morphogenesis	0.00562700306221646
GO:0031323	regulation of cellular metabolic process	0.00566724833025429
GO:0042633	hair cycle	0.00586384872099852
GO:0042303	molting cycle	0.00586384872099852
GO:0007418	ventral midline development	0.00594175385810939
GO:0051252	regulation of RNA metabolic process	0.00617043156265668
GO:0097659	nucleic acid-templated transcription	0.00628231247067197
GO:0009611	response to wounding	0.00653493141533405
GO:0060842	arterial endothelial cell differentiation	0.0071260729691992
GO:0021937	cerebellar Purkinje cell-granule cell precursor cell signaling involved in regulation of granule cell precursor cell proliferation	0.0071260729691992
GO:0042127	regulation of cell proliferation	0.00768392134985446
GO:0035239	tube morphogenesis	0.00774331157346168
GO:0051094	positive regulation of developmental process	0.00776778994703645
GO:0032774	RNA biosynthetic process	0.00815247306898825
GO:0003190	atrioventricular valve formation	0.00830905155513883
GO:0001503	ossification	0.00843268327188794
GO:0007517	muscle organ development	0.00888977611738524
GO:0030856	regulation of epithelial cell differentiation	0.00927623441955053
GO:0060837	blood vessel endothelial cell differentiation	0.00949069105298572
GO:0035912	dorsal aorta morphogenesis	0.00949069105298572
GO:0019222	regulation of metabolic process	0.00956900203600919
GO:2000112	regulation of cellular macromolecule biosynthetic process	0.00957293257718434
GO:0009966	regulation of signal transduction	0.0096085786085587
GO:0035270	endocrine system development	0.0103152277061056
GO:0044699	single-organism process	0.0105650229035712
GO:0021940	positive regulation of cerebellar granule cell precursor proliferation	0.0106709928985874
GO:0035907	dorsal aorta development	0.0106709928985874
GO:0061314	Notch signaling involved in heart development	0.0106709928985874
GO:0019219	regulation of nucleobase-containing compound metabolic process	0.0117343527783679
GO:0010556	regulation of macromolecule biosynthetic process	0.0117966259088742
GO:0051151	negative regulation of smooth muscle cell differentiation	0.0118499585272683
GO:0072203	cell proliferation involved in metanephros development	0.0118499585272683
GO:0031325	positive regulation of cellular metabolic process	0.0122071002318213
GO:0035148	tube formation	0.0122109745520673
GO:0001525	angiogenesis	0.012337714693785
GO:0010975	regulation of neuron projection development	0.012337714693785
GO:0030902	hindbrain development	0.0127071448596878
GO:0065009	regulation of molecular function	0.0128336874991404
GO:0048754	branching morphogenesis of an epithelial tube	0.0130427998841686
GO:0003184	pulmonary valve morphogenesis	0.0142038868628706
GO:0003177	pulmonary valve development	0.0142038868628706
GO:0021936	regulation of cerebellar granule cell precursor proliferation	0.0142038868628706
GO:0051128	regulation of cellular component organization	0.0143556417384541
GO:0043066	negative regulation of apoptotic process	0.0145056224254995
GO:0043069	negative regulation of programmed cell death	0.015173932014786
GO:0051962	positive regulation of nervous system development	0.0154359427684882
GO:0021915	neural tube development	0.0154999492808643
GO:0031326	regulation of cellular biosynthetic process	0.015963239060278
GO:0034645	cellular macromolecule biosynthetic process	0.0164290758461085
GO:0008284	positive regulation of cell proliferation	0.0164392909963308
GO:0060347	heart trabecula formation	0.0165524875100444
GO:2001212	regulation of vasculogenesis	0.0165524875100444
GO:0003188	heart valve formation	0.0165524875100444
GO:0014031	mesenchymal cell development	0.0166096347771236
GO:0048583	regulation of response to stimulus	0.0167325932624894
GO:0050770	regulation of axonogenesis	0.016797829979111
GO:0080090	regulation of primary metabolic process	0.0174266550158974
GO:0009889	regulation of biosynthetic process	0.0174699917847695
GO:0010468	regulation of gene expression	0.0176408836809663
GO:0034654	nucleobase-containing compound biosynthetic process	0.0179865948631269
GO:0030324	lung development	0.0183363940563769
GO:0061138	morphogenesis of a branching epithelium	0.0185328066164342
GO:0048839	inner ear development	0.0187301211615569
GO:0048762	mesenchymal cell differentiation	0.0187301211615569
GO:0009913	epidermal cell differentiation	0.0187301211615569
GO:0008104	protein localization	0.0188806486117623
GO:0021930	cerebellar granule cell precursor proliferation	0.0188957718912608
GO:0021924	cell proliferation in external granule layer	0.0188957718912608
GO:0030323	respiratory tube development	0.0191274474243694
GO:0051171	regulation of nitrogen compound metabolic process	0.0193919715457927
GO:0018130	heterocycle biosynthetic process	0.0196084094278512
GO:0060548	negative regulation of cell death	0.0197468189691458
GO:0019438	aromatic compound biosynthetic process	0.0200153568601241
GO:0021534	cell proliferation in hindbrain	0.0200654240468568
GO:0002076	osteoblast development	0.0200654240468568
GO:0044260	cellular macromolecule metabolic process	0.0203991573881675
GO:0090304	nucleic acid metabolic process	0.0204780298301911
GO:0009059	macromolecule biosynthetic process	0.0209966742041669
GO:2000678	negative regulation of transcription regulatory region DNA binding	0.0212337514098069
GO:0051050	positive regulation of transport	0.021470368325836
GO:0042981	regulation of apoptotic process	0.0215147332439751
GO:0007507	heart development	0.021728131784047
GO:0001763	morphogenesis of a branching structure	0.0222203561629035
GO:0043067	regulation of programmed cell death	0.0223087192164621
GO:0060716	labyrinthine layer blood vessel development	0.0224007554031457
GO:0040007	growth	0.0224059908439435
GO:0051240	positive regulation of multicellular organismal process	0.023440187846496
GO:0030178	negative regulation of Wnt signaling pathway	0.0235122929646653
GO:0072111	cell proliferation involved in kidney development	0.0235664374460539
GO:0010874	regulation of cholesterol efflux	0.0235664374460539
GO:1901362	organic cyclic compound biosynthetic process	0.0237636132024441
GO:0060541	respiratory system development	0.0239497627651405
GO:0043583	ear development	0.0241697676731957
GO:0007398	ectoderm development	0.0247307989560455
GO:0003181	atrioventricular valve morphogenesis	0.0247307989560455
GO:0021513	spinal cord dorsal/ventral patterning	0.0258938413504582
GO:0022607	cellular component assembly	0.026602537023044
GO:0016070	RNA metabolic process	0.0281135741201551
GO:0021511	spinal cord patterning	0.0282159744613795
GO:0051150	regulation of smooth muscle cell differentiation	0.0282159744613795
GO:0003171	atrioventricular valve development	0.0282159744613795
GO:0021904	dorsal/ventral neural tube patterning	0.0282159744613795
GO:0010941	regulation of cell death	0.0287851603231749
GO:0031344	regulation of cell projection organization	0.0291189845517658
GO:0061311	cell surface receptor signaling pathway involved in heart development	0.0293750680035654
GO:0060343	trabecula formation	0.0293750680035654
GO:0009605	response to external stimulus	0.0294213648203448
GO:0035295	tube development	0.0301769970193621
GO:0045880	positive regulation of smoothened signaling pathway	0.0305328480858634
GO:0060485	mesenchyme development	0.0311529535021302
GO:0043588	skin development	0.0316441352589268
GO:0001702	gastrulation with mouth forming second	0.0328444735108077
GO:0050768	negative regulation of neurogenesis	0.0338927415991373
GO:0035909	aorta morphogenesis	0.0339983216690002
GO:0060674	placenta blood vessel development	0.0339983216690002
GO:0044765	single-organism transport	0.0351439399274584
GO:0060441	epithelial tube branching involved in lung morphogenesis	0.035150861999281
GO:0045746	negative regulation of Notch signaling pathway	0.035150861999281
GO:2000027	regulation of organ morphogenesis	0.0356843078432446
GO:0060317	cardiac epithelial to mesenchymal transition	0.0363020959084142
GO:0045687	positive regulation of glial cell differentiation	0.0374520247945348
GO:0003006	developmental process involved in reproduction	0.0381571916577547
GO:0033036	macromolecule localization	0.0382423368333091
GO:0021696	cerebellar cortex morphogenesis	0.038600650063678
GO:0030155	regulation of cell adhesion	0.0392250206479074
GO:0061384	heart trabecula morphogenesis	0.0397479731141916
GO:1901799	negative regulation of proteasomal protein catabolic process	0.0397479731141916
GO:0008285	negative regulation of cell proliferation	0.0404644048646534
GO:0003179	heart valve morphogenesis	0.0408939953451251
GO:0035137	hindlimb morphogenesis	0.0420387181529331
GO:0044271	cellular nitrogen compound biosynthetic process	0.0425555784613004
GO:0006897	endocytosis	0.0426819542470985
GO:0060412	ventricular septum morphogenesis	0.0431821429338008
GO:0065008	regulation of biological quality	0.0432265765343993
GO:0032371	regulation of sterol transport	0.0443242710837969
GO:2000677	regulation of transcription regulatory region DNA binding	0.0443242710837969
GO:0032374	regulation of cholesterol transport	0.0443242710837969
GO:0048562	embryonic organ morphogenesis	0.044894497823108
GO:0007155	cell adhesion	0.0449809119667848
GO:0044085	cellular component biogenesis	0.0450347972991078
GO:0043010	camera-type eye development	0.045461546756332
GO:0033344	cholesterol efflux	0.0454651039925459
GO:0003170	heart valve development	0.0454651039925459
GO:0021587	cerebellum morphogenesis	0.0454651039925459
GO:0022610	biological adhesion	0.0455688447988342
GO:0021532	neural tube patterning	0.0466046430558882
GO:1902578	single-organism localization	0.0476905763573438
GO:0006139	nucleobase-containing compound metabolic process	0.0480242048994054
GO:1903051	negative regulation of proteolysis involved in cellular protein catabolic process	0.0488798451996785
GO:0043170	macromolecule metabolic process	0.0492564351577847
GO:0048638	regulation of developmental growth	0.0497999008355565
GO:0006915	apoptotic process	0.0498191042986438
