Set	BP1	BP2	BP3	CC1	CC2	CC3	MF1	MF2	MF3	KEGG1	KEGG2	KEGG3
HALLMARK_IL2_STAT5_SIGNALING	0.07647285	0.075909428	0.067093541	0.082935624	0.054525931	0.042024605	0.040771821	0.035449146	0.030716407	0.097717149	0.086515007	0.073490031
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.338099215	0.320991091	0.281080974	0.25757636	0.198112207	0.194168258	0.35099825	0.221132941	0.190668417	0.40867934	0.397503712	0.200412292
HALLMARK_INFLAMMATORY_RESPONSE	0.993570368	0.465061247	0.46237671	0.591108548	0.476475501	0.226727384	0.662729346	0.302915208	0.280086701	0.648093647	0.365832803	0.304008909
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.127618252	0.118411284	0.113327235	0.090644554	0.083764185	0.066503606	0.083538816	0.078799449	0.063925125	0.13301384	0.101999152	0.09578826
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.267664917	0.235974122	0.226647842	0.126889119	0.113705059	0.109031976	0.277647418	0.140742656	0.106115442	0.242523067	0.235748754	0.216618942
HALLMARK_KRAS_SIGNALING_DN	0.417256602	0.184033302	0.18224361	0.222684007	0.171459062	0.08001909	0.297459964	0.134273253	0.132085852	0.286383763	0.138800509	0.112876498
HALLMARK_KRAS_SIGNALING_UP	0.080410171	0.064064323	0.05868862	0.097571323	0.055719058	0.054950154	0.064932655	0.057091155	0.045782957	0.090631297	0.074510818	0.057502121
HALLMARK_MITOTIC_SPINDLE	0.39295657	0.341857567	0.328308941	0.391325962	0.343123608	0.28144554	0.218163379	0.185014318	0.157028847	0.134876445	0.101581557	0.098665023
HALLMARK_MTORC1_SIGNALING	0.092036536	0.086130555	0.081563527	0.158328031	0.11764238	0.102522802	0.091705112	0.088450525	0.087336939	0.160561831	0.119604412	0.067259253
HALLMARK_MYC_TARGETS_V1	0.170186393	0.114865044	0.112790328	0.151573603	0.138064747	0.118311857	0.108932549	0.100786139	0.081391187	0.142101495	0.092805441	0.069347227
HALLMARK_MYC_TARGETS_V2	0.218706915	0.09407811	0.08190158	0.195785608	0.185876021	0.106884346	0.098777707	0.092188991	0.047168311	0.187639198	0.085699703	0.048083042
HALLMARK_MYOGENESIS	0.439528317	0.287484092	0.242165129	0.325810001	0.189992311	0.188209248	0.347418867	0.24575114	0.198828084	0.224301358	0.222127214	0.175204157
HALLMARK_NOTCH_SIGNALING	0.141650758	0.106705377	0.105492364	0.102476403	0.060405398	0.052305388	0.148464843	0.099009704	0.059271927	0.185186658	0.120022007	0.071587655
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1	0.818651236	0.306289108	0.911728444	0.709082352	0.488062096	0.903449464	0.422910701	0.367934033	0.8225753	0.657625411	0.541785979
HALLMARK_P53_PATHWAY	0.087124828	0.086839803	0.072807297	0.05903993	0.055314721	0.030815834	0.080052232	0.073874483	0.058940503	0.081537013	0.072913352	0.072734383
HALLMARK_PANCREAS_BETA_CELLS	0.141365733	0.105585163	0.098936791	0.104266094	0.056826015	0.055772086	0.104332379	0.023305759	0.020501909	0.117549581	0.044225262	0.016405504
HALLMARK_PEROXISOME	0.133570633	0.112598102	0.111902111	0.129056634	0.121069307	0.092142592	0.110006363	0.110006363	0.024558543	0.131403118	0.018234967	0.01195779
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.65132172	0.164333439	0.158115919	0.166706438	0.05593117	0.054426503	0.657360272	0.390219005	0.168078534	0.171797115	0.15320421	0.146622123
HALLMARK_PROTEIN_SECRETION	0.453474653	0.327467123	0.315217679	0.402037597	0.350388429	0.307064641	0.305765458	0.245307031	0.233886149	0.346424594	0.154795047	0.136752307
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.169609715	0.135751405	0.080443313	0.137680295	0.080741595	0.079734065	0.145203627	0.061260473	0.047115283	0.093680401	0.077705748	0.066987485
HALLMARK_SPERMATOGENESIS	0.050601867	0.023670326	0.01944798	0.029854704	0.013634797	0.007695673	0.036244565	0.005852954	0.003784866	0.01598791	0.008292237	0.00713888
HALLMARK_TGF_BETA_SIGNALING	0.234263973	0.183284283	0.183264397	0.159978524	0.114500477	0.111106692	0.196103776	0.180599745	0.173944745	0.192332167	0.120174462	0.117430268
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.163312652	0.139914095	0.13958267	0.075107381	0.064024552	0.056441563	0.106712006	0.106658978	0.095277866	0.169258405	0.16599719	0.162265352
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.162557005	0.160568459	0.138508856	0.113804486	0.107467653	0.100925337	0.099917807	0.087834076	0.082027521	0.108342613	0.101468873	0.071037491
HALLMARK_UV_RESPONSE_DN	0.092334818	0.081046505	0.077374324	0.159587443	0.070812122	0.064442147	0.096318539	0.083267048	0.079634638	0.112505303	0.105545392	0.104749973
HALLMARK_UV_RESPONSE_UP	0.009684219	0.005196733	0.004069891	0.040274684	0.02912557	0.019984887	0.047334023	0.002790593	0	0.021138244	0.012779722	0.010002386
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.124893944	0.110205218	0.104345636	0.065144766	0.053949252	0.053372574	0.104080496	0.086031127	0.077977516	0.128837894	0.106480008	0.082107063
HALLMARK_XENOBIOTIC_METABOLISM	0.264708612	0.249363665	0.246274791	0.307349666	0.110576413	0.093600859	0.344800615	0.333154364	0.327559922	0.212635221	0.211521635	0.209294464
