Set	BPob1	CCob1	Mfob1	BPob2	CCob2	MFob2	BPob3	BPob3	MFob3	KEGGob1	KEGGob2	KEGGob3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	3.01745073	2.926856709	2.753583059	2.264817823	2.92992956	2.281033367	2.975431809	2.975431809	2.551449998	2.752048448	3.105850674	2.419955748
HALLMARK_ESTROGEN_RESPONSE_EARLY	3.349277527	2.699837726	3.034628457	3.10754913	3.550105999	2.340444115	3.237040791	3.237040791	3.024485668	3.178976947	2.627365857	2.797267541
HALLMARK_ESTROGEN_RESPONSE_LATE	1.602059991	3.618571028	1.579783597	3.15715444	3.074450719	1.755874856	1.653212514	1.653212514	1.204119983	2.693726949	2.672097858	3.1775365
HALLMARK_FATTY_ACID_METABOLISM	2.624282096	3.104487111	3.622006673	2.62838893	3.772834927	2.966610987	2.591064607	2.591064607	2.390935107	2.856124444	2.509202522	2.5289167
HALLMARK_G2M_CHECKPOINT	3.617419747	3.195899652	2.73479983	3.253822439	3.221153322	3.477265995	2.697229343	2.697229343	2.507855872	3.481012421	2.753583059	2.836324116
HALLMARK_GLYCOLYSIS	2.56937391	3.90118578	2.356025857	2.235528447	3.169380495	1.982271233	2.113943352	2.113943352	2	2.394451681	2.117271296	2.962842681
HALLMARK_HEDGEHOG_SIGNALING	1.51851394	1.462397998	1.462397998	1.361727836	2.214843848	1.204119983	1.672097858	1.672097858	1.176091259	2.29666519	2.350248018	2.630427875
HALLMARK_HEME_METABOLISM	2.913813852	2.330413773	2.822821645	2.927370363	2.613841822	1.255272505	2.914871818	2.914871818	1.255272505	2.879669206	3.028164419	2.361727836
HALLMARK_HYPOXIA	2.45484486	3.873146151	2.222716471	1.924279286	3.087781418	1.851258349	2.075546961	2.075546961	1.477121255	2.318063335	2.170261715	2.859738566
HALLMARK_IL2_STAT5_SIGNALING	2.550228353	3.629715333	2.123851641	3.144885418	3.088844563	2.574031268	3.177247836	3.177247836	2.164352856	2.675778342	3.212453961	2.64738297
HALLMARK_IL6_JAK_STAT3_SIGNALING	2.041392685	3.605412798	2.025305865	2.086359831	2.737987326	2.462397998	3.112605002	3.112605002	2.025305865	2.968949681	2.918030337	2.933487288
HALLMARK_INFLAMMATORY_RESPONSE	3.792671789	3.564073979	3.383635868	3.194514342	3.881669908	2.698970004	3.039414119	3.039414119	2.653212514	3.424228071	3.042575512	2.850646235
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.127104798	2.064457989	2.645422269	2.045322979	2.418301291	2.029383778	2.383815366	2.383815366	2.136720567	2.380211242	2.387389826	2.587710965
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.037426498	2.769377326	2.021189299	2.056904851	2.755874856	1.681241237	2.537819095	2.537819095	2.374748346	2.794488047	2.900367129	2.880813592
HALLMARK_KRAS_SIGNALING_DN	3.427972714	3.206825876	3.032618761	2.669316881	3.610340711	2.350248018	2.827369273	2.827369273	2.359835482	3.056523724	2.544068044	2.652246341
HALLMARK_KRAS_SIGNALING_UP	3.129689892	3.583538819	2.413299764	2.759667845	3.218535505	2.592176757	2.57054294	2.57054294	2.173186268	2.636487896	2.818225894	3.112605002
HALLMARK_MITOTIC_SPINDLE	3.502700175	3.67678503	3.175511813	3.428620673	3.135450699	2.57634135	3.536937023	3.536937023	2.57054294	3.20167018	3.170261715	3.022840611
HALLMARK_MTORC1_SIGNALING	2.608526034	3.09131516	2.586587305	2.825426118	4.061301656	2.717670503	3.433129518	3.433129518	3.890923771	3.022840611	3.058805487	2.7084209
HALLMARK_MYC_TARGETS_V1	3.884001925	3.483444648	4.337658891	3.424718337	3.420615771	3.409256652	3.669037801	3.669037801	3.135450699	3.712986234	3.401917251	3.124178055
HALLMARK_MYC_TARGETS_V2	3.001300933	3.432969291	3.62324929	2.390935107	2.656098202	2.298853076	2.727541257	2.727541257	1.84509804	2.858537198	2.823474229	2.909556029
HALLMARK_MYOGENESIS	2.954724791	2.187520721	2.767897616	3.007747778	2.127104798	3.13001195	2.677606953	2.677606953	1.763427994	2.868644438	2.848189117	2.649334859
HALLMARK_NOTCH_SIGNALING	2.7355989	2.274157849	2.733197265	2.383815366	1.462397998	1.86923172	2.170261715	2.170261715	2.456366033	2.385606274	2.181843588	2.691965103
HALLMARK_OXIDATIVE_PHOSPHORYLATION	3.219060332	3.161368002	3.131297797	3.128076013	3.559786968	2.639486489	2.873901598	2.873901598	2.456366033	3.389166084	3.390935107	3.339650158
HALLMARK_P53_PATHWAY	3.309843005	3.998346537	3.209246849	3.539828558	2.924795996	3.160468531	3.449940989	3.449940989	2.94792362	2.679427897	3.356408327	3.052693942
HALLMARK_PANCREAS_BETA_CELLS	2.645422269	2.387389826	2.613841822	2.632457292	2.056904851	1.851258349	2.654176542	2.654176542	1.079181246	2.635483747	2.40654018	1.698970004
HALLMARK_PEROXISOME	1.826074803	2.409933123	1.51851394	1.602059991	2.28780173	1.51851394	1.698970004	1.698970004	1.079181246	2.397940009	2.505149978	2.667452953
HALLMARK_PI3K_AKT_MTOR_SIGNALING	2.57634135	3.894482215	2.571708832	3.164947373	4.03233666	1.924279286	2.991669007	2.991669007	2.999130541	2.719331287	3.172018809	3.321184027
HALLMARK_PROTEIN_SECRETION	3.249442961	3.363047595	2.606381365	2.91750551	2.750508395	2.663700925	2.970346876	2.970346876	2.624282096	2.712649702	3.150142162	2.718501689
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	2.214843848	2.152288344	2.123851641	2.130333768	2.956648579	1.447158031	1.949390007	1.949390007	3.073351702	2.315970345	2.382017043	1.880813592
HALLMARK_SPERMATOGENESIS	3.097604329	2.908485019	3.568670978	2.811575006	2.5289167	2.176091259	2.861534411	2.861534411	2.674861141	2.631443769	2.008600172	2.409933123
HALLMARK_TGF_BETA_SIGNALING	2.546542663	1.84509804	2.08278537	2.797959644	2.72916479	2.519827994	2.130333768	2.130333768	2.093421685	2.718501689	2.79518459	2.683947131
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.061829307	2.161368002	3.189490314	3.361160995	2.888740961	3.15075644	3.531861949	3.531861949	2.966610987	2.943988875	2.8876173	2.733999287
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	3.102433706	2.257678575	3.848497018	3.287353773	2.227886705	2.146128036	3.146128036	3.146128036	3.131939295	2.905256049	3.151676231	2.859738566
HALLMARK_UV_RESPONSE_DN	3.183269844	3.698883137	2.722633923	2.700703717	2.434568904	2.481442629	3.157456768	3.157456768	2.352182518	2.943494516	3.25358029	2.80685803
HALLMARK_UV_RESPONSE_UP	2.369215857	3.047664195	3.697142126	2.338456494	3.834738519	2.781036939	2.903632516	2.903632516	2.305351369	2.751279104	2.416640507	2.434568904
HALLMARK_WNT_BETA_CATENIN_SIGNALING	2.359835482	2.635483747	2.45484486	3.15075644	1.86923172	1.963787827	3.204933522	3.204933522	2.783188691	2.409933123	2.305351369	2.657055853
HALLMARK_XENOBIOTIC_METABOLISM	2.324282455	2.707570176	2.545307116	2.238046103	3.213517757	2.808210973	2.257678575	2.257678575	2.822821645	2.505149978	2.539076099	2.457881897
