"Pathway"	"zscore"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"3.163"
"Fatty acid biosynthesis"	"3.138"
"cGMP-PKG signaling pathway"	"3.074"
"Alanine, aspartate and glutamate metabolism"	"3.046"
"Thyroid cancer"	"3.016"
"Endocytosis"	"2.92"
"Pantothenate and CoA biosynthesis"	"2.875"
"AMPK signaling pathway"	"2.777"
"Arginine biosynthesis"	"2.761"
"DNA replication"	"2.755"
"Epstein-Barr virus infection"	"2.752"
"ABC transporters"	"2.75"
"Amphetamine addiction"	"2.725"
"Maturity onset diabetes of the young"	"2.688"
"Base excision repair"	"2.68"
"Huntington's disease"	"2.672"
"Aldosterone synthesis and secretion"	"2.514"
"Prion diseases"	"2.497"
"Nicotinate and nicotinamide metabolism"	"2.24"
"Type II diabetes mellitus"	"2.226"
"HIF-1 signaling pathway"	"2.08"
"Measles"	"1.998"
"Lipoic acid metabolism"	"1.934"
"Vitamin B6 metabolism"	"1.786"
"Other glycan degradation"	"1.768"
"Ether lipid metabolism"	"1.639"
"Nicotine addiction"	"1.605"
"Viral carcinogenesis"	"1.578"
"Synaptic vesicle cycle"	"1.549"
"Fluid shear stress and atherosclerosis"	"1.488"
"p53 signaling pathway"	"1.448"
"Thyroid hormone signaling pathway"	"1.432"
"Calcium signaling pathway"	"1.422"
"Longevity regulating pathway"	"1.395"
"Apoptosis"	"1.386"
"Proteasome"	"1.328"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"1.317"
"Thermogenesis"	"1.273"
"Steroid biosynthesis"	"1.23"
"mTOR signaling pathway"	"1.158"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"1.144"
"Long-term depression"	"1.096"
"Cardiac muscle contraction"	"1.089"
"Tuberculosis"	"1.07"
"HTLV-I infection"	"1.062"
"Adrenergic signaling in cardiomyocytes"	"1.054"
"Dilated cardiomyopathy (DCM)"	"1.032"
"Melanoma"	"1.027"
"Salivary secretion"	"0.975"
"Oxidative phosphorylation"	"0.974"
"D-Glutamine and D-glutamate metabolism"	"0.933"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"0.929"
"Vitamin digestion and absorption"	"0.819"
"NOD-like receptor signaling pathway"	"0.797"
"GnRH signaling pathway"	"0.786"
"Non-small cell lung cancer"	"0.777"
"Oocyte meiosis"	"0.777"
"Sulfur metabolism"	"0.765"
"Adipocytokine signaling pathway"	"0.759"
"Taurine and hypotaurine metabolism"	"0.732"
"Ras signaling pathway"	"0.723"
"Apoptosis - multiple species"	"0.695"
"Thyroid hormone synthesis"	"0.687"
"Glioma"	"0.673"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"0.655"
"Neomycin, kanamycin and gentamicin biosynthesis"	"0.646"
"Glutamatergic synapse"	"0.634"
"Folate biosynthesis"	"0.616"
"Ubiquitin mediated proteolysis"	"0.606"
"Alzheimer's disease"	"0.6"
"Mannose type O-glycan biosynthesis"	"0.59"
"Riboflavin metabolism"	"0.578"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"0.552"
"Hepatocellular carcinoma"	"0.539"
"One carbon pool by folate"	"0.536"
"Glycosphingolipid biosynthesis - ganglio series"	"0.51"
"Aldosterone-regulated sodium reabsorption"	"0.508"
"Insulin secretion"	"0.5"
"Bladder cancer"	"0.46"
"Insulin resistance"	"0.384"
"Mineral absorption"	"0.355"
"Wnt signaling pathway"	"0.341"
"Selenocompound metabolism"	"0.315"
"Hippo signaling pathway - multiple species"	"0.302"
"Endometrial cancer"	"0.288"
"Rheumatoid arthritis"	"0.261"
"Phosphonate and phosphinate metabolism"	"0.241"
"RNA polymerase"	"0.229"
"Gastric acid secretion"	"0.209"
"VEGF signaling pathway"	"0.17"
"Mitophagy - animal"	"0.16"
"Prostate cancer"	"0.155"
"Fatty acid elongation"	"0.14"
"Renin secretion"	"0.125"
"Hypertrophic cardiomyopathy (HCM)"	"0.122"
"Nitrogen metabolism"	"0.069"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"0.066"
"Progesterone-mediated oocyte maturation"	"0.051"
"Melanogenesis"	"0.012"
"FoxO signaling pathway"	"0.002"
"Glycosaminoglycan degradation"	"-0.009"
"Sphingolipid metabolism"	"-0.027"
"Olfactory transduction"	"-0.049"
"Autophagy - animal"	"-0.051"
"Proximal tubule bicarbonate reclamation"	"-0.09"
"C-type lectin receptor signaling pathway"	"-0.093"
"Other types of O-glycan biosynthesis"	"-0.144"
"Sulfur relay system"	"-0.183"
"Choline metabolism in cancer"	"-0.2"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-0.229"
"Protein digestion and absorption"	"-0.229"
"Breast cancer"	"-0.232"
"Cocaine addiction"	"-0.236"
"Endocrine and other factor-regulated calcium reabsorption"	"-0.236"
"Vasopressin-regulated water reabsorption"	"-0.264"
"Ovarian steroidogenesis"	"-0.325"
"Dopaminergic synapse"	"-0.349"
"Neurotrophin signaling pathway"	"-0.349"
"Circadian entrainment"	"-0.351"
"Hippo signaling pathway"	"-0.397"
"Vascular smooth muscle contraction"	"-0.418"
"mRNA surveillance pathway"	"-0.428"
"Colorectal cancer"	"-0.464"
"Acute myeloid leukemia"	"-0.52"
"ErbB signaling pathway"	"-0.538"
"Thiamine metabolism"	"-0.542"
"Biotin metabolism"	"-0.692"
"Renal cell carcinoma"	"-0.733"
"Th17 cell differentiation"	"-0.734"
"Small cell lung cancer"	"-0.799"
"Transcriptional misregulation in cancer"	"-0.818"
"Gastric cancer"	"-0.822"
"Adherens junction"	"-0.842"
"Mucin type O-glycan biosynthesis"	"-0.844"
"Cushing's syndrome"	"-0.861"
"Lysosome"	"-0.865"
"Epithelial cell signaling in Helicobacter pylori infection"	"-0.868"
"Cortisol synthesis and secretion"	"-0.878"
"Inflammatory mediator regulation of TRP channels"	"-0.905"
"Inositol phosphate metabolism"	"-0.912"
"Pancreatic secretion"	"-0.951"
"Rap1 signaling pathway"	"-0.994"
"Prolactin signaling pathway"	"-1.007"
"TGF-beta signaling pathway"	"-1.043"
"Chronic myeloid leukemia"	"-1.103"
"Autophagy - other"	"-1.106"
"Caffeine metabolism"	"-1.111"
"Salmonella infection"	"-1.122"
"Phosphatidylinositol signaling system"	"-1.15"
"Linoleic acid metabolism"	"-1.188"
"Viral myocarditis"	"-1.216"
"Phototransduction"	"-1.238"
"Platelet activation"	"-1.238"
"Protein export"	"-1.239"
"PI3K-Akt signaling pathway"	"-1.267"
"MicroRNAs in cancer"	"-1.283"
"African trypanosomiasis"	"-1.291"
"Shigellosis"	"-1.294"
"Circadian rhythm"	"-1.368"
"Cholinergic synapse"	"-1.396"
"Th1 and Th2 cell differentiation"	"-1.402"
"Focal adhesion"	"-1.405"
"Hepatitis C"	"-1.472"
"Hepatitis B"	"-1.48"
"Apelin signaling pathway"	"-1.494"
"Non-homologous end-joining"	"-1.518"
"Jak-STAT signaling pathway"	"-1.534"
"Pertussis"	"-1.543"
"Fc epsilon RI signaling pathway"	"-1.548"
"Bacterial invasion of epithelial cells"	"-1.575"
"IL-17 signaling pathway"	"-1.608"
"GABAergic synapse"	"-1.609"
"ECM-receptor interaction"	"-1.638"
"N-Glycan biosynthesis"	"-1.685"
"Amoebiasis"	"-1.721"
"Arachidonic acid metabolism"	"-1.73"
"Sphingolipid signaling pathway"	"-1.766"
"TNF signaling pathway"	"-1.786"
"Hedgehog signaling pathway"	"-1.805"
"B cell receptor signaling pathway"	"-1.811"
"Type I diabetes mellitus"	"-1.823"
"Leishmaniasis"	"-1.826"
"Malaria"	"-1.886"
"Axon guidance"	"-1.89"
"Notch signaling pathway"	"-1.895"
"T cell receptor signaling pathway"	"-1.899"
"Carbohydrate digestion and absorption"	"-1.916"
"Basal cell carcinoma"	"-1.943"
"Signaling pathways regulating pluripotency of stem cells"	"-1.959"
"Pancreatic cancer"	"-1.974"
"Proteoglycans in cancer"	"-2.004"
"Osteoclast differentiation"	"-2.091"
"Ribosome"	"-2.132"
"Cytosolic DNA-sensing pathway"	"-2.143"
"Pathways in cancer"	"-2.279"
"Human papillomavirus infection"	"-2.292"
"RIG-I-like receptor signaling pathway"	"-2.304"
"Natural killer cell mediated cytotoxicity"	"-2.357"
"Regulation of lipolysis in adipocytes"	"-2.411"
"Phospholipase D signaling pathway"	"-2.412"
"Morphine addiction"	"-2.507"
"Relaxin signaling pathway"	"-2.53"
"AGE-RAGE signaling pathway in diabetic complications"	"-2.638"
"Toll-like receptor signaling pathway"	"-2.661"
"Leukocyte transendothelial migration"	"-2.722"
"Regulation of actin cytoskeleton"	"-2.722"
"Renin-angiotensin system"	"-2.727"
"Inflammatory bowel disease (IBD)"	"-2.796"
"Retrograde endocannabinoid signaling"	"-2.995"
"Asthma"	"-3.042"
"Non-alcoholic fatty liver disease (NAFLD)"	"-3.102"
"Chagas disease (American trypanosomiasis)"	"-3.114"
"Fc gamma R-mediated phagocytosis"	"-3.138"
"Serotonergic synapse"	"-3.148"
"Cell adhesion molecules (CAMs)"	"-3.193"
"Primary immunodeficiency"	"-3.266"
"cAMP signaling pathway"	"-3.319"
"NF-kappa B signaling pathway"	"-3.354"
"Kaposi's sarcoma-associated herpesvirus infection"	"-3.413"
"Hematopoietic cell lineage"	"-3.562"
"Cell cycle"	"-3.617"
"Herpes simplex infection"	"-3.633"
"Allograft rejection"	"-3.654"
"SNARE interactions in vesicular transport"	"-3.708"
"Graft-versus-host disease"	"-3.835"
"Spliceosome"	"-3.838"
"Complement and coagulation cascades"	"-4.015"
"Autoimmune thyroid disease"	"-4.156"
"Ribosome biogenesis in eukaryotes"	"-4.256"
"Intestinal immune network for IgA production"	"-4.375"
"Staphylococcus aureus infection"	"-4.479"
"Taste transduction"	"-6.654"
"Chemokine signaling pathway"	"-7.284"
"Cytokine-cytokine receptor interaction"	"-8.618"
"Neuroactive ligand-receptor interaction"	"-14.242"
