"Pathway"	"zscore"
"Vitamin digestion and absorption"	"-1.405"
"Arginine biosynthesis"	"-1.493"
"Selenocompound metabolism"	"-1.494"
"Fructose and mannose metabolism"	"-1.518"
"N-Glycan biosynthesis"	"-1.549"
"Primary immunodeficiency"	"-1.564"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"-1.569"
"Biosynthesis of unsaturated fatty acids"	"-1.616"
"ABC transporters"	"-1.733"
"Tight junction"	"-1.772"
"Folate biosynthesis"	"-1.791"
"Steroid biosynthesis"	"-1.801"
"Gap junction"	"-1.893"
"Proximal tubule bicarbonate reclamation"	"-1.903"
"Thyroid hormone signaling pathway"	"-1.951"
"Mannose type O-glycan biosynthesis"	"-1.952"
"Mineral absorption"	"-1.969"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-1.971"
"Hippo signaling pathway"	"-1.972"
"Endometrial cancer"	"-1.986"
"Phosphonate and phosphinate metabolism"	"-2.046"
"Phagosome"	"-2.059"
"Valine, leucine and isoleucine biosynthesis"	"-2.064"
"Central carbon metabolism in cancer"	"-2.13"
"Glycerophospholipid metabolism"	"-2.153"
"Hedgehog signaling pathway"	"-2.225"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-2.308"
"Maturity onset diabetes of the young"	"-2.372"
"Peroxisome"	"-2.395"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"-2.397"
"Synthesis and degradation of ketone bodies"	"-2.426"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"-2.445"
"Hepatocellular carcinoma"	"-2.489"
"African trypanosomiasis"	"-2.545"
"Porphyrin and chlorophyll metabolism"	"-2.569"
"Nicotinate and nicotinamide metabolism"	"-2.572"
"Hypertrophic cardiomyopathy (HCM)"	"-2.574"
"Citrate cycle (TCA cycle)"	"-2.627"
"NF-kappa B signaling pathway"	"-2.641"
"Aminoacyl-tRNA biosynthesis"	"-2.659"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"-2.72"
"Acute myeloid leukemia"	"-2.754"
"Butanoate metabolism"	"-2.755"
"Arachidonic acid metabolism"	"-2.77"
"Collecting duct acid secretion"	"-2.816"
"Terpenoid backbone biosynthesis"	"-2.822"
"Protein digestion and absorption"	"-2.831"
"RIG-I-like receptor signaling pathway"	"-2.846"
"Primary bile acid biosynthesis"	"-2.847"
"ECM-receptor interaction"	"-2.989"
"Amphetamine addiction"	"-3.003"
"Shigellosis"	"-3.025"
"Mucin type O-glycan biosynthesis"	"-3.066"
"Salmonella infection"	"-3.074"
"Propanoate metabolism"	"-3.103"
"IL-17 signaling pathway"	"-3.113"
"Malaria"	"-3.161"
"Dilated cardiomyopathy (DCM)"	"-3.185"
"Protein export"	"-3.249"
"Fat digestion and absorption"	"-3.301"
"Glucagon signaling pathway"	"-3.339"
"AGE-RAGE signaling pathway in diabetic complications"	"-3.343"
"Autophagy - other"	"-3.483"
"Lysosome"	"-3.575"
"Inflammatory bowel disease (IBD)"	"-3.595"
"Estrogen signaling pathway"	"-3.649"
"Toxoplasmosis"	"-3.695"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"-3.747"
"Prion diseases"	"-3.762"
"Ribosome biogenesis in eukaryotes"	"-3.798"
"MAPK signaling pathway"	"-3.833"
"Linoleic acid metabolism"	"-3.862"
"Retinol metabolism"	"-3.904"
"HIF-1 signaling pathway"	"-3.976"
"Proteasome"	"-3.995"
"Vibrio cholerae infection"	"-4.001"
"Thyroid hormone synthesis"	"-4.111"
"Amyotrophic lateral sclerosis (ALS)"	"-4.25"
"Pentose and glucuronate interconversions"	"-4.315"
"AMPK signaling pathway"	"-4.367"
"Pathways in cancer"	"-4.483"
"Drug metabolism - cytochrome P450"	"-4.503"
"Epithelial cell signaling in Helicobacter pylori infection"	"-4.68"
"Oxytocin signaling pathway"	"-4.714"
"Huntington's disease"	"-4.724"
"Renal cell carcinoma"	"-4.745"
"Leishmaniasis"	"-4.791"
"Cardiac muscle contraction"	"-4.835"
"C-type lectin receptor signaling pathway"	"-4.849"
"Renin-angiotensin system"	"-4.853"
"Neurotrophin signaling pathway"	"-4.854"
"Chemical carcinogenesis"	"-4.875"
"Bile secretion"	"-4.877"
"Metabolism of xenobiotics by cytochrome P450"	"-4.92"
"NOD-like receptor signaling pathway"	"-5.002"
"Type II diabetes mellitus"	"-5.017"
"Inositol phosphate metabolism"	"-5.029"
"Adherens junction"	"-5.05"
"Th17 cell differentiation"	"-5.053"
"Cell adhesion molecules (CAMs)"	"-5.136"
"Longevity regulating pathway"	"-5.18"
"Type I diabetes mellitus"	"-5.258"
"Endocrine and other factor-regulated calcium reabsorption"	"-5.337"
"Kaposi's sarcoma-associated herpesvirus infection"	"-5.382"
"Long-term potentiation"	"-5.392"
"Adipocytokine signaling pathway"	"-5.428"
"Prolactin signaling pathway"	"-5.437"
"Jak-STAT signaling pathway"	"-5.547"
"Viral myocarditis"	"-5.592"
"Proteoglycans in cancer"	"-5.69"
"Nicotine addiction"	"-5.715"
"Carbohydrate digestion and absorption"	"-5.763"
"Cortisol synthesis and secretion"	"-5.77"
"Insulin resistance"	"-5.957"
"Vascular smooth muscle contraction"	"-5.959"
"Cholesterol metabolism"	"-5.972"
"Th1 and Th2 cell differentiation"	"-5.979"
"Pertussis"	"-6.046"
"Cocaine addiction"	"-6.076"
"Vasopressin-regulated water reabsorption"	"-6.086"
"Phototransduction"	"-6.116"
"Bacterial invasion of epithelial cells"	"-6.172"
"Inflammatory mediator regulation of TRP channels"	"-6.304"
"Signaling pathways regulating pluripotency of stem cells"	"-6.374"
"Ovarian steroidogenesis"	"-6.442"
"GnRH signaling pathway"	"-6.443"
"Rheumatoid arthritis"	"-6.543"
"Hepatitis C"	"-6.641"
"Phosphatidylinositol signaling system"	"-6.648"
"SNARE interactions in vesicular transport"	"-6.788"
"TNF signaling pathway"	"-6.797"
"Adrenergic signaling in cardiomyocytes"	"-6.811"
"PI3K-Akt signaling pathway"	"-6.817"
"Synaptic vesicle cycle"	"-6.852"
"Endocytosis"	"-6.865"
"Leukocyte transendothelial migration"	"-6.96"
"Insulin signaling pathway"	"-7.076"
"mTOR signaling pathway"	"-7.094"
"Olfactory transduction"	"-7.099"
"Autophagy - animal"	"-7.284"
"ErbB signaling pathway"	"-7.284"
"Asthma"	"-7.285"
"Pancreatic secretion"	"-7.289"
"Aldosterone-regulated sodium reabsorption"	"-7.301"
"Gastric acid secretion"	"-7.384"
"Intestinal immune network for IgA production"	"-7.389"
"Salivary secretion"	"-7.419"
"Graft-versus-host disease"	"-7.451"
"Hematopoietic cell lineage"	"-7.477"
"Osteoclast differentiation"	"-7.478"
"Aldosterone synthesis and secretion"	"-7.482"
"Focal adhesion"	"-7.49"
"Tuberculosis"	"-7.677"
"Steroid hormone biosynthesis"	"-7.702"
"B cell receptor signaling pathway"	"-7.716"
"Insulin secretion"	"-7.718"
"Allograft rejection"	"-7.73"
"Choline metabolism in cancer"	"-7.792"
"Toll-like receptor signaling pathway"	"-7.983"
"VEGF signaling pathway"	"-8.03"
"Amoebiasis"	"-8.301"
"T cell receptor signaling pathway"	"-8.441"
"Platelet activation"	"-8.459"
"Melanogenesis"	"-8.502"
"Chagas disease (American trypanosomiasis)"	"-8.609"
"Long-term depression"	"-8.667"
"Autoimmune thyroid disease"	"-8.824"
"Dopaminergic synapse"	"-8.858"
"Fc gamma R-mediated phagocytosis"	"-9.082"
"Fc epsilon RI signaling pathway"	"-9.132"
"Apelin signaling pathway"	"-9.35"
"Oxidative phosphorylation"	"-9.415"
"Renin secretion"	"-9.419"
"Non-alcoholic fatty liver disease (NAFLD)"	"-9.647"
"Sphingolipid signaling pathway"	"-9.719"
"Parkinson's disease"	"-10.059"
"Complement and coagulation cascades"	"-10.199"
"Staphylococcus aureus infection"	"-10.228"
"Thermogenesis"	"-10.306"
"Regulation of actin cytoskeleton"	"-10.483"
"cGMP-PKG signaling pathway"	"-10.55"
"Regulation of lipolysis in adipocytes"	"-10.905"
"Relaxin signaling pathway"	"-11.047"
"Circadian entrainment"	"-11.606"
"GABAergic synapse"	"-11.846"
"Alzheimer's disease"	"-12.182"
"Morphine addiction"	"-12.204"
"cAMP signaling pathway"	"-12.799"
"Natural killer cell mediated cytotoxicity"	"-13.03"
"Ras signaling pathway"	"-13.075"
"Serotonergic synapse"	"-13.23"
"Axon guidance"	"-13.916"
"Retrograde endocannabinoid signaling"	"-14.306"
"Cholinergic synapse"	"-14.333"
"Rap1 signaling pathway"	"-14.736"
"Glutamatergic synapse"	"-15.156"
"Phospholipase D signaling pathway"	"-15.857"
"Calcium signaling pathway"	"-16.027"
"Taste transduction"	"-16.226"
"Chemokine signaling pathway"	"-16.354"
"Cytokine-cytokine receptor interaction"	"-19.12"
"Neuroactive ligand-receptor interaction"	"-27.367"
